rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,M. Tel Aviv,26,19,7,0,48:7,41,64
2,Maccabi Haifa,26,18,4,4,58:20,38,58
3,B. Jerusalem,26,15,4,7,42:25,17,49
4,H. Beer Sheva,26,13,5,8,33:23,10,44
5,Hapoel Tel Aviv,26,11,5,10,24:36,-12,38
6,Hapoel Haifa,26,10,7,9,26:30,-4,37
7,Bnei Yehuda,26,9,7,10,23:26,-3,34
8,Hapoel Hadera,26,9,7,10,24:28,-4,34
9,Maccabi Netanya,26,8,7,11,23:32,-9,31
10,FC Ashdod,26,6,10,10,30:33,-3,28
11,H. Kfar Saba,26,7,5,14,22:35,-13,26
12,Kiryat Shmona,26,6,4,16,24:35,-11,22
13,Ness Ziona,26,5,6,15,17:40,-23,21
14,Hapoel Raanana,26,2,10,14,20:44,-24,16
