rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,H. Beer Sheva,26,18,6,2,52:18,34,58
2,M. Tel Aviv,26,17,6,3,56:27,29,57
3,Maccabi Haifa,26,14,6,6,54:32,22,47
4,B. Jerusalem,26,13,7,6,48:34,14,45
5,Hapoel Haifa,26,12,5,9,39:31,8,41
6,Maccabi Netanya,26,11,4,11,39:37,2,37
7,Kiryat Shmona,26,10,4,12,28:38,-10,34
8,M. Bnei Reineh,26,9,4,13,27:35,-8,31
9,H. Jerusalem,26,7,9,10,32:35,-3,30
10,Ironi Tiberias,26,6,9,11,20:36,-16,27
11,M. Petah Tikva,26,6,6,14,22:44,-22,24
12,Bnei Sakhnin,26,6,6,14,19:37,-18,23
13,FC Ashdod,26,5,7,14,35:48,-13,22
14,Hapoel Hadera,26,3,11,12,23:42,-19,20
