rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,Maccabi Haifa,26,19,2,5,52:20,32,59
2,M. Tel Aviv,26,17,7,2,48:21,27,58
3,FC Ashdod,26,13,4,9,37:25,12,43
4,Kiryat Shmona,26,11,5,10,26:28,-2,38
5,H. Beer Sheva,26,9,10,7,31:29,2,37
6,M. Petah Tikva,26,11,4,11,24:23,1,37
7,Maccabi Netanya,26,9,7,10,35:30,5,34
8,B. Jerusalem,26,8,8,10,31:32,-1,32
9,Hapoel Hadera,26,8,8,10,26:28,-2,32
10,Hapoel Haifa,26,7,9,10,30:37,-7,30
11,Bnei Sakhnin,26,8,5,13,15:36,-21,29
12,Hapoel Tel Aviv,26,6,9,11,17:28,-11,27
13,H. Kfar Saba,26,6,5,15,19:33,-14,23
14,Bnei Yehuda,26,5,7,14,15:36,-21,22
