rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,M. Tel Aviv,26,17,5,4,53:20,33,54
2,H. Beer Sheva,26,14,7,5,47:24,23,49
3,Kiryat Shmona,26,13,8,5,40:27,13,47
4,B. Jerusalem,26,10,10,6,38:29,9,40
5,M. Petah Tikva,26,10,9,7,28:30,-2,39
6,Maccabi Haifa,26,11,4,11,38:29,9,37
7,Hapoel Raanana,26,9,7,10,24:23,1,34
8,Maccabi Netanya,26,9,6,11,37:45,-8,33
9,Bnei Sakhnin,26,7,9,10,32:37,-5,30
10,Hapoel Tel Aviv,26,8,7,11,27:33,-6,29
11,FC Ashdod,26,6,9,11,29:41,-12,27
12,Hapoel Haifa,26,7,5,14,20:41,-21,26
13,H. Petah Tikva,26,5,8,13,28:43,-15,23
14,Hapoel Acre,26,4,10,12,20:39,-19,22
