rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,Kiryat Shmona,30,19,9,2,42:15,27,66
2,Hapoel Tel Aviv,30,14,10,6,53:27,26,49
3,Bnei Sakhnin,30,14,7,9,49:35,14,47
4,FC Ashdod,30,12,11,7,39:33,6,47
5,Maccabi Netanya,30,13,8,9,44:40,4,47
6,Maccabi Haifa,30,12,9,9,46:39,7,45
7,M. Tel Aviv,30,13,5,12,41:32,9,44
8,Bnei Yehuda,30,11,10,9,38:27,11,43
9,Hapoel Acre,30,10,8,12,41:37,4,38
10,Ramat haSharon,30,9,10,11,29:38,-9,37
11,B. Jerusalem,30,10,6,14,22:39,-17,34
12,Hapoel Haifa,30,8,8,14,33:38,-5,32
13,H. Beer Sheva,30,9,5,16,33:54,-21,32
14,M. Petah Tikva,30,7,9,14,31:50,-19,30
15,H Rishon leZion,30,6,9,15,34:54,-20,27
16,H. Petah Tikva,30,6,10,14,28:45,-17,19
