season,round,leader,leader_points,second,second_points,gap
2009/10,1,Maccabi Haifa,41,Hapoel Tel Aviv,38,3
2009/10,2,Maccabi Haifa,41,Hapoel Tel Aviv,41,0
2009/10,3,Maccabi Haifa,44,Hapoel Tel Aviv,44,0
2009/10,4,Maccabi Haifa,47,Hapoel Tel Aviv,45,2
2009/10,5,Maccabi Haifa,48,Hapoel Tel Aviv,48,0
2010/11,31,Maccabi Haifa,35,Hapoel Tel Aviv,35,0
2010/11,32,Maccabi Haifa,38,Hapoel Tel Aviv,35,3
2010/11,33,Maccabi Haifa,41,Hapoel Tel Aviv,36,5
2010/11,34,Maccabi Haifa,44,Hapoel Tel Aviv,37,7
2010/11,35,Maccabi Haifa,45,Hapoel Tel Aviv,37,8
2011/12,31,Kiryat Shmona,66,Hapoel Tel Aviv,50,16
2011/12,32,Kiryat Shmona,67,Hapoel Tel Aviv,51,16
2011/12,33,Kiryat Shmona,67,Hapoel Tel Aviv,52,15
2011/12,34,Kiryat Shmona,70,Hapoel Tel Aviv,55,15
2011/12,35,Kiryat Shmona,73,Hapoel Tel Aviv,58,15
2011/12,36,Kiryat Shmona,73,Hapoel Tel Aviv,58,15
2011/12,37,Kiryat Shmona,73,Hapoel Tel Aviv,59,14
2014/15,27,M. Tel Aviv,57,H. Beer Sheva,52,5
2014/15,28,M. Tel Aviv,60,H. Beer Sheva,52,8
2014/15,29,M. Tel Aviv,61,H. Beer Sheva,53,8
2014/15,30,M. Tel Aviv,64,H. Beer Sheva,54,10
2014/15,31,M. Tel Aviv,65,H. Beer Sheva,55,10
2014/15,32,M. Tel Aviv,66,H. Beer Sheva,58,8
2014/15,33,M. Tel Aviv,67,Kiryat Shmona,61,6
2014/15,34,M. Tel Aviv,70,Kiryat Shmona,61,9
2014/15,35,M. Tel Aviv,70,Kiryat Shmona,64,6
2014/15,36,M. Tel Aviv,70,Kiryat Shmona,64,6
2015/16,27,H. Beer Sheva,65,M. Tel Aviv,64,1
2015/16,28,H. Beer Sheva,66,M. Tel Aviv,65,1
2015/16,29,H. Beer Sheva,69,M. Tel Aviv,68,1
2015/16,30,M. Tel Aviv,71,H. Beer Sheva,70,1
2015/16,31,H. Beer Sheva,73,M. Tel Aviv,72,1
2015/16,32,H. Beer Sheva,76,M. Tel Aviv,73,3
2015/16,33,H. Beer Sheva,77,M. Tel Aviv,74,3
2015/16,34,H. Beer Sheva,80,M. Tel Aviv,75,5
2015/16,35,H. Beer Sheva,80,M. Tel Aviv,78,2
2015/16,36,H. Beer Sheva,83,M. Tel Aviv,81,2
2016/17,27,H. Beer Sheva,62,M. Tel Aviv,59,3
2016/17,28,H. Beer Sheva,65,M. Tel Aviv,59,6
2016/17,29,H. Beer Sheva,68,M. Tel Aviv,62,6
2016/17,30,H. Beer Sheva,71,M. Tel Aviv,65,6
2016/17,31,H. Beer Sheva,74,M. Tel Aviv,66,8
2016/17,32,H. Beer Sheva,77,M. Tel Aviv,69,8
2016/17,33,H. Beer Sheva,80,M. Tel Aviv,69,11
2016/17,34,H. Beer Sheva,81,M. Tel Aviv,72,9
2016/17,35,H. Beer Sheva,82,M. Tel Aviv,72,10
2016/17,36,H. Beer Sheva,85,M. Tel Aviv,72,13
2017/18,27,H. Beer Sheva,60,B. Jerusalem,59,1
2017/18,28,H. Beer Sheva,63,B. Jerusalem,59,4
2017/18,29,H. Beer Sheva,66,B. Jerusalem,60,6
2017/18,30,H. Beer Sheva,67,B. Jerusalem,63,4
2017/18,31,H. Beer Sheva,70,B. Jerusalem,66,4
2017/18,32,H. Beer Sheva,71,B. Jerusalem,66,5
2017/18,33,H. Beer Sheva,74,B. Jerusalem,66,8
2017/18,34,H. Beer Sheva,74,B. Jerusalem,67,7
2017/18,35,H. Beer Sheva,77,M. Tel Aviv,68,9
2017/18,36,H. Beer Sheva,80,M. Tel Aviv,71,9
2018/19,27,M. Tel Aviv,69,Maccabi Haifa,44,25
2018/19,28,M. Tel Aviv,72,H. Beer Sheva,45,27
2018/19,29,M. Tel Aviv,75,H. Beer Sheva,48,27
2018/19,30,M. Tel Aviv,76,H. Beer Sheva,49,27
2018/19,31,M. Tel Aviv,79,Maccabi Haifa,50,29
2018/19,32,M. Tel Aviv,82,Maccabi Haifa,51,31
2018/19,33,M. Tel Aviv,82,Maccabi Haifa,54,28
2018/19,34,M. Tel Aviv,85,Maccabi Haifa,54,31
2018/19,35,M. Tel Aviv,86,Maccabi Haifa,55,31
2018/19,36,M. Tel Aviv,89,Maccabi Haifa,58,31
2019/20,27,M. Tel Aviv,67,Maccabi Haifa,58,9
2019/20,28,M. Tel Aviv,70,Maccabi Haifa,58,12
2019/20,29,M. Tel Aviv,71,Maccabi Haifa,59,12
2019/20,30,M. Tel Aviv,72,Maccabi Haifa,60,12
2019/20,31,M. Tel Aviv,75,Maccabi Haifa,63,12
2019/20,32,M. Tel Aviv,78,Maccabi Haifa,66,12
2019/20,33,M. Tel Aviv,81,Maccabi Haifa,69,12
2019/20,34,M. Tel Aviv,84,Maccabi Haifa,72,12
2019/20,35,M. Tel Aviv,87,Maccabi Haifa,72,15
2019/20,36,M. Tel Aviv,87,Maccabi Haifa,73,14
2020/21,27,M. Tel Aviv,61,Maccabi Haifa,60,1
2020/21,28,M. Tel Aviv,62,Maccabi Haifa,61,1
2020/21,29,M. Tel Aviv,65,Maccabi Haifa,64,1
2020/21,30,Maccabi Haifa,67,M. Tel Aviv,66,1
2020/21,31,Maccabi Haifa,68,M. Tel Aviv,66,2
2020/21,32,Maccabi Haifa,71,M. Tel Aviv,67,4
2020/21,33,Maccabi Haifa,72,M. Tel Aviv,68,4
2020/21,34,Maccabi Haifa,75,M. Tel Aviv,71,4
2020/21,35,Maccabi Haifa,76,M. Tel Aviv,74,2
2020/21,36,Maccabi Haifa,79,M. Tel Aviv,75,4
2021/22,1,Maccabi Haifa,62,H. Beer Sheva,58,4
2021/22,2,Maccabi Haifa,65,H. Beer Sheva,58,7
2021/22,3,Maccabi Haifa,66,H. Beer Sheva,59,7
2021/22,4,Maccabi Haifa,69,H. Beer Sheva,62,7
2021/22,5,Maccabi Haifa,69,H. Beer Sheva,63,6
2021/22,6,Maccabi Haifa,72,H. Beer Sheva,63,9
2021/22,7,Maccabi Haifa,72,H. Beer Sheva,66,6
2021/22,8,Maccabi Haifa,72,H. Beer Sheva,66,6
2021/22,9,Maccabi Haifa,75,H. Beer Sheva,67,8
2021/22,10,Maccabi Haifa,78,H. Beer Sheva,70,8
2022/23,27,Maccabi Haifa,65,H. Beer Sheva,61,4
2022/23,28,Maccabi Haifa,68,H. Beer Sheva,61,7
2022/23,29,Maccabi Haifa,69,H. Beer Sheva,64,5
2022/23,30,Maccabi Haifa,72,H. Beer Sheva,64,8
2022/23,31,Maccabi Haifa,72,H. Beer Sheva,65,7
2022/23,32,Maccabi Haifa,75,H. Beer Sheva,68,7
2022/23,33,Maccabi Haifa,75,H. Beer Sheva,71,4
2022/23,34,Maccabi Haifa,78,H. Beer Sheva,74,4
2022/23,35,Maccabi Haifa,81,H. Beer Sheva,74,7
2022/23,36,Maccabi Haifa,84,H. Beer Sheva,77,7
2023/24,27,M. Tel Aviv,65,Maccabi Haifa,55,10
2023/24,28,M. Tel Aviv,66,Maccabi Haifa,56,10
2023/24,29,M. Tel Aviv,66,Maccabi Haifa,59,7
2023/24,30,M. Tel Aviv,69,Maccabi Haifa,62,7
2023/24,31,M. Tel Aviv,72,Maccabi Haifa,65,7
2023/24,32,M. Tel Aviv,73,Maccabi Haifa,68,5
2023/24,33,M. Tel Aviv,76,Maccabi Haifa,68,8
2023/24,34,M. Tel Aviv,79,Maccabi Haifa,71,8
2023/24,35,M. Tel Aviv,82,Maccabi Haifa,74,8
2023/24,36,M. Tel Aviv,85,Maccabi Haifa,74,11
2024/25,27,H. Beer Sheva,61,M. Tel Aviv,60,1
2024/25,28,M. Tel Aviv,63,H. Beer Sheva,61,2
2024/25,29,M. Tel Aviv,66,H. Beer Sheva,64,2
2024/25,30,H. Beer Sheva,67,M. Tel Aviv,67,0
2024/25,31,H. Beer Sheva,70,M. Tel Aviv,67,3
2024/25,32,H. Beer Sheva,70,M. Tel Aviv,70,0
2024/25,33,H. Beer Sheva,71,M. Tel Aviv,71,0
2024/25,34,H. Beer Sheva,74,M. Tel Aviv,74,0
2024/25,35,M. Tel Aviv,77,H. Beer Sheva,75,2
2024/25,36,M. Tel Aviv,80,H. Beer Sheva,78,2
