season,leader,rounds_led
2006/07,B. Jerusalem,29
2006/07,H. Kfar Saba,2
2006/07,Hapoel Tel Aviv,1
2006/07,M. Petah Tikva,1
2007/08,B. Jerusalem,33
2008/09,Hapoel Tel Aviv,2
2008/09,Maccabi Haifa,26
2008/09,Maccabi Netanya,5
2009/10,Bnei Yehuda,2
2009/10,Maccabi Haifa,28
2010/11,Hapoel Haifa,2
2010/11,Hapoel Tel Aviv,3
2010/11,Kiryat Shmona,7
2010/11,M. Tel Aviv,1
2010/11,Maccabi Haifa,16
2010/11,Maccabi Netanya,1
2011/12,Hapoel Tel Aviv,1
2011/12,Kiryat Shmona,19
2011/12,M. Tel Aviv,9
2011/12,Maccabi Haifa,1
2012/13,FC Ashdod,8
2012/13,Hapoel Tel Aviv,1
2012/13,M. Tel Aviv,17
2013/14,H. Beer Sheva,1
2013/14,M. Tel Aviv,24
2013/14,Maccabi Haifa,1
2014/15,Hapoel Raanana,1
2014/15,Kiryat Shmona,16
2014/15,M. Tel Aviv,9
2015/16,Bnei Yehuda,1
2015/16,H. Beer Sheva,15
2015/16,M. Petah Tikva,4
2015/16,M. Tel Aviv,6
2016/17,H. Beer Sheva,21
2016/17,M. Tel Aviv,5
2017/18,B. Jerusalem,5
2017/18,H. Beer Sheva,10
2017/18,Hapoel Haifa,7
2017/18,M. Tel Aviv,4
2018/19,Hapoel Hadera,3
2018/19,Hapoel Haifa,1
2018/19,M. Tel Aviv,22
2019/20,H. Beer Sheva,3
2019/20,M. Tel Aviv,22
2019/20,Maccabi Haifa,1
2020/21,B. Jerusalem,1
2020/21,Bnei Yehuda,1
2020/21,Kiryat Shmona,1
2020/21,M. Petah Tikva,1
2020/21,M. Tel Aviv,2
2020/21,Maccabi Haifa,20
2021/22,Bnei Sakhnin,1
2021/22,H. Beer Sheva,12
2021/22,H. Nof HaGalil,1
2021/22,Hapoel Haifa,1
2021/22,Hapoel Tel Aviv,1
2021/22,Maccabi Haifa,10
2022/23,M. Tel Aviv,7
2022/23,Maccabi Haifa,19
2023/24,M. Tel Aviv,25
2023/24,Maccabi Haifa,1
2024/25,H. Beer Sheva,15
2024/25,M. Bnei Reineh,1
2024/25,M. Tel Aviv,10
