season,leadership_changes,rounds,change_percentage,distinct_leaders
2010/11,12,30,40.0,6
2017/18,8,26,30.76923076923077,4
2020/21,8,26,30.76923076923077,6
2012/13,7,26,26.923076923076923,3
2008/09,8,33,24.242424242424242,3
2021/22,5,26,19.230769230769234,6
2019/20,5,26,19.230769230769234,3
2015/16,5,26,19.230769230769234,4
2022/23,5,26,19.230769230769234,2
2018/19,4,26,15.384615384615385,3
2006/07,5,33,15.151515151515152,4
2016/17,3,26,11.538461538461538,2
2014/15,3,26,11.538461538461538,3
2011/12,3,30,10.0,4
2023/24,2,26,7.6923076923076925,2
2024/25,2,26,7.6923076923076925,3
2013/14,2,26,7.6923076923076925,3
2009/10,1,30,3.3333333333333335,2
2007/08,0,33,0.0,1
