season,team,stadium,capacity,total_spectators,average_attendance
2006/07,Bnei Yehuda Tel Aviv,Unknown,6020,49000,3063
2006/07,Hapoel Tel Aviv,Unknown,29150,16000,5333
2006/07,Hapoel Petah Tikva,Unknown,11500,10250,2050
2006/07,Beitar Jerusalem,Unknown,33500,10000,10000
2006/07,Maccabi Netanya,Unknown,13610,9250,3083
2006/07,Maccabi Haifa,Unknown,30780,7700,3850
2006/07,Hakoah Amidar Ramat Gan,Unknown,8000,6250,1250
2006/07,Hapoel Kfar Saba,Unknown,5800,4500,2250
2006/07,FC Ashdod,Unknown,8200,2500,2500
2006/07,Maccabi Petah Tikva,Unknown,11500,2000,2000
2006/07,Maccabi Tel Aviv,Unknown,29150,1250,1250
2006/07,Maccabi Herzliya,Unknown,13800,1000,1000
