round,home,score,away
1,FC Ashdod,1:0,Bnei Yehuda
2,Hapoel Hadera,2:1,Hapoel Tel Aviv
3,Hapoel Haifa,5:0,Maccabi Netanya
4,Kiryat Shmona,1:1,H. Beer Sheva
5,Bnei Sakhnin,0:0,Hapoel Raanana
6,M. Tel Aviv,2:0,Maccabi Haifa
7,M. Petah Tikva,4:1,B. Jerusalem
8,Hapoel Raanana,2:1,Kiryat Shmona
9,Maccabi Haifa,2:0,FC Ashdod
10,Maccabi Netanya,1:1,Bnei Sakhnin
11,Hapoel Tel Aviv,1:0,Hapoel Haifa
12,Bnei Yehuda,2:2,M. Petah Tikva
13,H. Beer Sheva,1:1,M. Tel Aviv
14,B. Jerusalem,0:1,Hapoel Hadera
15,M. Tel Aviv,4:1,Hapoel Raanana
16,M. Petah Tikva,1:1,Hapoel Hadera
17,Bnei Sakhnin,1:1,Hapoel Tel Aviv
18,FC Ashdod,1:0,H. Beer Sheva
19,Kiryat Shmona,1:0,Maccabi Netanya
20,Bnei Yehuda,1:1,Maccabi Haifa
21,Hapoel Haifa,2:2,B. Jerusalem
22,Hapoel Tel Aviv,0:0,Kiryat Shmona
23,Hapoel Raanana,1:1,FC Ashdod
24,Maccabi Haifa,1:2,M. Petah Tikva
25,Maccabi Netanya,1:2,M. Tel Aviv
26,Hapoel Hadera,2:0,Hapoel Haifa
27,H. Beer Sheva,0:0,Bnei Yehuda
28,B. Jerusalem,3:2,Bnei Sakhnin
29,M. Petah Tikva,1:1,Hapoel Haifa
30,Bnei Sakhnin,1:2,Hapoel Hadera
31,FC Ashdod,1:4,Maccabi Netanya
32,Kiryat Shmona,2:0,B. Jerusalem
33,Bnei Yehuda,3:0,Hapoel Raanana
34,Maccabi Haifa,0:0,H. Beer Sheva
35,M. Tel Aviv,0:0,Hapoel Tel Aviv
36,Hapoel Raanana,1:1,Maccabi Haifa
37,Hapoel Haifa,0:3,Bnei Sakhnin
38,Maccabi Netanya,1:3,Bnei Yehuda
39,H. Beer Sheva,4:1,M. Petah Tikva
40,Hapoel Hadera,1:0,Kiryat Shmona
41,B. Jerusalem,0:2,M. Tel Aviv
42,Hapoel Tel Aviv,0:0,FC Ashdod
43,M. Tel Aviv,4:0,Hapoel Hadera
44,Kiryat Shmona,1:1,Hapoel Haifa
