round,home,score,away
140,Maccabi Haifa,2:0,M. Tel Aviv
141,M. Tel Aviv,1:1,Bnei Sakhnin
142,Hapoel Hadera,1:0,Hapoel Tel Aviv
143,M. Petah Tikva,1:0,M. Bnei Reineh
144,FC Ashdod,2:0,H. Petah Tikva
145,B. Jerusalem,0:2,Maccabi Haifa
146,H. Beer Sheva,2:0,Maccabi Netanya
147,Hapoel Haifa,2:3,H. Jerusalem
148,Hapoel Tel Aviv,0:0,M. Bnei Reineh
149,H. Beer Sheva,1:1,M. Petah Tikva
150,H. Jerusalem,1:1,FC Ashdod
151,H. Petah Tikva,0:2,Hapoel Hadera
152,Bnei Sakhnin,2:1,B. Jerusalem
153,Maccabi Haifa,1:1,Hapoel Haifa
154,Maccabi Netanya,1:5,M. Tel Aviv
155,M. Petah Tikva,3:0,Hapoel Tel Aviv
156,Hapoel Haifa,1:2,Bnei Sakhnin
157,Hapoel Hadera,1:1,H. Jerusalem
158,B. Jerusalem,0:0,Maccabi Netanya
159,M. Tel Aviv,1:0,H. Beer Sheva
160,FC Ashdod,0:5,Maccabi Haifa
161,M. Bnei Reineh,1:1,H. Petah Tikva
162,Maccabi Netanya,1:2,Hapoel Haifa
163,Bnei Sakhnin,1:1,FC Ashdod
164,H. Jerusalem,1:0,M. Bnei Reineh
165,M. Tel Aviv,4:0,M. Petah Tikva
166,Maccabi Haifa,1:0,Hapoel Hadera
167,H. Petah Tikva,0:0,Hapoel Tel Aviv
168,H. Beer Sheva,1:0,B. Jerusalem
169,H. Petah Tikva,2:2,M. Petah Tikva
170,Hapoel Tel Aviv,0:0,H. Jerusalem
171,Hapoel Hadera,1:0,Bnei Sakhnin
172,FC Ashdod,0:2,Maccabi Netanya
173,M. Bnei Reineh,2:1,Maccabi Haifa
174,B. Jerusalem,0:1,M. Tel Aviv
175,Hapoel Haifa,1:0,H. Beer Sheva
176,H. Jerusalem,3:2,H. Petah Tikva
177,H. Beer Sheva,1:0,FC Ashdod
178,Maccabi Netanya,1:3,Hapoel Hadera
179,M. Petah Tikva,0:3,B. Jerusalem
180,Bnei Sakhnin,0:0,M. Bnei Reineh
181,M. Tel Aviv,3:1,Hapoel Haifa
182,Maccabi Haifa,0:0,Hapoel Tel Aviv
