round,home,score,away
1,B. Jerusalem,0:0,Hapoel Tel Aviv
2,M. Petah Tikva,1:1,H. Ramat Gan
3,H. Beer Sheva,2:1,Hapoel Raanana
4,Maccabi Haifa,2:1,Hapoel Acre
5,Maccabi Netanya,1:2,Hapoel Haifa
6,FC Ashdod,0:3,Bnei Yehuda
7,M. Ahi Nazareth,1:2,H. Petah Tikva
8,M. Tel Aviv,3:1,Bnei Sakhnin
9,Hapoel Raanana,1:3,Maccabi Haifa
10,H. Petah Tikva,0:2,M. Tel Aviv
11,Hapoel Haifa,0:1,FC Ashdod
12,Hapoel Acre,1:1,Maccabi Netanya
13,H. Ramat Gan,2:2,H. Beer Sheva
14,Hapoel Tel Aviv,1:1,M. Petah Tikva
15,Bnei Yehuda,2:0,M. Ahi Nazareth
16,Bnei Sakhnin,0:0,B. Jerusalem
17,Maccabi Haifa,3:1,H. Ramat Gan
18,M. Ahi Nazareth,1:3,Hapoel Haifa
19,Maccabi Netanya,1:1,Hapoel Raanana
20,FC Ashdod,1:0,Hapoel Acre
21,M. Petah Tikva,1:3,B. Jerusalem
22,Bnei Sakhnin,2:0,H. Petah Tikva
23,H. Beer Sheva,1:3,Hapoel Tel Aviv
24,M. Tel Aviv,0:0,Bnei Yehuda
25,Hapoel Tel Aviv,1:2,Maccabi Haifa
26,Hapoel Haifa,3:1,M. Tel Aviv
27,Bnei Yehuda,2:1,Bnei Sakhnin
28,Hapoel Acre,0:1,M. Ahi Nazareth
29,Hapoel Raanana,1:1,FC Ashdod
30,H. Ramat Gan,1:0,Maccabi Netanya
31,M. Petah Tikva,3:0,H. Beer Sheva
32,B. Jerusalem,3:0,H. Petah Tikva
33,M. Tel Aviv,1:1,Hapoel Acre
34,FC Ashdod,0:0,H. Ramat Gan
35,M. Ahi Nazareth,2:1,Hapoel Raanana
36,Bnei Sakhnin,0:3,Hapoel Haifa
37,H. Petah Tikva,1:1,Bnei Yehuda
38,Maccabi Haifa,2:0,M. Petah Tikva
39,Maccabi Netanya,0:3,Hapoel Tel Aviv
40,H. Beer Sheva,3:2,B. Jerusalem
41,Hapoel Tel Aviv,2:2,FC Ashdod
42,Hapoel Haifa,1:2,H. Petah Tikva
43,Hapoel Raanana,0:3,M. Tel Aviv
44,H. Ramat Gan,2:3,M. Ahi Nazareth
45,M. Petah Tikva,0:3,Maccabi Netanya
46,H. Beer Sheva,1:3,Maccabi Haifa
47,Hapoel Acre,0:0,Bnei Sakhnin
48,B. Jerusalem,1:0,Bnei Yehuda
49,Bnei Yehuda,2:0,Hapoel Haifa
50,Maccabi Netanya,2:2,H. Beer Sheva
51,FC Ashdod,1:1,M. Petah Tikva
52,Bnei Sakhnin,1:1,Hapoel Raanana
53,H. Petah Tikva,1:1,Hapoel Acre
54,M. Tel Aviv,3:1,H. Ramat Gan
55,M. Ahi Nazareth,0:4,Hapoel Tel Aviv
56,Maccabi Haifa,2:1,B. Jerusalem
57,Maccabi Haifa,2:0,Maccabi Netanya
58,Hapoel Acre,1:1,Bnei Yehuda
59,Hapoel Raanana,2:1,H. Petah Tikva
60,H. Ramat Gan,1:0,Bnei Sakhnin
61,M. Petah Tikva,1:0,M. Ahi Nazareth
62,B. Jerusalem,3:1,Hapoel Haifa
63,Hapoel Tel Aviv,1:0,M. Tel Aviv
64,H. Beer Sheva,1:0,FC Ashdod
65,M. Tel Aviv,1:1,M. Petah Tikva
66,M. Ahi Nazareth,1:4,H. Beer Sheva
67,H. Petah Tikva,0:0,H. Ramat Gan
68,Bnei Yehuda,2:1,Hapoel Raanana
69,Hapoel Haifa,2:4,Hapoel Acre
70,Maccabi Netanya,3:0,B. Jerusalem
71,Bnei Sakhnin,1:2,Hapoel Tel Aviv
72,FC Ashdod,0:1,Maccabi Haifa
73,Maccabi Haifa,4:1,M. Ahi Nazareth
74,Hapoel Tel Aviv,7:1,H. Petah Tikva
75,H. Ramat Gan,0:2,Bnei Yehuda
76,M. Petah Tikva,1:2,Bnei Sakhnin
77,Maccabi Netanya,0:1,FC Ashdod
78,B. Jerusalem,1:1,Hapoel Acre
79,Hapoel Raanana,2:1,Hapoel Haifa
80,H. Beer Sheva,1:3,M. Tel Aviv
81,Bnei Sakhnin,1:1,H. Beer Sheva
82,M. Ahi Nazareth,1:3,Maccabi Netanya
