round,home,score,away
1,FC Ashdod,0:2,Kiryat Shmona
2,Bnei Sakhnin,0:3,Bnei Yehuda
3,H. Kfar Saba,2:1,Hapoel Tel Aviv
4,H. Beer Sheva,3:2,Maccabi Netanya
5,Hapoel Haifa,0:1,B. Jerusalem
6,Hapoel Hadera,1:2,Maccabi Haifa
7,M. Tel Aviv,1:2,M. Petah Tikva
8,Kiryat Shmona,1:1,Hapoel Haifa
9,M. Petah Tikva,2:0,H. Kfar Saba
10,Bnei Yehuda,2:2,M. Tel Aviv
11,Hapoel Tel Aviv,0:2,FC Ashdod
12,Maccabi Haifa,3:1,H. Beer Sheva
13,Maccabi Netanya,7:0,Bnei Sakhnin
14,B. Jerusalem,4:0,Hapoel Hadera
15,FC Ashdod,1:0,M. Petah Tikva
16,H. Kfar Saba,3:1,Bnei Yehuda
17,Bnei Sakhnin,0:3,Maccabi Haifa
18,Hapoel Haifa,2:0,Hapoel Tel Aviv
19,Hapoel Hadera,2:2,H. Beer Sheva
20,M. Tel Aviv,2:2,Maccabi Netanya
21,B. Jerusalem,1:0,Kiryat Shmona
22,M. Petah Tikva,2:0,Hapoel Haifa
23,Maccabi Netanya,3:0,H. Kfar Saba
24,Kiryat Shmona,1:1,Hapoel Hadera
25,Hapoel Tel Aviv,1:1,B. Jerusalem
26,Bnei Yehuda,1:0,FC Ashdod
27,H. Beer Sheva,2:2,Bnei Sakhnin
28,Maccabi Haifa,2:2,M. Tel Aviv
29,M. Tel Aviv,0:0,H. Beer Sheva
30,Hapoel Haifa,2:1,Bnei Yehuda
31,Kiryat Shmona,1:0,Hapoel Tel Aviv
32,H. Kfar Saba,3:2,Maccabi Haifa
33,Hapoel Hadera,4:0,Bnei Sakhnin
34,FC Ashdod,4:0,Maccabi Netanya
35,B. Jerusalem,1:2,M. Petah Tikva
36,Maccabi Netanya,2:1,Hapoel Haifa
37,Maccabi Haifa,2:1,FC Ashdod
38,Bnei Yehuda,1:0,B. Jerusalem
39,M. Petah Tikva,0:1,Kiryat Shmona
40,Bnei Sakhnin,1:2,M. Tel Aviv
41,H. Beer Sheva,0:0,H. Kfar Saba
42,Hapoel Tel Aviv,1:0,Hapoel Hadera
43,Hapoel Tel Aviv,0:0,M. Petah Tikva
44,Kiryat Shmona,2:0,Bnei Yehuda
45,FC Ashdod,2:0,H. Beer Sheva
46,H. Kfar Saba,0:1,Bnei Sakhnin
47,Hapoel Haifa,2:1,Maccabi Haifa
48,Hapoel Hadera,0:1,M. Tel Aviv
49,B. Jerusalem,1:1,Maccabi Netanya
50,M. Petah Tikva,1:0,Hapoel Hadera
51,Bnei Sakhnin,1:0,FC Ashdod
52,Bnei Yehuda,1:0,Hapoel Tel Aviv
53,Maccabi Netanya,0:0,Kiryat Shmona
54,M. Tel Aviv,3:0,H. Kfar Saba
55,H. Beer Sheva,2:2,Hapoel Haifa
56,Maccabi Haifa,2:0,B. Jerusalem
57,Kiryat Shmona,0:3,Maccabi Haifa
58,M. Petah Tikva,1:0,Bnei Yehuda
59,Hapoel Haifa,0:2,Bnei Sakhnin
60,Hapoel Tel Aviv,0:0,Maccabi Netanya
61,Hapoel Hadera,1:1,H. Kfar Saba
62,FC Ashdod,3:2,M. Tel Aviv
63,B. Jerusalem,1:2,H. Beer Sheva
64,H. Kfar Saba,0:1,FC Ashdod
65,Bnei Yehuda,0:3,Hapoel Hadera
66,Maccabi Netanya,3:2,M. Petah Tikva
67,H. Beer Sheva,2:1,Kiryat Shmona
68,M. Tel Aviv,4:3,Hapoel Haifa
69,Maccabi Haifa,1:0,Hapoel Tel Aviv
70,Bnei Sakhnin,0:0,B. Jerusalem
71,Hapoel Haifa,2:1,H. Kfar Saba
72,Hapoel Hadera,1:1,FC Ashdod
73,Bnei Yehuda,1:1,Maccabi Netanya
74,M. Petah Tikva,1:2,Maccabi Haifa
75,Kiryat Shmona,0:1,Bnei Sakhnin
76,Hapoel Tel Aviv,0:3,H. Beer Sheva
77,B. Jerusalem,0:0,M. Tel Aviv
78,FC Ashdod,0:1,Hapoel Haifa
79,Hapoel Hadera,2:1,Maccabi Netanya
80,Maccabi Haifa,3:0,Bnei Yehuda
81,Bnei Sakhnin,0:1,Hapoel Tel Aviv
82,H. Beer Sheva,1:2,M. Petah Tikva
83,M. Tel Aviv,1:0,Kiryat Shmona
84,H. Kfar Saba,1:1,B. Jerusalem
85,Hapoel Haifa,0:0,Hapoel Hadera
86,Maccabi Netanya,0:2,Maccabi Haifa
87,M. Petah Tikva,0:0,Bnei Sakhnin
88,Kiryat Shmona,1:0,H. Kfar Saba
89,Bnei Yehuda,0:2,H. Beer Sheva
90,B. Jerusalem,1:2,FC Ashdod
91,Hapoel Tel Aviv,0:4,M. Tel Aviv
92,Hapoel Tel Aviv,1:1,H. Kfar Saba
93,Maccabi Haifa,1:0,Hapoel Hadera
94,Maccabi Netanya,0:1,H. Beer Sheva
95,B. Jerusalem,3:3,Hapoel Haifa
96,Bnei Yehuda,1:1,Bnei Sakhnin
97,M. Petah Tikva,0:1,M. Tel Aviv
98,Kiryat Shmona,2:1,FC Ashdod
99,Hapoel Haifa,0:2,Kiryat Shmona
100,H. Beer Sheva,1:1,Maccabi Haifa
101,Bnei Sakhnin,0:1,Maccabi Netanya
102,Hapoel Hadera,0:4,B. Jerusalem
103,H. Kfar Saba,2:0,M. Petah Tikva
104,FC Ashdod,2:1,Hapoel Tel Aviv
105,M. Tel Aviv,0:0,Bnei Yehuda
106,Hapoel Tel Aviv,2:2,Hapoel Haifa
107,M. Petah Tikva,2:1,FC Ashdod
108,Kiryat Shmona,0:2,B. Jerusalem
109,Maccabi Haifa,3:0,Bnei Sakhnin
110,Maccabi Netanya,1:3,M. Tel Aviv
111,Bnei Yehuda,1:3,H. Kfar Saba
112,H. Beer Sheva,1:0,Hapoel Hadera
113,Hapoel Haifa,1:2,M. Petah Tikva
114,B. Jerusalem,0:1,Hapoel Tel Aviv
115,FC Ashdod,4:0,Bnei Yehuda
116,H. Kfar Saba,0:1,Maccabi Netanya
117,M. Tel Aviv,2:1,Maccabi Haifa
118,Hapoel Hadera,0:1,Kiryat Shmona
119,Bnei Sakhnin,1:0,H. Beer Sheva
120,Maccabi Netanya,3:0,FC Ashdod
121,Hapoel Tel Aviv,1:1,Kiryat Shmona
122,Maccabi Haifa,3:0,H. Kfar Saba
123,Bnei Yehuda,0:2,Hapoel Haifa
124,Bnei Sakhnin,0:2,Hapoel Hadera
125,H. Beer Sheva,0:1,M. Tel Aviv
126,M. Petah Tikva,0:1,B. Jerusalem
127,Hapoel Haifa,0:0,Maccabi Netanya
128,H. Kfar Saba,0:1,H. Beer Sheva
129,M. Tel Aviv,1:0,Bnei Sakhnin
130,FC Ashdod,1:0,Maccabi Haifa
131,Hapoel Hadera,1:1,Hapoel Tel Aviv
132,Kiryat Shmona,2:1,M. Petah Tikva
133,B. Jerusalem,1:1,Bnei Yehuda
134,Bnei Sakhnin,0:1,H. Kfar Saba
135,H. Beer Sheva,0:3,FC Ashdod
136,M. Petah Tikva,0:2,Hapoel Tel Aviv
137,M. Tel Aviv,3:1,Hapoel Hadera
