round,home,score,away,season,season_year
1,FC Ashdod,1:2,M. Petah Tikva,2017/18,2017
2,Hapoel Raanana,0:0,Kiryat Shmona,2017/18,2017
3,Hapoel Haifa,3:1,H. Ashkelon,2017/18,2017
4,H. Beer Sheva,1:1,Maccabi Netanya,2017/18,2017
5,Hapoel Acre,1:2,Bnei Sakhnin,2017/18,2017
6,M. Tel Aviv,0:3,B. Jerusalem,2017/18,2017
7,Bnei Yehuda,2:0,Maccabi Haifa,2017/18,2017
8,Bnei Sakhnin,2:1,Hapoel Raanana,2017/18,2017
9,H. Ashkelon,1:1,Bnei Yehuda,2017/18,2017
10,Maccabi Netanya,2:2,Hapoel Acre,2017/18,2017
11,M. Petah Tikva,0:2,Hapoel Haifa,2017/18,2017
12,Kiryat Shmona,1:2,M. Tel Aviv,2017/18,2017
13,Maccabi Haifa,3:1,H. Beer Sheva,2017/18,2017
14,B. Jerusalem,4:1,FC Ashdod,2017/18,2017
15,M. Tel Aviv,2:0,Bnei Sakhnin,2017/18,2017
16,Hapoel Haifa,2:1,Bnei Yehuda,2017/18,2017
17,FC Ashdod,0:2,Kiryat Shmona,2017/18,2017
18,H. Beer Sheva,1:0,H. Ashkelon,2017/18,2017
19,Hapoel Raanana,0:3,Maccabi Netanya,2017/18,2017
20,Hapoel Acre,2:0,Maccabi Haifa,2017/18,2017
21,M. Petah Tikva,1:2,B. Jerusalem,2017/18,2017
22,Kiryat Shmona,3:1,M. Petah Tikva,2017/18,2017
23,Maccabi Haifa,4:2,Hapoel Raanana,2017/18,2017
24,H. Ashkelon,2:1,Hapoel Acre,2017/18,2017
25,B. Jerusalem,3:3,Hapoel Haifa,2017/18,2017
26,Bnei Sakhnin,0:0,FC Ashdod,2017/18,2017
27,Bnei Yehuda,0:1,H. Beer Sheva,2017/18,2017
28,Maccabi Netanya,2:3,M. Tel Aviv,2017/18,2017
29,Hapoel Acre,1:1,Bnei Yehuda,2017/18,2017
30,Hapoel Raanana,0:3,H. Ashkelon,2017/18,2017
31,FC Ashdod,0:3,Maccabi Netanya,2017/18,2017
32,Hapoel Haifa,1:1,H. Beer Sheva,2017/18,2017
33,M. Petah Tikva,1:0,Bnei Sakhnin,2017/18,2017
34,M. Tel Aviv,0:0,Maccabi Haifa,2017/18,2017
35,B. Jerusalem,1:1,Kiryat Shmona,2017/18,2017
36,Bnei Yehuda,1:0,Hapoel Raanana,2017/18,2017
37,Kiryat Shmona,0:1,Hapoel Haifa,2017/18,2017
38,Maccabi Haifa,1:0,FC Ashdod,2017/18,2017
39,H. Ashkelon,2:2,M. Tel Aviv,2017/18,2017
40,Maccabi Netanya,4:0,M. Petah Tikva,2017/18,2017
41,Bnei Sakhnin,3:2,B. Jerusalem,2017/18,2017
42,H. Beer Sheva,3:1,Hapoel Acre,2017/18,2017
43,M. Petah Tikva,2:2,Maccabi Haifa,2017/18,2017
44,Hapoel Haifa,4:0,Hapoel Acre,2017/18,2017
45,FC Ashdod,1:1,H. Ashkelon,2017/18,2017
46,Hapoel Raanana,1:3,H. Beer Sheva,2017/18,2017
47,Kiryat Shmona,0:0,Bnei Sakhnin,2017/18,2017
48,M. Tel Aviv,2:0,Bnei Yehuda,2017/18,2017
49,B. Jerusalem,4:1,Maccabi Netanya,2017/18,2017
50,Bnei Yehuda,1:2,FC Ashdod,2017/18,2017
