round,home,score,away
1,M. Tel Aviv,3:2,Bnei Sakhnin
2,Hapoel Raanana,2:2,H. Kfar Saba
3,M. Petah Tikva,1:0,Maccabi Netanya
4,Hapoel Acre,0:1,Hapoel Haifa
5,Maccabi Haifa,0:3,Bnei Yehuda
6,Kiryat Shmona,1:3,H. Beer Sheva
7,B. Jerusalem,0:0,Hapoel Tel Aviv
8,H. Kfar Saba,1:0,Maccabi Haifa
9,Hapoel Haifa,0:3,M. Petah Tikva
10,Bnei Sakhnin,2:3,Hapoel Raanana
11,Hapoel Tel Aviv,0:3,Kiryat Shmona
12,Maccabi Netanya,0:0,B. Jerusalem
13,H. Beer Sheva,0:1,M. Tel Aviv
14,Bnei Yehuda,0:2,Hapoel Acre
15,Hapoel Tel Aviv,1:1,Maccabi Netanya
16,M. Petah Tikva,3:1,Bnei Yehuda
17,Maccabi Haifa,0:0,Bnei Sakhnin
18,Hapoel Raanana,2:3,H. Beer Sheva
19,Hapoel Acre,1:0,H. Kfar Saba
20,B. Jerusalem,1:1,Hapoel Haifa
21,Kiryat Shmona,1:1,M. Tel Aviv
22,Hapoel Haifa,0:1,Hapoel Tel Aviv
23,H. Kfar Saba,0:1,M. Petah Tikva
24,Bnei Sakhnin,2:0,Hapoel Acre
25,Maccabi Netanya,1:1,Kiryat Shmona
26,Bnei Yehuda,2:1,B. Jerusalem
27,M. Tel Aviv,1:2,Hapoel Raanana
28,H. Beer Sheva,0:0,Maccabi Haifa
29,Kiryat Shmona,0:0,Hapoel Raanana
30,Hapoel Acre,1:0,H. Beer Sheva
31,M. Petah Tikva,0:1,Bnei Sakhnin
32,Maccabi Netanya,1:2,Hapoel Haifa
33,Maccabi Haifa,0:2,M. Tel Aviv
34,Hapoel Tel Aviv,3:1,Bnei Yehuda
35,B. Jerusalem,3:1,H. Kfar Saba
36,Bnei Yehuda,1:2,Maccabi Netanya
37,H. Kfar Saba,1:1,Hapoel Tel Aviv
38,Hapoel Raanana,0:2,Maccabi Haifa
39,Hapoel Haifa,1:4,Kiryat Shmona
40,M. Tel Aviv,5:0,Hapoel Acre
41,H. Beer Sheva,5:2,M. Petah Tikva
42,Bnei Sakhnin,1:3,B. Jerusalem
43,Hapoel Tel Aviv,0:4,Bnei Sakhnin
44,Hapoel Haifa,0:1,Bnei Yehuda
45,Hapoel Acre,0:1,Hapoel Raanana
46,Maccabi Netanya,0:1,H. Kfar Saba
47,M. Petah Tikva,1:2,M. Tel Aviv
48,Kiryat Shmona,2:0,Maccabi Haifa
49,B. Jerusalem,1:3,H. Beer Sheva
50,Bnei Sakhnin,0:0,Maccabi Netanya
51,M. Petah Tikva,0:2,Hapoel Raanana
52,H. Kfar Saba,2:2,Hapoel Haifa
53,Bnei Yehuda,2:2,Kiryat Shmona
54,Maccabi Haifa,4:0,Hapoel Acre
55,H. Beer Sheva,3:1,Hapoel Tel Aviv
56,M. Tel Aviv,2:4,B. Jerusalem
57,Kiryat Shmona,0:0,Hapoel Acre
58,Hapoel Tel Aviv,0:1,M. Tel Aviv
59,Hapoel Haifa,2:0,Bnei Sakhnin
60,M. Petah Tikva,1:1,Maccabi Haifa
61,Bnei Yehuda,2:1,H. Kfar Saba
62,Maccabi Netanya,0:2,H. Beer Sheva
63,B. Jerusalem,1:0,Hapoel Raanana
64,Hapoel Raanana,0:1,Hapoel Tel Aviv
65,Bnei Sakhnin,2:2,Bnei Yehuda
66,H. Kfar Saba,0:0,Kiryat Shmona
67,Hapoel Acre,1:0,M. Petah Tikva
68,M. Tel Aviv,2:1,Maccabi Netanya
69,Maccabi Haifa,0:2,B. Jerusalem
70,H. Beer Sheva,1:0,Hapoel Haifa
71,Hapoel Haifa,0:3,M. Tel Aviv
72,Kiryat Shmona,0:1,M. Petah Tikva
73,H. Kfar Saba,1:0,Bnei Sakhnin
74,Maccabi Netanya,1:3,Hapoel Raanana
75,Bnei Yehuda,0:0,H. Beer Sheva
76,B. Jerusalem,1:0,Hapoel Acre
77,Hapoel Tel Aviv,0:3,Maccabi Haifa
78,Maccabi Haifa,1:0,Maccabi Netanya
79,Kiryat Shmona,0:2,Bnei Sakhnin
80,Hapoel Raanana,2:2,Hapoel Haifa
81,M. Petah Tikva,2:0,B. Jerusalem
82,H. Beer Sheva,3:0,H. Kfar Saba
83,M. Tel Aviv,4:0,Bnei Yehuda
