round,home,score,away
1,H. Ashkelon,3:1,H. Petah Tikva
2,Hapoel Haifa,1:0,Hapoel Tel Aviv
3,Bnei Yehuda,0:0,H. Ramat Gan
4,Hapoel Acre,1:2,FC Ashdod
5,Kiryat Shmona,2:0,Bnei Sakhnin
6,Maccabi Netanya,4:1,B. Jerusalem
7,M. Tel Aviv,0:1,Maccabi Haifa
8,M. Petah Tikva,0:1,H. Beer Sheva
9,H. Beer Sheva,0:1,Bnei Yehuda
10,Maccabi Haifa,1:0,M. Petah Tikva
11,H. Ramat Gan,1:2,Hapoel Haifa
12,Hapoel Tel Aviv,5:1,H. Ashkelon
13,H. Petah Tikva,2:2,Hapoel Acre
14,FC Ashdod,2:2,Kiryat Shmona
15,Bnei Sakhnin,1:1,Maccabi Netanya
16,B. Jerusalem,0:1,M. Tel Aviv
17,H. Ashkelon,1:1,H. Ramat Gan
18,Hapoel Acre,2:2,Hapoel Tel Aviv
19,Kiryat Shmona,3:1,H. Petah Tikva
20,Maccabi Netanya,2:0,FC Ashdod
21,M. Petah Tikva,2:1,B. Jerusalem
22,M. Tel Aviv,4:0,Bnei Sakhnin
23,Hapoel Haifa,2:0,Bnei Yehuda
24,H. Beer Sheva,1:1,Maccabi Haifa
25,Hapoel Tel Aviv,2:4,Kiryat Shmona
26,B. Jerusalem,5:1,H. Beer Sheva
27,Hapoel Haifa,1:2,H. Ashkelon
28,H. Petah Tikva,1:1,Maccabi Netanya
29,Bnei Sakhnin,2:3,M. Petah Tikva
30,Bnei Yehuda,2:3,Maccabi Haifa
31,H. Ramat Gan,3:2,Hapoel Acre
32,FC Ashdod,1:2,M. Tel Aviv
33,H. Ashkelon,0:0,Bnei Yehuda
34,M. Tel Aviv,2:1,H. Petah Tikva
35,Hapoel Acre,2:1,Hapoel Haifa
36,M. Petah Tikva,2:2,FC Ashdod
37,H. Beer Sheva,1:0,Bnei Sakhnin
38,Maccabi Netanya,1:3,Hapoel Tel Aviv
39,Maccabi Haifa,3:3,B. Jerusalem
40,Kiryat Shmona,1:0,H. Ramat Gan
41,H. Ashkelon,0:0,Hapoel Acre
42,Hapoel Haifa,1:4,Kiryat Shmona
43,H. Ramat Gan,0:1,Maccabi Netanya
44,H. Petah Tikva,1:4,M. Petah Tikva
45,Bnei Sakhnin,1:2,Maccabi Haifa
46,Hapoel Tel Aviv,1:0,M. Tel Aviv
47,FC Ashdod,3:3,H. Beer Sheva
48,Bnei Yehuda,2:1,B. Jerusalem
49,M. Tel Aviv,2:0,H. Ramat Gan
50,Hapoel Acre,3:1,Bnei Yehuda
51,Kiryat Shmona,2:2,H. Ashkelon
52,Maccabi Netanya,1:1,Hapoel Haifa
53,H. Beer Sheva,0:0,H. Petah Tikva
54,Maccabi Haifa,1:1,FC Ashdod
55,M. Petah Tikva,1:2,Hapoel Tel Aviv
56,B. Jerusalem,0:0,Bnei Sakhnin
57,FC Ashdod,3:0,B. Jerusalem
58,Hapoel Acre,3:0,Kiryat Shmona
59,H. Ashkelon,0:4,Maccabi Netanya
60,H. Ramat Gan,0:2,M. Petah Tikva
61,Bnei Yehuda,2:0,Bnei Sakhnin
62,Hapoel Tel Aviv,3:2,H. Beer Sheva
63,H. Petah Tikva,0:1,Maccabi Haifa
64,Hapoel Haifa,0:0,M. Tel Aviv
65,B. Jerusalem,0:2,H. Petah Tikva
66,Kiryat Shmona,2:2,Bnei Yehuda
67,M. Petah Tikva,2:3,Hapoel Haifa
68,H. Beer Sheva,2:0,H. Ramat Gan
69,Bnei Sakhnin,0:2,FC Ashdod
70,M. Tel Aviv,2:0,H. Ashkelon
