round,home,score,away,season,season_year
1,M. Tel Aviv,2:1,Bnei Yehuda,2008/09,2008
2,Maccabi Haifa,3:1,FC Ashdod,2008/09,2008
3,M. Petah Tikva,1:1,Maccabi Netanya,2008/09,2008
4,Bnei Sakhnin,0:0,B. Jerusalem,2008/09,2008
5,Kiryat Shmona,0:0,H. Petah Tikva,2008/09,2008
6,Hakoah Amidar,2:2,Hapoel Tel Aviv,2008/09,2008
7,Bnei Yehuda,2:2,Hakoah Amidar,2008/09,2008
8,Maccabi Netanya,3:1,H. Petah Tikva,2008/09,2008
9,FC Ashdod,2:0,Kiryat Shmona,2008/09,2008
10,M. Petah Tikva,1:0,Bnei Sakhnin,2008/09,2008
11,Hapoel Tel Aviv,0:0,Maccabi Haifa,2008/09,2008
12,B. Jerusalem,0:0,M. Tel Aviv,2008/09,2008
13,Bnei Sakhnin,0:1,Maccabi Netanya,2008/09,2008
14,M. Tel Aviv,0:0,M. Petah Tikva,2008/09,2008
15,H. Petah Tikva,2:1,FC Ashdod,2008/09,2008
16,Hakoah Amidar,2:4,B. Jerusalem,2008/09,2008
17,Maccabi Haifa,1:0,Bnei Yehuda,2008/09,2008
18,Kiryat Shmona,0:0,Hapoel Tel Aviv,2008/09,2008
19,Bnei Yehuda,0:1,Kiryat Shmona,2008/09,2008
20,Bnei Sakhnin,2:3,M. Tel Aviv,2008/09,2008
21,Maccabi Netanya,2:1,FC Ashdod,2008/09,2008
22,Hapoel Tel Aviv,3:2,H. Petah Tikva,2008/09,2008
23,M. Petah Tikva,1:0,Hakoah Amidar,2008/09,2008
24,B. Jerusalem,1:1,Maccabi Haifa,2008/09,2008
25,Hakoah Amidar,0:0,Bnei Sakhnin,2008/09,2008
26,Maccabi Haifa,3:1,M. Petah Tikva,2008/09,2008
27,Kiryat Shmona,1:0,B. Jerusalem,2008/09,2008
28,H. Petah Tikva,1:0,Bnei Yehuda,2008/09,2008
29,M. Tel Aviv,0:1,Maccabi Netanya,2008/09,2008
30,FC Ashdod,1:0,Hapoel Tel Aviv,2008/09,2008
31,M. Tel Aviv,0:0,Hakoah Amidar,2008/09,2008
32,Bnei Sakhnin,0:1,Maccabi Haifa,2008/09,2008
33,M. Petah Tikva,2:1,Kiryat Shmona,2008/09,2008
34,Bnei Yehuda,1:0,FC Ashdod,2008/09,2008
35,Maccabi Netanya,0:0,Hapoel Tel Aviv,2008/09,2008
36,B. Jerusalem,2:2,H. Petah Tikva,2008/09,2008
37,Hakoah Amidar,1:2,Maccabi Netanya,2008/09,2008
38,Hapoel Tel Aviv,2:0,Bnei Yehuda,2008/09,2008
39,H. Petah Tikva,0:1,M. Petah Tikva,2008/09,2008
40,Kiryat Shmona,1:2,Bnei Sakhnin,2008/09,2008
41,FC Ashdod,1:2,B. Jerusalem,2008/09,2008
42,Maccabi Haifa,3:2,M. Tel Aviv,2008/09,2008
43,Hakoah Amidar,0:3,Maccabi Haifa,2008/09,2008
