round,home,score,away,season,season_year
212,H Rishon leZion,0:0,Maccabi Netanya,2011/12,2011
213,M. Petah Tikva,1:2,H. Beer Sheva,2011/12,2011
214,Ramat haSharon,1:1,Hapoel Tel Aviv,2011/12,2011
215,Maccabi Haifa,1:0,B. Jerusalem,2011/12,2011
216,Bnei Sakhnin,0:1,Hapoel Haifa,2011/12,2011
217,Hapoel Haifa,2:0,Ramat haSharon,2011/12,2011
218,Bnei Yehuda,2:2,M. Petah Tikva,2011/12,2011
219,H. Beer Sheva,2:1,FC Ashdod,2011/12,2011
220,H. Petah Tikva,0:1,H Rishon leZion,2011/12,2011
221,Maccabi Netanya,3:1,Bnei Sakhnin,2011/12,2011
222,B. Jerusalem,1:0,Kiryat Shmona,2011/12,2011
223,Hapoel Acre,0:1,Maccabi Haifa,2011/12,2011
224,Hapoel Tel Aviv,0:1,M. Tel Aviv,2011/12,2011
225,Kiryat Shmona,2:0,Hapoel Acre,2011/12,2011
226,Bnei Sakhnin,3:0,H. Petah Tikva,2011/12,2011
227,Bnei Yehuda,5:1,H. Beer Sheva,2011/12,2011
228,H Rishon leZion,2:1,FC Ashdod,2011/12,2011
229,Ramat haSharon,0:1,Maccabi Netanya,2011/12,2011
230,M. Petah Tikva,2:3,B. Jerusalem,2011/12,2011
231,M. Tel Aviv,2:0,Hapoel Haifa,2011/12,2011
232,Maccabi Haifa,1:4,Hapoel Tel Aviv,2011/12,2011
233,H. Beer Sheva,2:1,H Rishon leZion,2011/12,2011
234,Maccabi Netanya,3:0,M. Tel Aviv,2011/12,2011
235,FC Ashdod,3:3,Bnei Sakhnin,2011/12,2011
236,H. Petah Tikva,1:1,Ramat haSharon,2011/12,2011
237,Hapoel Acre,0:0,M. Petah Tikva,2011/12,2011
238,Hapoel Haifa,1:1,Maccabi Haifa,2011/12,2011
239,Hapoel Tel Aviv,2:2,Kiryat Shmona,2011/12,2011
240,B. Jerusalem,2:1,Bnei Yehuda,2011/12,2011
