round,home,score,away
1,H. Beer Sheva,0:0,Bnei Sakhnin
2,Hapoel Haifa,0:0,Maccabi Netanya
3,FC Ashdod,2:0,Ramat haSharon
4,Hapoel Acre,1:1,Bnei Yehuda
5,Kiryat Shmona,3:2,B. Jerusalem
6,H. Ramat Gan,0:1,Hapoel Tel Aviv
7,M. Tel Aviv,2:1,Maccabi Haifa
8,Maccabi Haifa,1:3,Kiryat Shmona
9,Bnei Sakhnin,1:3,FC Ashdod
10,Ramat haSharon,3:1,Hapoel Acre
11,Bnei Yehuda,1:0,H. Ramat Gan
12,B. Jerusalem,1:1,H. Beer Sheva
13,Hapoel Tel Aviv,2:0,Hapoel Haifa
14,Maccabi Netanya,0:1,M. Tel Aviv
15,FC Ashdod,2:1,B. Jerusalem
16,Hapoel Haifa,1:3,M. Tel Aviv
17,Kiryat Shmona,0:1,Maccabi Netanya
18,Hapoel Acre,5:1,Bnei Sakhnin
19,H. Ramat Gan,1:1,Ramat haSharon
20,Hapoel Tel Aviv,2:0,Bnei Yehuda
21,H. Beer Sheva,1:1,Maccabi Haifa
22,Maccabi Netanya,2:1,H. Beer Sheva
23,Bnei Yehuda,3:1,Hapoel Haifa
24,Bnei Sakhnin,1:3,H. Ramat Gan
25,Maccabi Haifa,0:1,FC Ashdod
26,B. Jerusalem,0:1,Hapoel Acre
27,Ramat haSharon,1:0,Hapoel Tel Aviv
28,M. Tel Aviv,4:0,Kiryat Shmona
29,Hapoel Tel Aviv,1:0,Bnei Sakhnin
30,Hapoel Haifa,1:1,Kiryat Shmona
31,FC Ashdod,3:0,Maccabi Netanya
32,Hapoel Acre,0:0,Maccabi Haifa
33,Bnei Yehuda,2:2,Ramat haSharon
34,H. Ramat Gan,2:2,B. Jerusalem
35,H. Beer Sheva,3:1,M. Tel Aviv
36,Maccabi Haifa,2:0,H. Ramat Gan
37,Maccabi Netanya,1:3,Hapoel Acre
38,Bnei Sakhnin,2:2,Bnei Yehuda
39,Ramat haSharon,2:0,Hapoel Haifa
40,M. Tel Aviv,2:1,FC Ashdod
41,Kiryat Shmona,1:1,H. Beer Sheva
42,B. Jerusalem,3:2,Hapoel Tel Aviv
43,Hapoel Haifa,0:0,H. Beer Sheva
44,FC Ashdod,2:0,Kiryat Shmona
45,Ramat haSharon,1:3,Bnei Sakhnin
46,H. Ramat Gan,1:1,Maccabi Netanya
47,Hapoel Acre,0:2,M. Tel Aviv
48,Bnei Yehuda,1:2,B. Jerusalem
49,Hapoel Tel Aviv,3:0,Maccabi Haifa
50,M. Tel Aviv,3:1,H. Ramat Gan
51,H. Beer Sheva,0:0,FC Ashdod
52,Kiryat Shmona,1:0,Hapoel Acre
53,Bnei Sakhnin,2:0,Hapoel Haifa
54,B. Jerusalem,1:0,Ramat haSharon
55,Maccabi Netanya,2:1,Hapoel Tel Aviv
56,Maccabi Haifa,1:1,Bnei Yehuda
57,Bnei Yehuda,3:0,Maccabi Netanya
58,Hapoel Haifa,2:1,FC Ashdod
59,Hapoel Acre,2:2,H. Beer Sheva
60,Ramat haSharon,1:1,Maccabi Haifa
61,Bnei Sakhnin,1:1,B. Jerusalem
62,H. Ramat Gan,1:1,Kiryat Shmona
63,Hapoel Tel Aviv,1:0,M. Tel Aviv
64,M. Tel Aviv,0:1,Bnei Yehuda
65,Maccabi Netanya,1:2,Ramat haSharon
66,Kiryat Shmona,0:1,Hapoel Tel Aviv
67,B. Jerusalem,3:0,Hapoel Haifa
68,Maccabi Haifa,0:0,Bnei Sakhnin
69,H. Beer Sheva,3:2,H. Ramat Gan
70,FC Ashdod,2:0,Hapoel Acre
71,Hapoel Haifa,0:0,Hapoel Acre
72,Bnei Sakhnin,0:0,Maccabi Netanya
73,H. Ramat Gan,0:1,FC Ashdod
74,Ramat haSharon,3:4,M. Tel Aviv
75,Bnei Yehuda,0:2,Kiryat Shmona
76,Hapoel Tel Aviv,4:1,H. Beer Sheva
77,B. Jerusalem,1:2,Maccabi Haifa
78,M. Tel Aviv,4:0,Bnei Sakhnin
79,H. Beer Sheva,1:0,Bnei Yehuda
80,Kiryat Shmona,2:0,Ramat haSharon
81,Hapoel Acre,0:3,H. Ramat Gan
82,Maccabi Netanya,2:3,B. Jerusalem
83,Hapoel Haifa,0:3,Maccabi Haifa
84,FC Ashdod,1:2,Hapoel Tel Aviv
85,Ramat haSharon,0:1,H. Beer Sheva
86,H. Ramat Gan,1:1,Hapoel Haifa
87,Bnei Yehuda,2:0,FC Ashdod
88,Maccabi Haifa,1:0,Maccabi Netanya
89,Hapoel Tel Aviv,0:0,Hapoel Acre
90,Bnei Sakhnin,1:3,Kiryat Shmona
91,B. Jerusalem,1:1,M. Tel Aviv
92,Maccabi Netanya,0:0,Hapoel Haifa
93,Ramat haSharon,1:0,FC Ashdod
94,Hapoel Tel Aviv,2:2,H. Ramat Gan
95,Bnei Sakhnin,3:2,H. Beer Sheva
96,Bnei Yehuda,2:1,Hapoel Acre
97,B. Jerusalem,2:2,Kiryat Shmona
98,Maccabi Haifa,1:0,M. Tel Aviv
99,Hapoel Haifa,2:2,Hapoel Tel Aviv
100,FC Ashdod,1:2,Bnei Sakhnin
101,Hapoel Acre,0:2,Ramat haSharon
102,H. Ramat Gan,1:0,Bnei Yehuda
103,M. Tel Aviv,2:1,Maccabi Netanya
104,H. Beer Sheva,0:0,B. Jerusalem
105,Kiryat Shmona,0:0,Maccabi Haifa
106,Bnei Yehuda,2:1,Hapoel Tel Aviv
107,Maccabi Netanya,3:4,Kiryat Shmona
108,Bnei Sakhnin,2:1,Hapoel Acre
109,Ramat haSharon,1:0,H. Ramat Gan
110,Maccabi Haifa,2:0,H. Beer Sheva
111,M. Tel Aviv,6:2,Hapoel Haifa
112,B. Jerusalem,1:1,FC Ashdod
113,Hapoel Tel Aviv,1:0,Ramat haSharon
114,H. Beer Sheva,1:3,Maccabi Netanya
115,Hapoel Haifa,2:1,Bnei Yehuda
116,H. Ramat Gan,2:1,Bnei Sakhnin
117,Hapoel Acre,2:3,B. Jerusalem
118,FC Ashdod,1:4,Maccabi Haifa
119,Kiryat Shmona,0:0,M. Tel Aviv
120,Kiryat Shmona,1:1,Hapoel Haifa
121,Maccabi Netanya,2:0,FC Ashdod
122,Ramat haSharon,2:1,Bnei Yehuda
123,Bnei Sakhnin,0:3,Hapoel Tel Aviv
124,Maccabi Haifa,3:1,Hapoel Acre
125,B. Jerusalem,3:2,H. Ramat Gan
126,M. Tel Aviv,5:0,H. Beer Sheva
127,Hapoel Acre,4:4,Maccabi Netanya
128,Bnei Yehuda,0:0,Bnei Sakhnin
129,Hapoel Haifa,3:0,Ramat haSharon
130,H. Beer Sheva,1:0,Kiryat Shmona
131,FC Ashdod,1:0,M. Tel Aviv
132,H. Ramat Gan,0:3,Maccabi Haifa
133,Hapoel Tel Aviv,0:2,B. Jerusalem
134,M. Tel Aviv,4:0,Hapoel Acre
135,Kiryat Shmona,0:0,FC Ashdod
136,Bnei Sakhnin,0:4,Ramat haSharon
137,Maccabi Netanya,1:1,H. Ramat Gan
138,B. Jerusalem,0:1,Bnei Yehuda
139,H. Beer Sheva,2:1,Hapoel Haifa
140,Maccabi Haifa,3:0,Hapoel Tel Aviv
141,Hapoel Tel Aviv,0:3,Maccabi Netanya
142,FC Ashdod,0:1,H. Beer Sheva
143,Hapoel Acre,1:1,Kiryat Shmona
144,Hapoel Haifa,1:3,Bnei Sakhnin
145,H. Ramat Gan,0:1,M. Tel Aviv
146,Ramat haSharon,1:0,B. Jerusalem
147,Bnei Yehuda,2:0,Maccabi Haifa
148,Maccabi Netanya,3:5,Bnei Yehuda
149,FC Ashdod,1:1,Hapoel Haifa
150,H. Beer Sheva,0:0,Hapoel Acre
151,Kiryat Shmona,3:1,H. Ramat Gan
152,Maccabi Haifa,4:0,Ramat haSharon
153,B. Jerusalem,2:2,Bnei Sakhnin
154,M. Tel Aviv,4:0,Hapoel Tel Aviv
155,Hapoel Tel Aviv,1:1,Kiryat Shmona
156,Hapoel Acre,3:1,FC Ashdod
157,Ramat haSharon,0:0,Maccabi Netanya
158,H. Ramat Gan,3:0,H. Beer Sheva
159,Bnei Sakhnin,0:1,Maccabi Haifa
160,Hapoel Haifa,3:0,B. Jerusalem
161,Bnei Yehuda,2:3,M. Tel Aviv
162,Hapoel Acre,1:3,Hapoel Haifa
163,Kiryat Shmona,2:0,Bnei Yehuda
164,FC Ashdod,2:3,H. Ramat Gan
165,M. Tel Aviv,1:0,Ramat haSharon
166,H. Beer Sheva,1:2,Hapoel Tel Aviv
167,Maccabi Netanya,0:0,Bnei Sakhnin
168,Maccabi Haifa,4:1,B. Jerusalem
169,Bnei Yehuda,1:0,H. Beer Sheva
170,Bnei Sakhnin,0:3,M. Tel Aviv
171,Ramat haSharon,0:1,Kiryat Shmona
172,H. Ramat Gan,1:2,Hapoel Acre
173,Hapoel Tel Aviv,1:1,FC Ashdod
174,B. Jerusalem,1:1,Maccabi Netanya
175,Maccabi Haifa,1:1,Hapoel Haifa
176,Hapoel Acre,0:0,Hapoel Tel Aviv
177,H. Beer Sheva,0:1,Ramat haSharon
178,Kiryat Shmona,2:0,Bnei Sakhnin
179,Hapoel Haifa,2:1,H. Ramat Gan
180,Maccabi Netanya,1:2,Maccabi Haifa
181,M. Tel Aviv,5:0,B. Jerusalem
182,FC Ashdod,2:1,Bnei Yehuda
