round,home,score,away,season,season_year
1,M. Bnei Reineh,4:3,Maccabi Netanya,2024/25,2024
2,Bnei Sakhnin,2:0,M. Petah Tikva,2024/25,2024
3,Hapoel Hadera,0:0,Hapoel Haifa,2024/25,2024
4,Maccabi Haifa,4:0,Ironi Tiberias,2024/25,2024
5,B. Jerusalem,3:2,FC Ashdod,2024/25,2024
6,Kiryat Shmona,0:1,H. Beer Sheva,2024/25,2024
7,M. Tel Aviv,2:1,H. Jerusalem,2024/25,2024
8,Hapoel Haifa,1:3,M. Bnei Reineh,2024/25,2024
9,FC Ashdod,2:1,Kiryat Shmona,2024/25,2024
10,H. Jerusalem,1:1,Hapoel Hadera,2024/25,2024
11,Ironi Tiberias,1:0,B. Jerusalem,2024/25,2024
12,Maccabi Netanya,0:2,Maccabi Haifa,2024/25,2024
13,H. Beer Sheva,0:0,Bnei Sakhnin,2024/25,2024
14,M. Petah Tikva,0:3,M. Tel Aviv,2024/25,2024
15,Bnei Sakhnin,2:2,FC Ashdod,2024/25,2024
16,Hapoel Haifa,4:0,H. Jerusalem,2024/25,2024
17,M. Bnei Reineh,2:2,Maccabi Haifa,2024/25,2024
18,Kiryat Shmona,2:0,Ironi Tiberias,2024/25,2024
19,M. Tel Aviv,1:0,H. Beer Sheva,2024/25,2024
20,B. Jerusalem,2:0,Maccabi Netanya,2024/25,2024
21,Hapoel Hadera,0:1,M. Petah Tikva,2024/25,2024
22,H. Jerusalem,0:1,M. Bnei Reineh,2024/25,2024
23,Ironi Tiberias,1:0,Bnei Sakhnin,2024/25,2024
24,M. Petah Tikva,0:0,Hapoel Haifa,2024/25,2024
25,Maccabi Netanya,2:0,Kiryat Shmona,2024/25,2024
26,H. Beer Sheva,2:1,Hapoel Hadera,2024/25,2024
27,FC Ashdod,0:2,M. Tel Aviv,2024/25,2024
28,B. Jerusalem,3:2,Maccabi Haifa,2024/25,2024
29,Kiryat Shmona,0:4,Maccabi Haifa,2024/25,2024
30,M. Bnei Reineh,0:2,B. Jerusalem,2024/25,2024
31,H. Jerusalem,4:1,M. Petah Tikva,2024/25,2024
32,H. Beer Sheva,3:0,Hapoel Haifa,2024/25,2024
33,M. Tel Aviv,1:1,Ironi Tiberias,2024/25,2024
34,Bnei Sakhnin,1:0,Maccabi Netanya,2024/25,2024
35,Hapoel Hadera,0:3,FC Ashdod,2024/25,2024
36,FC Ashdod,0:1,Hapoel Haifa,2024/25,2024
37,Maccabi Haifa,3:0,Bnei Sakhnin,2024/25,2024
38,M. Petah Tikva,2:1,M. Bnei Reineh,2024/25,2024
39,Ironi Tiberias,1:1,Hapoel Hadera,2024/25,2024
40,B. Jerusalem,1:1,Kiryat Shmona,2024/25,2024
41,H. Beer Sheva,3:1,H. Jerusalem,2024/25,2024
42,Maccabi Netanya,1:2,M. Tel Aviv,2024/25,2024
43,M. Bnei Reineh,1:0,Kiryat Shmona,2024/25,2024
44,Hapoel Hadera,2:2,Maccabi Netanya,2024/25,2024
45,Hapoel Haifa,1:0,Ironi Tiberias,2024/25,2024
46,M. Tel Aviv,2:0,Maccabi Haifa,2024/25,2024
47,H. Jerusalem,1:0,FC Ashdod,2024/25,2024
48,M. Petah Tikva,2:5,H. Beer Sheva,2024/25,2024
49,Bnei Sakhnin,2:1,B. Jerusalem,2024/25,2024
50,Kiryat Shmona,2:1,Bnei Sakhnin,2024/25,2024
51,FC Ashdod,0:0,M. Petah Tikva,2024/25,2024
52,Ironi Tiberias,0:2,H. Jerusalem,2024/25,2024
53,H. Beer Sheva,1:1,M. Bnei Reineh,2024/25,2024
