round,home,score,away,season,season_year
1,Hapoel Haifa,0:0,Maccabi Netanya,2021/22,2021
2,M. Petah Tikva,1:1,Kiryat Shmona,2021/22,2021
3,Hapoel Tel Aviv,2:1,FC Ashdod,2021/22,2021
4,Bnei Sakhnin,3:1,M. Tel Aviv,2021/22,2021
5,Hapoel Hadera,0:0,Maccabi Haifa,2021/22,2021
6,B. Jerusalem,0:2,H. Beer Sheva,2021/22,2021
7,H. Nof HaGalil,0:0,H. Jerusalem,2021/22,2021
8,Kiryat Shmona,0:2,Hapoel Tel Aviv,2021/22,2021
9,Maccabi Netanya,1:3,H. Nof HaGalil,2021/22,2021
10,M. Tel Aviv,1:1,M. Petah Tikva,2021/22,2021
11,Maccabi Haifa,2:1,Bnei Sakhnin,2021/22,2021
12,FC Ashdod,1:3,Hapoel Haifa,2021/22,2021
13,H. Beer Sheva,2:2,Hapoel Hadera,2021/22,2021
14,H. Jerusalem,0:3,B. Jerusalem,2021/22,2021
15,Bnei Sakhnin,0:0,H. Beer Sheva,2021/22,2021
16,H. Nof HaGalil,2:0,FC Ashdod,2021/22,2021
17,M. Petah Tikva,1:1,Hapoel Tel Aviv,2021/22,2021
18,M. Tel Aviv,2:1,Maccabi Haifa,2021/22,2021
19,Hapoel Hadera,0:0,H. Jerusalem,2021/22,2021
20,Hapoel Haifa,1:0,Kiryat Shmona,2021/22,2021
21,B. Jerusalem,1:1,Maccabi Netanya,2021/22,2021
22,H. Jerusalem,0:0,Bnei Sakhnin,2021/22,2021
23,Kiryat Shmona,1:0,H. Nof HaGalil,2021/22,2021
24,Hapoel Tel Aviv,0:2,Hapoel Haifa,2021/22,2021
25,H. Beer Sheva,2:0,M. Tel Aviv,2021/22,2021
26,Maccabi Netanya,0:2,Hapoel Hadera,2021/22,2021
27,FC Ashdod,2:0,B. Jerusalem,2021/22,2021
28,Maccabi Haifa,2:0,M. Petah Tikva,2021/22,2021
29,H. Nof HaGalil,2:2,Hapoel Tel Aviv,2021/22,2021
30,M. Petah Tikva,2:0,Hapoel Haifa,2021/22,2021
31,B. Jerusalem,1:1,Kiryat Shmona,2021/22,2021
