round,home,score,away,season,season_year
1,Hapoel Acre,0:2,M. Tel Aviv,2013/14,2013
2,Ramat haSharon,0:2,Hapoel Haifa,2013/14,2013
3,Hapoel Raanana,1:0,M. Petah Tikva,2013/14,2013
4,Bnei Yehuda,1:0,FC Ashdod,2013/14,2013
5,B. Jerusalem,0:2,H. Beer Sheva,2013/14,2013
6,Hapoel Tel Aviv,0:0,Bnei Sakhnin,2013/14,2013
7,Maccabi Haifa,3:1,Kiryat Shmona,2013/14,2013
8,Bnei Sakhnin,1:0,Hapoel Acre,2013/14,2013
9,Kiryat Shmona,4:1,Ramat haSharon,2013/14,2013
10,Hapoel Haifa,1:1,Hapoel Raanana,2013/14,2013
11,H. Beer Sheva,2:0,Hapoel Tel Aviv,2013/14,2013
12,M. Petah Tikva,1:3,B. Jerusalem,2013/14,2013
13,FC Ashdod,3:2,Maccabi Haifa,2013/14,2013
14,M. Tel Aviv,1:0,Bnei Yehuda,2013/14,2013
15,Hapoel Acre,1:2,H. Beer Sheva,2013/14,2013
16,Bnei Yehuda,2:4,Bnei Sakhnin,2013/14,2013
17,Kiryat Shmona,1:0,FC Ashdod,2013/14,2013
18,Ramat haSharon,1:3,Hapoel Raanana,2013/14,2013
19,B. Jerusalem,0:1,Hapoel Haifa,2013/14,2013
20,Hapoel Tel Aviv,3:1,M. Petah Tikva,2013/14,2013
21,Maccabi Haifa,0:3,M. Tel Aviv,2013/14,2013
22,Bnei Sakhnin,0:0,Maccabi Haifa,2013/14,2013
23,FC Ashdod,3:0,Ramat haSharon,2013/14,2013
24,M. Petah Tikva,1:1,Hapoel Acre,2013/14,2013
25,Hapoel Haifa,0:4,Hapoel Tel Aviv,2013/14,2013
26,M. Tel Aviv,3:0,Kiryat Shmona,2013/14,2013
27,Hapoel Raanana,2:2,B. Jerusalem,2013/14,2013
28,H. Beer Sheva,2:1,Bnei Yehuda,2013/14,2013
29,Hapoel Tel Aviv,0:0,Hapoel Raanana,2013/14,2013
30,Hapoel Acre,2:1,Hapoel Haifa,2013/14,2013
31,Kiryat Shmona,1:1,Bnei Sakhnin,2013/14,2013
32,Ramat haSharon,0:2,B. Jerusalem,2013/14,2013
33,Bnei Yehuda,2:4,M. Petah Tikva,2013/14,2013
34,FC Ashdod,0:0,M. Tel Aviv,2013/14,2013
35,Maccabi Haifa,0:0,H. Beer Sheva,2013/14,2013
36,H. Beer Sheva,0:2,Kiryat Shmona,2013/14,2013
37,Bnei Sakhnin,3:0,FC Ashdod,2013/14,2013
38,Hapoel Haifa,2:1,Bnei Yehuda,2013/14,2013
39,Hapoel Raanana,1:3,Hapoel Acre,2013/14,2013
40,M. Petah Tikva,0:3,Maccabi Haifa,2013/14,2013
41,M. Tel Aviv,1:0,Ramat haSharon,2013/14,2013
42,B. Jerusalem,1:0,Hapoel Tel Aviv,2013/14,2013
43,Ramat haSharon,0:5,Hapoel Tel Aviv,2013/14,2013
44,FC Ashdod,2:2,H. Beer Sheva,2013/14,2013
45,Kiryat Shmona,0:0,M. Petah Tikva,2013/14,2013
46,Bnei Yehuda,0:0,Hapoel Raanana,2013/14,2013
47,Hapoel Acre,0:0,B. Jerusalem,2013/14,2013
48,Maccabi Haifa,0:1,Hapoel Haifa,2013/14,2013
49,M. Tel Aviv,4:1,Bnei Sakhnin,2013/14,2013
50,Hapoel Raanana,1:0,Maccabi Haifa,2013/14,2013
51,Hapoel Haifa,2:0,Kiryat Shmona,2013/14,2013
52,M. Petah Tikva,1:1,FC Ashdod,2013/14,2013
53,Bnei Sakhnin,1:1,Ramat haSharon,2013/14,2013
54,B. Jerusalem,2:1,Bnei Yehuda,2013/14,2013
55,Hapoel Tel Aviv,2:0,Hapoel Acre,2013/14,2013
56,H. Beer Sheva,3:2,M. Tel Aviv,2013/14,2013
57,Ramat haSharon,1:1,Hapoel Acre,2013/14,2013
58,FC Ashdod,1:0,Hapoel Haifa,2013/14,2013
59,Bnei Sakhnin,0:4,H. Beer Sheva,2013/14,2013
60,Kiryat Shmona,0:0,Hapoel Raanana,2013/14,2013
61,Bnei Yehuda,2:2,Hapoel Tel Aviv,2013/14,2013
62,M. Tel Aviv,2:2,M. Petah Tikva,2013/14,2013
63,Maccabi Haifa,2:0,B. Jerusalem,2013/14,2013
64,M. Petah Tikva,1:3,Bnei Sakhnin,2013/14,2013
65,Hapoel Haifa,1:3,M. Tel Aviv,2013/14,2013
66,Hapoel Acre,3:2,Bnei Yehuda,2013/14,2013
