round,home,score,away
1,Maccabi Haifa,4:3,Hapoel Raanana
2,Hapoel Hadera,1:1,FC Ashdod
3,Ness Ziona,0:2,M. Tel Aviv
4,H. Kfar Saba,0:1,Hapoel Haifa
5,Bnei Yehuda,2:1,Kiryat Shmona
6,B. Jerusalem,0:0,H. Beer Sheva
7,Hapoel Tel Aviv,0:0,Maccabi Netanya
8,FC Ashdod,2:1,Hapoel Tel Aviv
9,Maccabi Netanya,3:0,Ness Ziona
10,Hapoel Haifa,0:0,Maccabi Haifa
11,H. Beer Sheva,3:0,Hapoel Hadera
12,Hapoel Raanana,2:1,B. Jerusalem
13,M. Tel Aviv,0:0,Bnei Yehuda
14,Kiryat Shmona,1:3,H. Kfar Saba
15,Maccabi Haifa,2:0,Kiryat Shmona
16,Hapoel Tel Aviv,1:1,Ness Ziona
17,Hapoel Hadera,4:0,Hapoel Raanana
18,H. Kfar Saba,0:1,M. Tel Aviv
19,Bnei Yehuda,0:0,Maccabi Netanya
20,FC Ashdod,2:2,H. Beer Sheva
21,B. Jerusalem,0:2,Hapoel Haifa
22,Maccabi Netanya,2:2,H. Kfar Saba
23,Ness Ziona,0:1,Bnei Yehuda
24,Kiryat Shmona,0:2,B. Jerusalem
25,M. Tel Aviv,1:0,Maccabi Haifa
26,Hapoel Raanana,1:1,FC Ashdod
27,Hapoel Haifa,1:2,Hapoel Hadera
28,H. Beer Sheva,3:0,Hapoel Tel Aviv
29,H. Kfar Saba,1:1,Ness Ziona
30,Maccabi Haifa,3:0,Maccabi Netanya
31,Hapoel Hadera,2:2,Kiryat Shmona
32,FC Ashdod,1:1,Hapoel Haifa
33,Hapoel Tel Aviv,1:1,Bnei Yehuda
34,B. Jerusalem,0:4,M. Tel Aviv
35,H. Beer Sheva,1:0,Hapoel Raanana
36,M. Tel Aviv,0:0,Hapoel Hadera
37,Ness Ziona,0:3,Maccabi Haifa
38,Hapoel Haifa,0:3,H. Beer Sheva
39,Bnei Yehuda,0:1,H. Kfar Saba
40,Hapoel Raanana,2:2,Hapoel Tel Aviv
41,Maccabi Netanya,0:3,B. Jerusalem
42,Kiryat Shmona,2:0,FC Ashdod
43,H. Beer Sheva,2:1,Kiryat Shmona
44,Hapoel Tel Aviv,2:1,H. Kfar Saba
45,Hapoel Hadera,1:0,Maccabi Netanya
46,Ness Ziona,0:4,B. Jerusalem
47,Hapoel Raanana,0:0,Hapoel Haifa
48,FC Ashdod,0:1,M. Tel Aviv
49,Maccabi Haifa,1:1,Bnei Yehuda
50,Hapoel Haifa,3:0,Hapoel Tel Aviv
51,Kiryat Shmona,2:1,Hapoel Raanana
52,Maccabi Netanya,2:4,FC Ashdod
53,H. Kfar Saba,0:3,Maccabi Haifa
54,Ness Ziona,2:2,Hapoel Hadera
55,Bnei Yehuda,0:2,B. Jerusalem
