round,home,score,away
1,Kiryat Shmona,3:0,Maccabi Herzlya
2,Maccabi Haifa,0:1,Bnei Sakhnin
3,M. Petah Tikva,0:1,H. Kfar Saba
4,B. Jerusalem,3:0,Bnei Yehuda
5,Maccabi Netanya,0:0,Hapoel Tel Aviv
6,M. Tel Aviv,1:1,FC Ashdod
7,Bnei Sakhnin,0:0,Kiryat Shmona
8,H. Kfar Saba,0:0,Bnei Yehuda
9,FC Ashdod,1:0,Maccabi Haifa
10,Maccabi Herzlya,1:2,Maccabi Netanya
11,M. Petah Tikva,3:2,M. Tel Aviv
12,Hapoel Tel Aviv,1:2,B. Jerusalem
13,B. Jerusalem,4:2,Maccabi Herzlya
14,Bnei Yehuda,1:1,Hapoel Tel Aviv
15,Kiryat Shmona,2:1,FC Ashdod
16,Maccabi Netanya,1:2,Bnei Sakhnin
17,Maccabi Haifa,0:1,M. Petah Tikva
18,M. Tel Aviv,0:1,H. Kfar Saba
19,H. Kfar Saba,1:1,Hapoel Tel Aviv
20,FC Ashdod,1:6,Maccabi Netanya
21,Maccabi Herzlya,0:2,Bnei Yehuda
22,M. Petah Tikva,3:1,Kiryat Shmona
23,M. Tel Aviv,0:3,Maccabi Haifa
24,Bnei Sakhnin,2:2,B. Jerusalem
25,Bnei Yehuda,3:0,Bnei Sakhnin
26,Kiryat Shmona,1:0,M. Tel Aviv
27,Maccabi Haifa,2:1,H. Kfar Saba
28,Maccabi Netanya,1:0,M. Petah Tikva
29,B. Jerusalem,5:0,FC Ashdod
30,Hapoel Tel Aviv,0:2,Maccabi Herzlya
31,Bnei Sakhnin,1:0,Hapoel Tel Aviv
32,H. Kfar Saba,2:3,Maccabi Herzlya
33,FC Ashdod,3:0,Bnei Yehuda
34,Maccabi Haifa,1:0,Kiryat Shmona
35,M. Petah Tikva,1:2,B. Jerusalem
36,M. Tel Aviv,0:2,Maccabi Netanya
37,Bnei Yehuda,0:1,M. Petah Tikva
38,Kiryat Shmona,2:2,H. Kfar Saba
39,Maccabi Herzlya,0:1,Bnei Sakhnin
40,Maccabi Netanya,2:1,Maccabi Haifa
41,B. Jerusalem,2:0,M. Tel Aviv
42,Hapoel Tel Aviv,0:2,FC Ashdod
43,H. Kfar Saba,0:0,Bnei Sakhnin
