round,home,score,away,season,season_year
1,Bnei Yehuda,1:1,Bnei Sakhnin,2016/17,2016
2,Kiryat Shmona,1:0,FC Ashdod,2016/17,2016
3,H. Ashkelon,3:2,Hapoel Haifa,2016/17,2016
4,H. Beer Sheva,2:1,Hapoel Raanana,2016/17,2016
5,M. Petah Tikva,2:2,B. Jerusalem,2016/17,2016
6,M. Tel Aviv,3:1,H. Kfar Saba,2016/17,2016
7,Maccabi Haifa,1:0,Hapoel Tel Aviv,2016/17,2016
8,Hapoel Haifa,1:0,Bnei Yehuda,2016/17,2016
9,Hapoel Raanana,0:1,M. Petah Tikva,2016/17,2016
10,Bnei Sakhnin,1:0,Maccabi Haifa,2016/17,2016
11,Hapoel Tel Aviv,0:0,H. Beer Sheva,2016/17,2016
12,B. Jerusalem,2:2,Kiryat Shmona,2016/17,2016
13,FC Ashdod,1:2,M. Tel Aviv,2016/17,2016
14,H. Kfar Saba,1:1,H. Ashkelon,2016/17,2016
15,Bnei Yehuda,1:1,Maccabi Haifa,2016/17,2016
16,Kiryat Shmona,0:0,Hapoel Raanana,2016/17,2016
17,Hapoel Haifa,1:2,H. Kfar Saba,2016/17,2016
18,H. Beer Sheva,3:0,Bnei Sakhnin,2016/17,2016
19,H. Ashkelon,0:0,FC Ashdod,2016/17,2016
20,M. Tel Aviv,2:2,B. Jerusalem,2016/17,2016
21,M. Petah Tikva,2:0,Hapoel Tel Aviv,2016/17,2016
22,Hapoel Tel Aviv,3:3,Kiryat Shmona,2016/17,2016
23,FC Ashdod,1:3,Hapoel Haifa,2016/17,2016
24,H. Kfar Saba,0:1,Bnei Yehuda,2016/17,2016
25,B. Jerusalem,3:0,H. Ashkelon,2016/17,2016
26,Bnei Sakhnin,0:1,M. Petah Tikva,2016/17,2016
27,Hapoel Raanana,0:3,M. Tel Aviv,2016/17,2016
28,Maccabi Haifa,2:1,H. Beer Sheva,2016/17,2016
29,Kiryat Shmona,2:2,Bnei Sakhnin,2016/17,2016
30,H. Kfar Saba,1:0,FC Ashdod,2016/17,2016
31,H. Ashkelon,0:0,Hapoel Raanana,2016/17,2016
32,Hapoel Haifa,4:0,B. Jerusalem,2016/17,2016
33,Bnei Yehuda,0:3,H. Beer Sheva,2016/17,2016
34,M. Tel Aviv,5:0,Hapoel Tel Aviv,2016/17,2016
35,M. Petah Tikva,2:2,Maccabi Haifa,2016/17,2016
36,Bnei Sakhnin,0:3,M. Tel Aviv,2016/17,2016
37,Hapoel Raanana,2:0,Hapoel Haifa,2016/17,2016
38,Maccabi Haifa,0:0,Kiryat Shmona,2016/17,2016
39,Hapoel Tel Aviv,2:0,H. Ashkelon,2016/17,2016
40,FC Ashdod,2:2,Bnei Yehuda,2016/17,2016
41,B. Jerusalem,1:0,H. Kfar Saba,2016/17,2016
42,H. Beer Sheva,5:0,M. Petah Tikva,2016/17,2016
43,Bnei Yehuda,1:4,M. Petah Tikva,2016/17,2016
44,H. Kfar Saba,1:2,Hapoel Raanana,2016/17,2016
45,Hapoel Haifa,0:2,Hapoel Tel Aviv,2016/17,2016
46,H. Ashkelon,0:1,Bnei Sakhnin,2016/17,2016
47,FC Ashdod,0:0,B. Jerusalem,2016/17,2016
48,Kiryat Shmona,0:2,H. Beer Sheva,2016/17,2016
49,M. Tel Aviv,0:2,Maccabi Haifa,2016/17,2016
50,Bnei Sakhnin,2:1,Hapoel Haifa,2016/17,2016
51,Hapoel Tel Aviv,1:1,H. Kfar Saba,2016/17,2016
52,Hapoel Raanana,0:0,FC Ashdod,2016/17,2016
53,Maccabi Haifa,5:0,H. Ashkelon,2016/17,2016
54,M. Petah Tikva,2:1,Kiryat Shmona,2016/17,2016
55,H. Beer Sheva,2:0,M. Tel Aviv,2016/17,2016
56,B. Jerusalem,2:2,Bnei Yehuda,2016/17,2016
57,Bnei Yehuda,0:1,Kiryat Shmona,2016/17,2016
58,FC Ashdod,1:0,Hapoel Tel Aviv,2016/17,2016
59,B. Jerusalem,1:0,Hapoel Raanana,2016/17,2016
60,Hapoel Haifa,0:0,Maccabi Haifa,2016/17,2016
61,H. Ashkelon,1:5,H. Beer Sheva,2016/17,2016
62,M. Tel Aviv,0:0,M. Petah Tikva,2016/17,2016
63,H. Kfar Saba,2:1,Bnei Sakhnin,2016/17,2016
64,Bnei Sakhnin,0:1,FC Ashdod,2016/17,2016
65,M. Petah Tikva,1:1,H. Ashkelon,2016/17,2016
66,Maccabi Haifa,2:0,H. Kfar Saba,2016/17,2016
67,H. Beer Sheva,5:1,Hapoel Haifa,2016/17,2016
68,Hapoel Raanana,1:0,Bnei Yehuda,2016/17,2016
69,Kiryat Shmona,1:2,M. Tel Aviv,2016/17,2016
70,B. Jerusalem,1:1,Hapoel Tel Aviv,2016/17,2016
71,Hapoel Raanana,0:0,Hapoel Tel Aviv,2016/17,2016
72,Hapoel Haifa,2:1,M. Petah Tikva,2016/17,2016
73,FC Ashdod,1:1,Maccabi Haifa,2016/17,2016
74,Kiryat Shmona,4:1,H. Ashkelon,2016/17,2016
75,H. Kfar Saba,0:2,H. Beer Sheva,2016/17,2016
76,Bnei Yehuda,1:0,M. Tel Aviv,2016/17,2016
77,B. Jerusalem,0:1,Bnei Sakhnin,2016/17,2016
78,Kiryat Shmona,2:0,Hapoel Haifa,2016/17,2016
79,M. Petah Tikva,0:0,H. Kfar Saba,2016/17,2016
80,M. Tel Aviv,0:0,H. Ashkelon,2016/17,2016
81,H. Beer Sheva,5:0,FC Ashdod,2016/17,2016
82,Bnei Sakhnin,1:1,Hapoel Raanana,2016/17,2016
83,Bnei Yehuda,0:1,Hapoel Tel Aviv,2016/17,2016
84,Maccabi Haifa,0:2,B. Jerusalem,2016/17,2016
85,Hapoel Tel Aviv,1:1,Bnei Sakhnin,2016/17,2016
86,H. Kfar Saba,2:2,Kiryat Shmona,2016/17,2016
87,H. Ashkelon,1:0,Bnei Yehuda,2016/17,2016
88,Hapoel Raanana,1:1,Maccabi Haifa,2016/17,2016
89,FC Ashdod,2:2,M. Petah Tikva,2016/17,2016
