round,home,score,away
1,H. Jerusalem,1:2,FC Ashdod
2,Hapoel Tel Aviv,2:1,Kiryat Shmona
3,Ironi Tiberias,1:0,Hapoel Haifa
4,Maccabi Haifa,4:0,M. Bnei Reineh
5,Maccabi Netanya,2:4,H. Beer Sheva
6,Bnei Sakhnin,1:2,B. Jerusalem
7,H. Petah Tikva,0:4,M. Tel Aviv
8,Kiryat Shmona,0:0,H. Petah Tikva
9,M. Bnei Reineh,2:2,Hapoel Tel Aviv
10,Hapoel Haifa,2:1,H. Jerusalem
11,FC Ashdod,1:2,Bnei Sakhnin
12,H. Beer Sheva,7:0,Ironi Tiberias
13,M. Tel Aviv,4:0,Maccabi Netanya
14,B. Jerusalem,0:0,Maccabi Haifa
15,H. Petah Tikva,3:1,Maccabi Netanya
16,Bnei Sakhnin,0:2,Hapoel Haifa
17,Ironi Tiberias,1:4,M. Tel Aviv
18,Kiryat Shmona,3:1,M. Bnei Reineh
19,H. Jerusalem,1:5,H. Beer Sheva
20,Maccabi Haifa,5:1,FC Ashdod
21,Hapoel Tel Aviv,3:2,B. Jerusalem
22,M. Bnei Reineh,1:6,H. Petah Tikva
23,FC Ashdod,2:6,Hapoel Tel Aviv
24,B. Jerusalem,2:1,Kiryat Shmona
25,M. Tel Aviv,2:1,H. Jerusalem
26,Maccabi Netanya,5:2,Ironi Tiberias
27,H. Beer Sheva,3:1,Bnei Sakhnin
28,Hapoel Haifa,1:1,Maccabi Haifa
29,H. Jerusalem,1:2,Maccabi Netanya
30,H. Petah Tikva,0:2,Ironi Tiberias
31,Hapoel Tel Aviv,1:0,Hapoel Haifa
32,Kiryat Shmona,1:2,FC Ashdod
33,M. Bnei Reineh,1:3,B. Jerusalem
34,Bnei Sakhnin,0:0,M. Tel Aviv
35,Maccabi Haifa,0:1,H. Beer Sheva
36,Hapoel Haifa,0:0,Kiryat Shmona
37,Ironi Tiberias,1:0,H. Jerusalem
38,FC Ashdod,2:0,M. Bnei Reineh
39,B. Jerusalem,5:2,H. Petah Tikva
40,H. Beer Sheva,2:1,Hapoel Tel Aviv
41,Maccabi Netanya,1:2,Bnei Sakhnin
42,M. Tel Aviv,1:1,Maccabi Haifa
43,H. Petah Tikva,0:0,H. Jerusalem
44,Bnei Sakhnin,2:0,Ironi Tiberias
45,Kiryat Shmona,1:0,H. Beer Sheva
46,M. Bnei Reineh,1:2,Hapoel Haifa
47,Maccabi Haifa,2:3,Maccabi Netanya
48,B. Jerusalem,0:0,FC Ashdod
49,FC Ashdod,1:1,H. Petah Tikva
50,Hapoel Haifa,2:3,B. Jerusalem
51,Ironi Tiberias,1:1,Maccabi Haifa
52,H. Jerusalem,0:0,Bnei Sakhnin
53,Maccabi Netanya,2:0,Hapoel Tel Aviv
54,H. Beer Sheva,1:0,M. Bnei Reineh
55,M. Tel Aviv,3:1,Kiryat Shmona
56,Maccabi Haifa,2:2,H. Jerusalem
57,Hapoel Tel Aviv,2:0,Ironi Tiberias
58,H. Petah Tikva,2:2,Bnei Sakhnin
59,FC Ashdod,4:1,Hapoel Haifa
60,M. Bnei Reineh,0:2,M. Tel Aviv
61,Kiryat Shmona,1:2,Maccabi Netanya
62,B. Jerusalem,0:1,H. Beer Sheva
63,H. Jerusalem,0:0,Hapoel Tel Aviv
64,Bnei Sakhnin,3:3,Maccabi Haifa
65,Maccabi Netanya,2:1,M. Bnei Reineh
66,Ironi Tiberias,2:3,Kiryat Shmona
67,H. Beer Sheva,2:2,FC Ashdod
68,Hapoel Haifa,2:2,H. Petah Tikva
69,M. Tel Aviv,2:6,B. Jerusalem
