season,offensive_concentration_gini
2006/07,0.4289
2007/08,0.4383
2008/09,0.4638
2009/10,0.4593
2010/11,0.4622
2011/12,0.4567
2012/13,0.4503
2013/14,0.4428
2014/15,0.4375
2015/16,0.4412
2016/17,0.4242
2017/18,0.4233
2018/19,0.4097
2019/20,0.429
2020/21,0.427
2021/22,0.4251
2022/23,0.4667
2023/24,0.4239
2024/25,0.4536
2025/26,0.4309
