season,season_year,teams,attendance_matches,budget_matches,matches_with_both,total_population,total_spectators,total_budget_million_nis,attendance_match_rate_pct,budget_match_rate_pct,both_match_rate_pct
2006/07,2006,12,12,4,4,4218651.0,119700,257.5,100.0,33.33333333333333,33.33333333333333
2007/08,2007,12,12,4,4,3834169.0,362600,257.5,100.0,33.33333333333333,33.33333333333333
2008/09,2008,12,12,4,4,4066519.0,0,232.5,100.0,33.33333333333333,33.33333333333333
2009/10,2009,16,16,4,4,4774303.0,939155,210.0,100.0,25.0,25.0
2010/11,2010,16,16,4,4,4806938.0,318450,247.5,100.0,25.0,25.0
2011/12,2011,16,16,4,4,4775966.0,911780,230.5,100.0,25.0,25.0
2012/13,2012,14,14,4,4,4148127.0,916940,247.5,100.0,28.57142857142857,28.57142857142857
2013/14,2013,14,14,4,4,4094439.0,970781,257.5,100.0,28.57142857142857,28.57142857142857
2014/15,2014,14,14,5,5,4055894.0,935937,315.5,100.0,35.714285714285715,35.714285714285715
2015/16,2015,14,14,5,5,4151239.0,1247497,351.0,100.0,35.714285714285715,35.714285714285715
2016/17,2016,14,14,4,4,4258970.0,1139400,369.5,100.0,28.57142857142857,28.57142857142857
2017/18,2017,14,14,4,4,3952356.0,1079479,335.0,100.0,28.57142857142857,28.57142857142857
2018/19,2018,14,14,5,5,4335481.0,1142281,440.5,100.0,35.714285714285715,35.714285714285715
2019/20,2019,14,14,5,5,4178030.0,1345409,417.5,100.0,35.714285714285715,35.714285714285715
2020/21,2020,14,14,4,4,4351928.0,24790,327.0,100.0,28.57142857142857,28.57142857142857
2021/22,2021,14,14,14,14,4853574.0,1313511,512.5,100.0,100.0,100.0
2022/23,2022,14,14,14,14,4605288.0,1533006,529.0,100.0,100.0,100.0
2023/24,2023,14,14,14,14,5074389.0,1101572,565.5,100.0,100.0,100.0
2024/25,2024,14,14,14,14,4385645.0,1245045,581.0,100.0,100.0,100.0
2025/26,2025,14,14,0,0,4772571.0,618435,0.0,100.0,0.0,0.0
