model,sample,pearson_correlation,spearman_correlation,n_obs,r_squared,adjusted_r_squared,rmse,intercept,beta_population_total,beta_budget_mid_million_nis
population_only,all club-seasons with attendance,0.3920137707043334,0.5699728962367427,280,0.1536747964218298,0.15063046115716017,5149.963520960247,3268.31925436146,0.007957383778898538,
budget_only,club-seasons with attendance and budget,0.6110798983709448,0.7103942023538765,120,0.3734186421930442,0.3681086306862056,4879.787513493806,3498.6507835023413,,97.32499154457612
population_and_budget,"club-seasons with attendance, population, and budget",0.15323565165433012,0.3268848486559254,120,0.3774253502590228,0.36678304855404875,4864.160460058873,3036.647560940704,0.0012126121922633234,95.81296506359145
