season,season_year,teams,budget_coverage_pct,mean_attendance,median_attendance,attendance_gini,attendance_hhi,top_4_attendance_share_pct,mean_attendance_per_1000,mean_capacity_utilization_pct,population_attendance_pearson,budget_attendance_pearson
2006/07,2006,12.0,33.33333333333333,3135.75,2375.0,0.3602075526854288,0.21489535590577669,71.21971595655806,9.99391310930822,22.153716279933192,0.8607943573883767,0.8585917404004175
2007/08,2007,12.0,33.33333333333333,5737.75,4198.5,0.3403422266761555,0.20140104759126112,74.42084942084942,31.648146808403364,36.76677942880852,0.8803436521926122,0.882124881681654
2008/09,2008,12.0,33.33333333333333,0.0,0.0,,,,0.0,0.0,,
2009/10,2009,16.0,25.0,3926.3125,2816.5,0.4045432657869184,0.09896061135337875,55.155964670368576,18.608525511683993,24.122217010934115,0.5714712679187074,-0.033652367164381
2010/11,2010,16.0,25.0,4866.625,3333.5,0.3952318727043896,0.22235324921425095,67.35751295336787,23.006706809741544,28.17342764092917,0.5952174512359594,0.8038262152696416
2011/12,2011,16.0,25.0,3890.75,2807.0,0.33411978731607017,0.08858433031387875,51.262365921603894,26.846346212272774,26.948447852712256,0.5201888517109474,0.737138296211259
2012/13,2012,14.0,28.57142857142857,5038.142857142857,3900.0,0.36447468090363716,0.10437887173608157,57.69625057255655,28.194838819068547,30.527226307062165,0.7091265158197844,0.7092892693774836
2013/14,2013,14.0,28.57142857142857,5444.142857142857,3988.5,0.3682669635594142,0.10445038376860061,55.839679598179195,33.32053335257025,36.691447945455536,0.6947286478676554,0.9398307571036192
2014/15,2014,14.0,35.714285714285715,7630.214285714285,6310.5,0.3712248967250231,0.16988461753846834,71.16729010606483,44.042326118234996,43.11280451133046,0.4919179088832132,0.46289576235069557
2015/16,2015,14.0,35.714285714285715,6854.357142857143,4440.5,0.4164571321385027,0.11769175874265884,59.52190666590781,35.57488534062866,42.05640668619457,0.4049038063008777,0.05001739157774631
2016/17,2016,14.0,28.57142857142857,6260.571428571428,3381.0,0.440978198508319,0.12894129560443246,61.70177286291031,31.83865067645531,37.306726305144366,0.28833484495101275,-0.0688001340458223
2017/18,2017,14.0,28.57142857142857,6071.571428571428,3170.0,0.4554296201433916,0.12280521490335501,62.81548784181999,28.294965374897618,36.77258770367839,0.5389634125906942,-0.2981720816577994
2018/19,2018,14.0,35.714285714285715,6298.428571428572,4566.0,0.40692689786568076,0.11311373623950119,59.878873937323654,29.700568479755027,41.23541149849325,0.4752880315914605,0.17034205720491713
2019/20,2019,14.0,35.714285714285715,7392.285714285715,4498.5,0.44930318975655814,0.1257982737400464,62.2179575132915,31.99098458381048,48.59825438010186,0.4899732013234354,0.8363446323824621
2020/21,2020,14.0,28.57142857142857,1770.7142857142858,1175.0,0.4389730882268196,0.12780384678658535,62.525211778943124,8.979010652769173,11.420955344716887,0.2378968388131087,0.7872927117867979
2021/22,2021,14.0,100.0,7266.785714285715,4152.0,0.46556880972273906,0.13237262689695178,64.15340259807493,35.23935986509772,40.53513781031205,0.21595480574584466,0.9151151507961074
2022/23,2022,14.0,100.0,8653.785714285714,4935.5,0.4682962865137471,0.13526657212185142,65.51702993986977,46.87126268025408,50.42839718150542,0.30997275554539877,0.9476995654873377
2023/24,2023,14.0,100.0,7120.714285714285,4696.5,0.3968774629924194,0.11312794808625062,59.221458061751754,31.967314311660754,42.84451994412634,0.3554614348408816,0.9314781358847585
2024/25,2024,14.0,100.0,7336.714285714285,3556.0,0.5021474329553073,0.14531224014079447,71.6413462967202,37.72122160877416,41.31921198596287,0.45765454354762,0.9351054444288953
2025/26,2025,14.0,0.0,9970.642857142857,6154.0,0.4653482724283432,0.1301321921751214,65.85865935789533,49.2285236209662,49.38929920527983,0.4143779145423638,
