season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2025/26,1,1,M. Tel Aviv,1,1,0,0,4,0,4,3
2025/26,1,2,Maccabi Haifa,1,1,0,0,4,0,4,3
2025/26,1,3,H. Beer Sheva,1,1,0,0,4,2,2,3
2025/26,1,4,B. Jerusalem,1,1,0,0,2,1,1,3
2025/26,1,5,FC Ashdod,1,1,0,0,2,1,1,3
2025/26,1,6,Hapoel Tel Aviv,1,1,0,0,2,1,1,3
2025/26,1,7,Ironi Tiberias,1,1,0,0,1,0,1,3
2025/26,1,8,Bnei Sakhnin,1,0,0,1,1,2,-1,0
2025/26,1,9,H. Jerusalem,1,0,0,1,1,2,-1,0
2025/26,1,10,Kiryat Shmona,1,0,0,1,1,2,-1,0
2025/26,1,11,Hapoel Haifa,1,0,0,1,0,1,-1,0
2025/26,1,12,Maccabi Netanya,1,0,0,1,2,4,-2,0
2025/26,1,13,H. Petah Tikva,1,0,0,1,0,4,-4,0
2025/26,1,14,M. Bnei Reineh,1,0,0,1,0,4,-4,0
2025/26,2,1,H. Beer Sheva,2,2,0,0,11,2,9,6
2025/26,2,2,M. Tel Aviv,2,2,0,0,8,0,8,6
2025/26,2,3,Maccabi Haifa,2,1,1,0,4,0,4,4
2025/26,2,4,Hapoel Tel Aviv,2,1,1,0,4,3,1,4
2025/26,2,5,B. Jerusalem,2,1,1,0,2,1,1,4
2025/26,2,6,Bnei Sakhnin,2,1,0,1,3,3,0,3
2025/26,2,7,FC Ashdod,2,1,0,1,3,3,0,3
2025/26,2,8,Hapoel Haifa,2,1,0,1,2,2,0,3
2025/26,2,9,Ironi Tiberias,2,1,0,1,1,7,-6,3
2025/26,2,10,Kiryat Shmona,2,0,1,1,1,2,-1,1
2025/26,2,11,M. Bnei Reineh,2,0,1,1,2,6,-4,1
2025/26,2,12,H. Petah Tikva,2,0,1,1,0,4,-4,1
2025/26,2,13,H. Jerusalem,2,0,0,2,2,4,-2,0
2025/26,2,14,Maccabi Netanya,2,0,0,2,2,8,-6,0
2025/26,3,1,H. Beer Sheva,3,3,0,0,16,3,13,9
2025/26,3,2,M. Tel Aviv,3,3,0,0,12,1,11,9
2025/26,3,3,Maccabi Haifa,3,2,1,0,9,1,8,7
2025/26,3,4,Hapoel Tel Aviv,3,2,1,0,7,5,2,7
2025/26,3,5,Hapoel Haifa,3,2,0,1,4,2,2,6
2025/26,3,6,Kiryat Shmona,3,1,1,1,4,3,1,4
2025/26,3,7,B. Jerusalem,3,1,1,1,4,4,0,4
2025/26,3,8,H. Petah Tikva,3,1,1,1,3,5,-2,4
2025/26,3,9,Bnei Sakhnin,3,1,0,2,3,5,-2,3
2025/26,3,10,FC Ashdod,3,1,0,2,4,8,-4,3
2025/26,3,11,Ironi Tiberias,3,1,0,2,2,11,-9,3
2025/26,3,12,M. Bnei Reineh,3,0,1,2,3,9,-6,1
2025/26,3,13,H. Jerusalem,3,0,0,3,3,9,-6,0
2025/26,3,14,Maccabi Netanya,3,0,0,3,3,11,-8,0
2025/26,4,1,H. Beer Sheva,4,4,0,0,19,4,15,12
2025/26,4,2,M. Tel Aviv,4,4,0,0,14,2,12,12
2025/26,4,3,Hapoel Tel Aviv,4,3,1,0,13,7,6,10
2025/26,4,4,Maccabi Haifa,4,2,2,0,10,2,8,8
2025/26,4,5,H. Petah Tikva,4,2,1,1,9,6,3,7
2025/26,4,6,Hapoel Haifa,4,2,1,1,5,3,2,7
2025/26,4,7,B. Jerusalem,4,2,1,1,6,5,1,7
2025/26,4,8,Kiryat Shmona,4,1,1,2,5,5,0,4
2025/26,4,9,Bnei Sakhnin,4,1,0,3,4,8,-4,3
2025/26,4,10,Maccabi Netanya,4,1,0,3,8,13,-5,3
