season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points,source
2008/09,2008,B. Jerusalem,M. Tel Aviv,2,0,2,H,3,0,transfermarkt_fill
2008/09,2008,H. Petah Tikva,FC Ashdod,2,1,1,H,3,0,transfermarkt_fill
2008/09,2008,M. Petah Tikva,Hapoel Tel Aviv,1,2,-1,A,0,3,transfermarkt_fill
2008/09,2008,Maccabi Haifa,FC Ashdod,3,1,2,H,3,0,transfermarkt_fill
2008/09,2008,M. Petah Tikva,B. Jerusalem,0,2,-2,A,0,3,transfermarkt_fill
2008/09,2008,Kiryat Shmona,Hapoel Tel Aviv,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,FC Ashdod,Maccabi Netanya,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Maccabi Netanya,B. Jerusalem,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,Hakoah Amidar,Bnei Sakhnin,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Hakoah Amidar,FC Ashdod,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,Bnei Sakhnin,Maccabi Haifa,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Kiryat Shmona,Maccabi Netanya,0,3,-3,A,0,3,transfermarkt_fill
2008/09,2008,Bnei Yehuda,Hakoah Amidar,2,2,0,D,1,1,transfermarkt_fill
2008/09,2008,H. Petah Tikva,B. Jerusalem,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Kiryat Shmona,B. Jerusalem,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,H. Petah Tikva,Kiryat Shmona,3,0,3,H,3,0,transfermarkt_fill
2008/09,2008,Bnei Yehuda,M. Tel Aviv,3,2,1,H,3,0,transfermarkt_fill
2008/09,2008,Hakoah Amidar,Bnei Sakhnin,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,M. Tel Aviv,FC Ashdod,2,2,0,D,1,1,transfermarkt_fill
2008/09,2008,Hakoah Amidar,M. Petah Tikva,2,2,0,D,1,1,transfermarkt_fill
2008/09,2008,Maccabi Netanya,B. Jerusalem,1,2,-1,A,0,3,transfermarkt_fill
2008/09,2008,B. Jerusalem,Bnei Yehuda,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,Maccabi Netanya,H. Petah Tikva,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,B. Jerusalem,Bnei Sakhnin,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Kiryat Shmona,Hapoel Tel Aviv,1,3,-2,A,0,3,transfermarkt_fill
2008/09,2008,Maccabi Netanya,M. Petah Tikva,1,2,-1,A,0,3,transfermarkt_fill
2008/09,2008,FC Ashdod,Kiryat Shmona,2,0,2,H,3,0,transfermarkt_fill
2008/09,2008,Hapoel Tel Aviv,FC Ashdod,2,0,2,H,3,0,transfermarkt_fill
2008/09,2008,FC Ashdod,H. Petah Tikva,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,FC Ashdod,Maccabi Haifa,0,3,-3,A,0,3,transfermarkt_fill
2008/09,2008,FC Ashdod,Bnei Yehuda,0,3,-3,A,0,3,transfermarkt_fill
2008/09,2008,M. Petah Tikva,H. Petah Tikva,2,1,1,H,3,0,transfermarkt_fill
2008/09,2008,M. Petah Tikva,Kiryat Shmona,2,1,1,H,3,0,transfermarkt_fill
2008/09,2008,Bnei Yehuda,B. Jerusalem,0,3,-3,A,0,3,transfermarkt_fill
2008/09,2008,Maccabi Haifa,B. Jerusalem,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Hapoel Tel Aviv,Bnei Yehuda,2,1,1,H,3,0,transfermarkt_fill
2008/09,2008,FC Ashdod,H. Petah Tikva,4,1,3,H,3,0,transfermarkt_fill
2008/09,2008,Hakoah Amidar,FC Ashdod,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Hapoel Tel Aviv,Bnei Sakhnin,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,Maccabi Haifa,Hapoel Tel Aviv,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,Bnei Yehuda,Kiryat Shmona,0,1,-1,A,0,3,transfermarkt_fill
2008/09,2008,Kiryat Shmona,FC Ashdod,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,M. Petah Tikva,Hakoah Amidar,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,Maccabi Netanya,M. Tel Aviv,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,Bnei Yehuda,M. Petah Tikva,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,Bnei Sakhnin,H. Petah Tikva,0,3,-3,A,0,3,transfermarkt_fill
2008/09,2008,Maccabi Haifa,B. Jerusalem,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,B. Jerusalem,Maccabi Netanya,2,1,1,H,3,0,transfermarkt_fill
2008/09,2008,H. Petah Tikva,Maccabi Netanya,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Kiryat Shmona,H. Petah Tikva,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,B. Jerusalem,Hapoel Tel Aviv,0,2,-2,A,0,3,transfermarkt_fill
2008/09,2008,Bnei Sakhnin,Hakoah Amidar,0,1,-1,A,0,3,transfermarkt_fill
2008/09,2008,Hakoah Amidar,M. Tel Aviv,0,1,-1,A,0,3,transfermarkt_fill
2008/09,2008,Kiryat Shmona,Bnei Sakhnin,1,2,-1,A,0,3,transfermarkt_fill
2008/09,2008,Maccabi Netanya,H. Petah Tikva,3,1,2,H,3,0,transfermarkt_fill
2008/09,2008,B. Jerusalem,Hakoah Amidar,3,0,3,H,3,0,transfermarkt_fill
2008/09,2008,Maccabi Netanya,Hakoah Amidar,2,2,0,D,1,1,transfermarkt_fill
2008/09,2008,M. Petah Tikva,Hapoel Tel Aviv,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,FC Ashdod,Hapoel Tel Aviv,1,0,1,H,3,0,transfermarkt_fill
2008/09,2008,Hakoah Amidar,B. Jerusalem,2,4,-2,A,0,3,transfermarkt_fill
2008/09,2008,Bnei Sakhnin,Bnei Yehuda,3,1,2,H,3,0,transfermarkt_fill
2008/09,2008,B. Jerusalem,FC Ashdod,2,1,1,H,3,0,transfermarkt_fill
2008/09,2008,B. Jerusalem,Hapoel Tel Aviv,2,1,1,H,3,0,transfermarkt_fill
2008/09,2008,Kiryat Shmona,H. Petah Tikva,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,M. Petah Tikva,M. Tel Aviv,0,3,-3,A,0,3,transfermarkt_fill
2008/09,2008,M. Petah Tikva,Maccabi Haifa,2,0,2,H,3,0,transfermarkt_fill
2008/09,2008,H. Petah Tikva,Hapoel Tel Aviv,0,2,-2,A,0,3,transfermarkt_fill
2008/09,2008,Bnei Sakhnin,M. Tel Aviv,2,3,-1,A,0,3,transfermarkt_fill
2008/09,2008,Maccabi Haifa,Kiryat Shmona,1,1,0,D,1,1,transfermarkt_fill
2008/09,2008,Kiryat Shmona,M. Petah Tikva,0,0,0,D,1,1,transfermarkt_fill
2008/09,2008,Bnei Yehuda,Maccabi Netanya,2,0,2,H,3,0,transfermarkt_fill
2008/09,2008,Bnei Sakhnin,Maccabi Netanya,0,0,0,D,1,1,transfermarkt_fill
