season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2015/16,1,1,Bnei Yehuda,1,1,0,0,3,0,3,3
2015/16,1,2,H. Beer Sheva,1,1,0,0,3,1,2,3
2015/16,1,3,M. Tel Aviv,1,1,0,0,3,2,1,3
2015/16,1,4,Hapoel Haifa,1,1,0,0,1,0,1,3
2015/16,1,5,M. Petah Tikva,1,1,0,0,1,0,1,3
2015/16,1,6,H. Kfar Saba,1,0,1,0,2,2,0,1
2015/16,1,7,Hapoel Ra'anana,1,0,1,0,2,2,0,1
2015/16,1,8,B. Jerusalem,1,0,1,0,0,0,0,1
2015/16,1,9,Hapoel Tel Aviv,1,0,1,0,0,0,0,1
2015/16,1,10,Bnei Sakhnin,1,0,0,1,2,3,-1,0
2015/16,1,11,Hapoel Acre,1,0,0,1,0,1,-1,0
2015/16,1,12,Maccabi Netanya,1,0,0,1,0,1,-1,0
2015/16,1,13,Kiryat Shmona,1,0,0,1,1,3,-2,0
2015/16,1,14,Maccabi Haifa,1,0,0,1,0,3,-3,0
2015/16,2,1,M. Petah Tikva,2,2,0,0,4,0,4,6
2015/16,2,2,M. Tel Aviv,2,2,0,0,4,2,2,6
2015/16,2,3,Hapoel Ra'anana,2,1,1,0,5,4,1,4
2015/16,2,4,H. Kfar Saba,2,1,1,0,3,2,1,4
2015/16,2,5,Kiryat Shmona,2,1,0,1,4,3,1,3
2015/16,2,6,Bnei Yehuda,2,1,0,1,3,2,1,3
2015/16,2,7,H. Beer Sheva,2,1,0,1,3,2,1,3
2015/16,2,8,Hapoel Acre,2,1,0,1,2,1,1,3
2015/16,2,9,Hapoel Haifa,2,1,0,1,1,3,-2,3
2015/16,2,10,B. Jerusalem,2,0,2,0,0,0,0,2
2015/16,2,11,Maccabi Netanya,2,0,1,1,0,1,-1,1
2015/16,2,12,Hapoel Tel Aviv,2,0,1,1,0,3,-3,1
2015/16,2,13,Bnei Sakhnin,2,0,0,2,4,6,-2,0
2015/16,2,14,Maccabi Haifa,2,0,0,2,0,4,-4,0
2015/16,3,1,M. Petah Tikva,3,3,0,0,7,1,6,9
2015/16,3,2,M. Tel Aviv,3,2,1,0,5,3,2,7
2015/16,3,3,H. Beer Sheva,3,2,0,1,6,4,2,6
2015/16,3,4,Hapoel Acre,3,2,0,1,3,1,2,6
2015/16,3,5,Kiryat Shmona,3,1,1,1,5,4,1,4
2015/16,3,6,Hapoel Ra'anana,3,1,1,1,7,7,0,4
2015/16,3,7,H. Kfar Saba,3,1,1,1,3,3,0,4
2015/16,3,8,Hapoel Haifa,3,1,1,1,2,4,-2,4
2015/16,3,9,B. Jerusalem,3,0,3,0,1,1,0,3
2015/16,3,10,Bnei Yehuda,3,1,0,2,4,5,-1,3
2015/16,3,11,Maccabi Netanya,3,0,2,1,1,2,-1,2
2015/16,3,12,Hapoel Tel Aviv,3,0,2,1,1,4,-3,2
2015/16,3,13,Bnei Sakhnin,3,0,1,2,4,6,-2,1
2015/16,3,14,Maccabi Haifa,3,0,1,2,0,4,-4,1
2015/16,4,1,M. Petah Tikva,4,4,0,0,8,1,7,12
2015/16,4,2,H. Beer Sheva,4,2,1,1,6,4,2,7
2015/16,4,3,Hapoel Ra'anana,4,2,1,1,9,8,1,7
2015/16,4,4,M. Tel Aviv,4,2,1,1,6,5,1,7
2015/16,4,5,Bnei Yehuda,4,2,0,2,6,6,0,6
2015/16,4,6,Hapoel Acre,4,2,0,2,3,3,0,6
2015/16,4,7,Kiryat Shmona,4,1,2,1,6,5,1,5
2015/16,4,8,Hapoel Tel Aviv,4,1,2,1,2,4,-2,5
2015/16,4,9,Bnei Sakhnin,4,1,1,2,6,6,0,4
2015/16,4,10,H. Kfar Saba,4,1,1,2,3,4,-1,4
2015/16,4,11,Hapoel Haifa,4,1,1,2,2,5,-3,4
2015/16,4,12,B. Jerusalem,4,0,3,1,2,3,-1,3
2015/16,4,13,Maccabi Netanya,4,0,3,1,2,3,-1,3
2015/16,4,14,Maccabi Haifa,4,0,2,2,0,4,-4,2
2015/16,5,1,M. Petah Tikva,5,4,0,1,8,2,6,12
2015/16,5,2,M. Tel Aviv,5,3,1,1,8,5,3,10
2015/16,5,3,Hapoel Acre,5,3,0,2,4,3,1,9
2015/16,5,4,Hapoel Ra'anana,5,2,2,1,9,8,1,8
2015/16,5,5,Hapoel Tel Aviv,5,2,2,1,5,5,0,8
2015/16,5,6,Bnei Sakhnin,5,2,1,2,7,6,1,7
2015/16,5,7,H. Beer Sheva,5,2,1,2,6,5,1,7
2015/16,5,8,Hapoel Haifa,5,2,1,2,4,6,-2,7
2015/16,5,9,Kiryat Shmona,5,1,3,1,6,5,1,6
2015/16,5,10,B. Jerusalem,5,1,3,1,5,4,1,6
2015/16,5,11,Bnei Yehuda,5,2,0,3,7,9,-2,6
2015/16,5,12,H. Kfar Saba,5,1,1,3,4,7,-3,4
2015/16,5,13,Maccabi Netanya,5,0,3,2,3,5,-2,3
2015/16,5,14,Maccabi Haifa,5,0,2,3,0,6,-6,2
2015/16,6,1,M. Tel Aviv,6,4,1,1,13,5,8,13
2015/16,6,2,M. Petah Tikva,6,4,0,2,10,7,3,12
2015/16,6,3,H. Beer Sheva,6,3,1,2,11,7,4,10
2015/16,6,4,Kiryat Shmona,6,2,3,1,10,6,4,9
2015/16,6,5,B. Jerusalem,6,2,3,1,8,5,3,9
2015/16,6,6,Hapoel Tel Aviv,6,2,3,1,6,6,0,9
2015/16,6,7,Hapoel Acre,6,3,0,3,4,8,-4,9
2015/16,6,8,Hapoel Ra'anana,6,2,2,2,9,10,-1,8
2015/16,6,9,Bnei Sakhnin,6,2,1,3,8,9,-1,7
2015/16,6,10,Hapoel Haifa,6,2,1,3,5,10,-5,7
2015/16,6,11,Maccabi Netanya,6,1,3,2,5,6,-1,6
2015/16,6,12,Bnei Yehuda,6,2,0,4,8,11,-3,6
2015/16,6,13,H. Kfar Saba,6,1,2,3,5,8,-3,5
2015/16,6,14,Maccabi Haifa,6,1,2,3,2,6,-4,5
2015/16,7,1,M. Tel Aviv,7,5,1,1,15,6,9,16
2015/16,7,2,H. Beer Sheva,7,4,1,2,14,8,6,13
2015/16,7,3,Kiryat Shmona,7,3,3,1,12,6,6,12
2015/16,7,4,M. Petah Tikva,7,4,0,3,11,9,2,12
2015/16,7,5,Hapoel Ra'anana,7,3,2,2,10,10,0,11
2015/16,7,6,Bnei Sakhnin,7,3,1,3,12,9,3,10
2015/16,7,7,B. Jerusalem,7,2,3,2,9,8,1,9
2015/16,7,8,Bnei Yehuda,7,3,0,4,9,11,-2,9
2015/16,7,9,Hapoel Tel Aviv,7,2,3,2,6,10,-4,9
2015/16,7,10,Hapoel Acre,7,3,0,4,4,9,-5,9
2015/16,7,11,H. Kfar Saba,7,2,2,3,6,8,-2,8
