season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2010/11,1,1,Maccabi Netanya,1,1,0,0,4,1,3,3
2010/11,1,2,H. Ashkelon,1,1,0,0,3,1,2,3
2010/11,1,3,Kiryat Shmona,1,1,0,0,2,0,2,3
2010/11,1,4,FC Ashdod,1,1,0,0,2,1,1,3
2010/11,1,5,H. Beer Sheva,1,1,0,0,1,0,1,3
2010/11,1,6,Hapoel Haifa,1,1,0,0,1,0,1,3
2010/11,1,7,Maccabi Haifa,1,1,0,0,1,0,1,3
2010/11,1,8,Bnei Yehuda,1,0,1,0,0,0,0,1
2010/11,1,9,H. Ramat Gan,1,0,1,0,0,0,0,1
2010/11,1,10,Hapoel Acre,1,0,0,1,1,2,-1,0
2010/11,1,11,Hapoel Tel Aviv,1,0,0,1,0,1,-1,0
2010/11,1,12,M. Petah Tikva,1,0,0,1,0,1,-1,0
2010/11,1,13,M. Tel Aviv,1,0,0,1,0,1,-1,0
2010/11,1,14,H. Petah Tikva,1,0,0,1,1,3,-2,0
2010/11,1,15,Bnei Sakhnin,1,0,0,1,0,2,-2,0
2010/11,1,16,B. Jerusalem,1,0,0,1,1,4,-3,0
2010/11,2,1,Hapoel Haifa,2,2,0,0,3,1,2,6
2010/11,2,2,Maccabi Haifa,2,2,0,0,2,0,2,6
2010/11,2,3,Maccabi Netanya,2,1,1,0,5,2,3,4
2010/11,2,4,Kiryat Shmona,2,1,1,0,4,2,2,4
2010/11,2,5,FC Ashdod,2,1,1,0,4,3,1,4
2010/11,2,6,Bnei Yehuda,2,1,1,0,1,0,1,4
2010/11,2,7,Hapoel Tel Aviv,2,1,0,1,5,2,3,3
2010/11,2,8,H. Beer Sheva,2,1,0,1,1,1,0,3
2010/11,2,9,M. Tel Aviv,2,1,0,1,1,1,0,3
2010/11,2,10,H. Ashkelon,2,1,0,1,4,6,-2,3
2010/11,2,11,Hapoel Acre,2,0,1,1,3,4,-1,1
2010/11,2,12,H. Ramat Gan,2,0,1,1,1,2,-1,1
2010/11,2,13,H. Petah Tikva,2,0,1,1,3,5,-2,1
2010/11,2,14,Bnei Sakhnin,2,0,1,1,1,3,-2,1
2010/11,2,15,M. Petah Tikva,2,0,0,2,0,2,-2,0
2010/11,2,16,B. Jerusalem,2,0,0,2,1,5,-4,0
2010/11,3,1,Hapoel Haifa,3,3,0,0,5,1,4,9
2010/11,3,2,Maccabi Netanya,3,2,1,0,7,2,5,7
2010/11,3,3,Kiryat Shmona,3,2,1,0,7,3,4,7
2010/11,3,4,Maccabi Haifa,3,2,1,0,3,1,2,7
2010/11,3,5,M. Tel Aviv,3,2,0,1,5,1,4,6
2010/11,3,6,Hapoel Tel Aviv,3,1,1,1,7,4,3,4
2010/11,3,7,H. Beer Sheva,3,1,1,1,2,2,0,4
2010/11,3,8,FC Ashdod,3,1,1,1,4,5,-1,4
2010/11,3,9,Bnei Yehuda,3,1,1,1,1,2,-1,4
2010/11,3,10,H. Ashkelon,3,1,1,1,5,7,-2,4
2010/11,3,11,M. Petah Tikva,3,1,0,2,2,3,-1,3
2010/11,3,12,Hapoel Acre,3,0,2,1,5,6,-1,2
2010/11,3,13,H. Ramat Gan,3,0,2,1,2,3,-1,2
2010/11,3,14,H. Petah Tikva,3,0,1,2,4,8,-4,1
2010/11,3,15,Bnei Sakhnin,3,0,1,2,1,7,-6,1
2010/11,3,16,B. Jerusalem,3,0,0,3,2,7,-5,0
2010/11,4,1,Kiryat Shmona,4,3,1,0,11,5,6,10
2010/11,4,2,Maccabi Haifa,4,3,1,0,6,3,3,10
2010/11,4,3,M. Tel Aviv,4,3,0,1,7,2,5,9
2010/11,4,4,Hapoel Haifa,4,3,0,1,6,3,3,9
2010/11,4,5,Maccabi Netanya,4,2,2,0,8,3,5,8
2010/11,4,6,H. Ashkelon,4,2,1,1,7,8,-1,7
2010/11,4,7,M. Petah Tikva,4,2,0,2,5,5,0,6
2010/11,4,8,H. Ramat Gan,4,1,2,1,5,5,0,5
2010/11,4,9,Hapoel Tel Aviv,4,1,1,2,9,8,1,4
