season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2009/10,1,1,Bnei Yehuda,1,1,0,0,3,0,3,3
2009/10,1,2,M. Tel Aviv,1,1,0,0,3,1,2,3
2009/10,1,3,H. Beer Sheva,1,1,0,0,2,1,1,3
2009/10,1,4,H. Petah Tikva,1,1,0,0,2,1,1,3
2009/10,1,5,Hapoel Haifa,1,1,0,0,2,1,1,3
2009/10,1,6,Maccabi Haifa,1,1,0,0,2,1,1,3
2009/10,1,7,H. Ramat Gan,1,0,1,0,1,1,0,1
2009/10,1,8,M. Petah Tikva,1,0,1,0,1,1,0,1
2009/10,1,9,B. Jerusalem,1,0,1,0,0,0,0,1
2009/10,1,10,Hapoel Tel Aviv,1,0,1,0,0,0,0,1
2009/10,1,11,Hapoel Acre,1,0,0,1,1,2,-1,0
2009/10,1,12,Hapoel Ra'anana,1,0,0,1,1,2,-1,0
2009/10,1,13,M. Ahi Nazareth,1,0,0,1,1,2,-1,0
2009/10,1,14,Maccabi Netanya,1,0,0,1,1,2,-1,0
2009/10,1,15,Bnei Sakhnin,1,0,0,1,1,3,-2,0
2009/10,1,16,FC Ashdod,1,0,0,1,0,3,-3,0
2009/10,2,1,Bnei Yehuda,2,2,0,0,5,0,5,6
2009/10,2,2,M. Tel Aviv,2,2,0,0,5,1,4,6
2009/10,2,3,Maccabi Haifa,2,2,0,0,5,2,3,6
2009/10,2,4,H. Beer Sheva,2,1,1,0,4,3,1,4
2009/10,2,5,Hapoel Haifa,2,1,0,1,2,2,0,3
2009/10,2,6,H. Petah Tikva,2,1,0,1,2,3,-1,3
2009/10,2,7,FC Ashdod,2,1,0,1,1,3,-2,3
2009/10,2,8,H. Ramat Gan,2,0,2,0,3,3,0,2
2009/10,2,9,M. Petah Tikva,2,0,2,0,2,2,0,2
2009/10,2,10,Hapoel Tel Aviv,2,0,2,0,1,1,0,2
2009/10,2,11,B. Jerusalem,2,0,2,0,0,0,0,2
2009/10,2,12,Hapoel Acre,2,0,1,1,2,3,-1,1
2009/10,2,13,Maccabi Netanya,2,0,1,1,2,3,-1,1
2009/10,2,14,Bnei Sakhnin,2,0,1,1,1,3,-2,1
2009/10,2,15,Hapoel Ra'anana,2,0,0,2,2,5,-3,0
2009/10,2,16,M. Ahi Nazareth,2,0,0,2,1,4,-3,0
2009/10,3,1,Maccabi Haifa,3,3,0,0,8,3,5,9
