season,leadership_changes,first_leader,last_leader,last_round,distinct_leaders
2006/07,5,H. Kfar Saba,B. Jerusalem,33,4
2007/08,0,B. Jerusalem,B. Jerusalem,33,1
2008/09,8,Maccabi Haifa,Maccabi Haifa,33,3
2009/10,1,Bnei Yehuda,Maccabi Haifa,30,2
2009/10,1,Bnei Yehuda,Maccabi Haifa,30,2
2010/11,12,Maccabi Netanya,Maccabi Haifa,30,6
2010/11,12,Maccabi Netanya,Maccabi Haifa,30,6
2011/12,7,Hapoel Tel Aviv,Kiryat Shmona,30,3
2011/12,7,Hapoel Tel Aviv,Kiryat Shmona,30,3
2012/13,7,FC Ashdod,M. Tel Aviv,26,3
2013/14,2,Maccabi Haifa,M. Tel Aviv,26,3
2014/15,7,Hapoel Raanana,M. Tel Aviv,26,3
2015/16,5,Bnei Yehuda,H. Beer Sheva,26,4
2016/17,3,M. Tel Aviv,H. Beer Sheva,26,2
2017/18,8,B. Jerusalem,H. Beer Sheva,26,4
2018/19,4,Hapoel Haifa,M. Tel Aviv,26,3
2019/20,5,M. Tel Aviv,M. Tel Aviv,26,3
2020/21,8,Bnei Yehuda,Maccabi Haifa,26,6
2021/22,5,Bnei Sakhnin,Maccabi Haifa,26,6
2022/23,5,M. Tel Aviv,Maccabi Haifa,26,2
2023/24,4,M. Tel Aviv,M. Tel Aviv,26,2
2024/25,2,Maccabi Haifa,H. Beer Sheva,26,3
2025/26,1,M. Tel Aviv,H. Beer Sheva,11,2
