season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2024/25,1,1,Maccabi Haifa,1,1,0,0,4,0,4,3
2024/25,1,2,Bnei Sakhnin,1,1,0,0,2,0,2,3
2024/25,1,3,M. Bnei Reineh,1,1,0,0,4,3,1,3
2024/25,1,4,B. Jerusalem,1,1,0,0,3,2,1,3
2024/25,1,5,M. Tel Aviv,1,1,0,0,2,1,1,3
2024/25,1,6,H. Beer Sheva,1,1,0,0,1,0,1,3
2024/25,1,7,Hapoel Hadera,1,0,1,0,0,0,0,1
2024/25,1,8,Hapoel Haifa,1,0,1,0,0,0,0,1
2024/25,1,9,Maccabi Netanya,1,0,0,1,3,4,-1,0
2024/25,1,10,FC Ashdod,1,0,0,1,2,3,-1,0
2024/25,1,11,H. Jerusalem,1,0,0,1,1,2,-1,0
2024/25,1,12,Kiryat Shmona,1,0,0,1,0,1,-1,0
2024/25,1,13,M. Petah Tikva,1,0,0,1,0,2,-2,0
2024/25,1,14,Ironi Tiberias,1,0,0,1,0,4,-4,0
2024/25,2,1,Maccabi Haifa,2,2,0,0,6,0,6,6
2024/25,2,2,M. Tel Aviv,2,2,0,0,5,1,4,6
2024/25,2,3,M. Bnei Reineh,2,2,0,0,7,4,3,6
2024/25,2,4,Bnei Sakhnin,2,1,1,0,2,0,2,4
2024/25,2,5,H. Beer Sheva,2,1,1,0,1,0,1,4
2024/25,2,6,FC Ashdod,2,1,0,1,4,4,0,3
2024/25,2,7,B. Jerusalem,2,1,0,1,3,3,0,3
2024/25,2,8,Ironi Tiberias,2,1,0,1,1,4,-3,3
2024/25,2,9,Hapoel Hadera,2,0,2,0,1,1,0,2
2024/25,2,10,H. Jerusalem,2,0,1,1,2,3,-1,1
2024/25,2,11,Hapoel Haifa,2,0,1,1,1,3,-2,1
2024/25,2,12,Kiryat Shmona,2,0,0,2,1,3,-2,0
2024/25,2,13,Maccabi Netanya,2,0,0,2,3,6,-3,0
2024/25,2,14,M. Petah Tikva,2,0,0,2,0,5,-5,0
2024/25,3,1,M. Tel Aviv,3,3,0,0,6,1,5,9
2024/25,3,2,Maccabi Haifa,3,2,1,0,8,2,6,7
2024/25,3,3,M. Bnei Reineh,3,2,1,0,9,6,3,7
2024/25,3,4,B. Jerusalem,3,2,0,1,5,3,2,6
2024/25,3,5,Bnei Sakhnin,3,1,2,0,4,2,2,5
2024/25,3,6,Hapoel Haifa,3,1,1,1,5,3,2,4
2024/25,3,7,FC Ashdod,3,1,1,1,6,6,0,4
2024/25,3,8,H. Beer Sheva,3,1,1,1,1,1,0,4
2024/25,3,9,Kiryat Shmona,3,1,0,2,3,3,0,3
2024/25,3,10,M. Petah Tikva,3,1,0,2,1,5,-4,3
2024/25,3,11,Ironi Tiberias,3,1,0,2,1,6,-5,3
2024/25,3,12,Hapoel Hadera,3,0,2,1,1,2,-1,2
2024/25,3,13,H. Jerusalem,3,0,1,2,2,7,-5,1
2024/25,3,14,Maccabi Netanya,3,0,0,3,3,8,-5,0
2024/25,4,1,M. Tel Aviv,4,4,0,0,8,1,7,12
2024/25,4,2,M. Bnei Reineh,4,3,1,0,10,6,4,10
2024/25,4,3,B. Jerusalem,4,3,0,1,8,5,3,9
2024/25,4,4,Maccabi Haifa,4,2,1,1,10,5,5,7
2024/25,4,5,H. Beer Sheva,4,2,1,1,3,2,1,7
2024/25,4,6,Ironi Tiberias,4,2,0,2,2,6,-4,6
2024/25,4,7,Hapoel Haifa,4,1,2,1,5,3,2,5
2024/25,4,8,Bnei Sakhnin,4,1,2,1,4,3,1,5
2024/25,4,9,FC Ashdod,4,1,1,2,6,8,-2,4
2024/25,4,10,M. Petah Tikva,4,1,1,2,1,5,-4,4
2024/25,4,11,Kiryat Shmona,4,1,0,3,3,5,-2,3
2024/25,4,12,Maccabi Netanya,4,1,0,3,5,8,-3,3
2024/25,4,13,Hapoel Hadera,4,0,2,2,2,4,-2,2
2024/25,4,14,H. Jerusalem,4,0,1,3,2,8,-6,1
2024/25,5,1,M. Tel Aviv,5,4,1,0,9,2,7,13
2024/25,5,2,B. Jerusalem,5,4,0,1,10,5,5,12
2024/25,5,3,Maccabi Haifa,5,3,1,1,14,5,9,10
2024/25,5,4,H. Beer Sheva,5,3,1,1,6,2,4,10
2024/25,5,5,M. Bnei Reineh,5,3,1,1,10,8,2,10
2024/25,5,6,Bnei Sakhnin,5,2,2,1,5,3,2,8
2024/25,5,7,FC Ashdod,5,2,1,2,9,8,1,7
2024/25,5,8,Ironi Tiberias,5,2,1,2,3,7,-4,7
2024/25,5,9,Hapoel Haifa,5,1,2,2,5,6,-1,5
2024/25,5,10,H. Jerusalem,5,1,1,3,6,9,-3,4
2024/25,5,11,M. Petah Tikva,5,1,1,3,2,9,-7,4
2024/25,5,12,Maccabi Netanya,5,1,0,4,5,9,-4,3
2024/25,5,13,Kiryat Shmona,5,1,0,4,3,9,-6,3
2024/25,5,14,Hapoel Hadera,5,0,2,3,2,7,-5,2
2024/25,6,1,M. Tel Aviv,6,5,1,0,11,3,8,16
2024/25,6,2,Maccabi Haifa,6,4,1,1,17,5,12,13
2024/25,6,3,H. Beer Sheva,6,4,1,1,9,3,6,13
2024/25,6,4,B. Jerusalem,6,4,1,1,11,6,5,13
2024/25,6,5,M. Bnei Reineh,6,3,1,2,11,10,1,10
2024/25,6,6,Hapoel Haifa,6,2,2,2,6,6,0,8
2024/25,6,7,Bnei Sakhnin,6,2,2,2,5,6,-1,8
2024/25,6,8,Ironi Tiberias,6,2,2,2,4,8,-4,8
2024/25,6,9,FC Ashdod,6,2,1,3,9,9,0,7
2024/25,6,10,M. Petah Tikva,6,2,1,3,4,10,-6,7
2024/25,6,11,H. Jerusalem,6,1,1,4,7,12,-5,4
2024/25,6,12,Kiryat Shmona,6,1,1,4,4,10,-6,4
2024/25,6,13,Maccabi Netanya,6,1,0,5,6,11,-5,3
2024/25,6,14,Hapoel Hadera,6,0,3,3,3,8,-5,3
2024/25,7,1,M. Tel Aviv,7,6,1,0,13,3,10,19
2024/25,7,2,H. Beer Sheva,7,5,1,1,14,5,9,16
2024/25,7,3,Maccabi Haifa,7,4,1,2,17,7,10,13
2024/25,7,4,B. Jerusalem,7,4,1,2,12,8,4,13
2024/25,7,5,M. Bnei Reineh,7,4,1,2,12,10,2,13
2024/25,7,6,Hapoel Haifa,7,3,2,2,7,6,1,11
2024/25,7,7,Bnei Sakhnin,7,3,2,2,7,7,0,11
2024/25,7,8,Ironi Tiberias,7,2,2,3,4,9,-5,8
2024/25,7,9,FC Ashdod,7,2,1,4,9,10,-1,7
2024/25,7,10,H. Jerusalem,7,2,1,4,8,12,-4,7
2024/25,7,11,M. Petah Tikva,7,2,1,4,6,15,-9,7
2024/25,7,12,Maccabi Netanya,7,1,1,5,8,13,-5,4
2024/25,7,13,Hapoel Hadera,7,0,4,3,5,10,-5,4
2024/25,7,14,Kiryat Shmona,7,1,1,5,4,11,-7,4
2024/25,8,1,M. Tel Aviv,8,6,1,1,14,6,8,19
2024/25,8,2,H. Beer Sheva,8,5,2,1,15,6,9,17
2024/25,8,3,Maccabi Haifa,8,5,1,2,21,9,12,16
2024/25,8,4,B. Jerusalem,8,5,1,2,15,9,6,16
2024/25,8,5,Hapoel Haifa,8,4,2,2,10,6,4,14
2024/25,8,6,M. Bnei Reineh,8,4,2,2,13,11,2,14
2024/25,8,7,Bnei Sakhnin,8,3,2,3,8,9,-1,11
2024/25,8,8,H. Jerusalem,8,3,1,4,10,12,-2,10
2024/25,8,9,FC Ashdod,8,2,2,4,9,10,-1,8
2024/25,8,10,Ironi Tiberias,8,2,2,4,4,11,-7,8
2024/25,8,11,M. Petah Tikva,8,2,2,4,6,15,-9,8
2024/25,8,12,Kiryat Shmona,8,2,1,5,6,12,-6,7
2024/25,8,13,Hapoel Hadera,8,0,4,4,7,14,-7,4
2024/25,8,14,Maccabi Netanya,8,1,1,6,8,16,-8,4
2024/25,9,1,H. Beer Sheva,9,6,2,1,18,7,11,20
2024/25,9,2,Maccabi Haifa,9,6,1,2,25,10,15,19
2024/25,9,3,B. Jerusalem,9,6,1,2,19,9,10,19
2024/25,9,4,M. Tel Aviv,9,6,1,2,14,7,7,19
2024/25,9,5,M. Bnei Reineh,9,4,2,3,13,12,1,14
2024/25,9,6,Hapoel Haifa,9,4,2,3,11,10,1,14
2024/25,9,7,Bnei Sakhnin,9,4,2,3,9,9,0,14
2024/25,9,8,H. Jerusalem,9,3,1,5,12,15,-3,10
2024/25,9,9,Kiryat Shmona,9,3,1,5,7,12,-5,10
2024/25,9,10,Ironi Tiberias,9,2,3,4,4,11,-7,9
2024/25,9,11,M. Petah Tikva,9,2,3,4,6,15,-9,9
2024/25,9,12,FC Ashdod,9,2,2,5,10,13,-3,8
2024/25,9,13,Maccabi Netanya,9,2,1,6,11,18,-7,7
2024/25,9,14,Hapoel Hadera,9,0,4,5,7,18,-11,4
2024/25,10,1,H. Beer Sheva,10,7,2,1,20,7,13,23
2024/25,10,2,B. Jerusalem,10,7,1,2,20,9,11,22
2024/25,10,3,M. Tel Aviv,10,7,1,2,18,7,11,22
2024/25,10,4,Maccabi Haifa,10,6,2,2,25,10,15,20
2024/25,10,5,M. Bnei Reineh,10,5,2,3,15,13,2,17
2024/25,10,6,Hapoel Haifa,10,4,2,4,11,11,0,14
2024/25,10,7,Bnei Sakhnin,10,4,2,4,9,13,-4,14
2024/25,10,8,M. Petah Tikva,10,3,3,4,8,16,-8,12
2024/25,10,9,H. Jerusalem,10,3,2,5,12,15,-3,11
2024/25,10,10,Kiryat Shmona,10,3,2,5,8,13,-5,11
2024/25,10,11,Ironi Tiberias,10,2,3,5,4,13,-9,9
2024/25,10,12,FC Ashdod,10,2,2,6,11,15,-4,8
2024/25,10,13,Maccabi Netanya,10,2,1,7,12,20,-8,7
2024/25,10,14,Hapoel Hadera,10,0,5,5,8,19,-11,5
2024/25,11,1,H. Beer Sheva,11,8,2,1,21,7,14,26
2024/25,11,2,M. Tel Aviv,11,8,1,2,20,8,12,25
2024/25,11,3,Maccabi Haifa,11,7,2,2,27,11,16,23
2024/25,11,4,B. Jerusalem,11,7,2,2,23,12,11,23
2024/25,11,5,M. Bnei Reineh,11,5,2,4,16,15,1,17
2024/25,11,6,Bnei Sakhnin,11,4,3,4,9,13,-4,15
2024/25,11,7,Hapoel Haifa,11,4,2,5,12,13,-1,14
2024/25,11,8,Kiryat Shmona,11,4,2,5,10,14,-4,14
2024/25,11,9,H. Jerusalem,11,3,3,5,15,18,-3,12
2024/25,11,10,M. Petah Tikva,11,3,3,5,9,18,-9,12
2024/25,11,11,FC Ashdod,11,3,2,6,12,15,-3,11
2024/25,11,12,Ironi Tiberias,11,2,3,6,4,14,-10,9
2024/25,11,13,Maccabi Netanya,11,2,1,8,12,21,-9,7
2024/25,11,14,Hapoel Hadera,11,0,6,5,8,19,-11,6
2024/25,12,1,H. Beer Sheva,12,9,2,1,23,7,16,29
2024/25,12,2,B. Jerusalem,12,8,2,2,28,12,16,26
2024/25,12,3,M. Tel Aviv,12,8,2,2,22,10,12,26
2024/25,12,4,Maccabi Haifa,12,7,2,3,27,13,14,23
2024/25,12,5,M. Bnei Reineh,12,6,2,4,17,15,2,20
2024/25,12,6,Hapoel Haifa,12,5,2,5,14,13,1,17
2024/25,12,7,Kiryat Shmona,12,5,2,5,12,14,-2,17
