season,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points,one_sided
2016/17,F.C. Ashdod,BEI,0,0,0,D,1,1,0
2016/17,F.C. Ashdod,BnS,1,1,0,D,1,1,0
2016/17,F.C. Ashdod,BnY,2,2,0,D,1,1,0
2016/17,F.C. Ashdod,HAS,1,0,1,H,3,0,0
2016/17,F.C. Ashdod,HBS,0,1,-1,A,0,3,0
2016/17,F.C. Ashdod,HHA,1,3,-2,A,0,3,0
2016/17,F.C. Ashdod,HKS,0,0,0,D,1,1,0
2016/17,F.C. Ashdod,HRA,0,1,-1,A,0,3,0
2016/17,F.C. Ashdod,HTA,1,0,1,H,3,0,0
2016/17,F.C. Ashdod,IKS,0,0,0,D,1,1,0
2016/17,F.C. Ashdod,MHA,1,1,0,D,1,1,0
2016/17,F.C. Ashdod,MPT,2,2,0,D,1,1,0
2016/17,F.C. Ashdod,MTA,1,2,-1,A,0,3,0
2016/17,Beitar Jerusalem,ASH,1,1,0,D,1,1,0
2016/17,Beitar Jerusalem,BnS,0,1,-1,A,0,3,0
2016/17,Beitar Jerusalem,BnY,2,2,0,D,1,1,0
2016/17,Beitar Jerusalem,HAS,3,0,3,H,3,0,1
2016/17,Beitar Jerusalem,HBS,1,3,-2,A,0,3,0
2016/17,Beitar Jerusalem,HHA,1,0,1,H,3,0,0
2016/17,Beitar Jerusalem,HKS,1,0,1,H,3,0,0
2016/17,Beitar Jerusalem,HRA,1,0,1,H,3,0,0
2016/17,Beitar Jerusalem,HTA,1,1,0,D,1,1,0
2016/17,Beitar Jerusalem,IKS,2,2,0,D,1,1,0
2016/17,Beitar Jerusalem,MHA,0,1,-1,A,0,3,0
2016/17,Beitar Jerusalem,MPT,1,1,0,D,1,1,0
2016/17,Beitar Jerusalem,MTA,1,0,1,H,3,0,0
2016/17,Bnei Sakhnin,ASH,0,1,-1,A,0,3,0
2016/17,Bnei Sakhnin,BEI,0,2,-2,A,0,3,0
2016/17,Bnei Sakhnin,BnY,1,1,0,D,1,1,0
2016/17,Bnei Sakhnin,HAS,1,0,1,H,3,0,0
2016/17,Bnei Sakhnin,HBS,0,0,0,D,1,1,0
2016/17,Bnei Sakhnin,HHA,2,1,1,H,3,0,0
2016/17,Bnei Sakhnin,HKS,1,0,1,H,3,0,0
2016/17,Bnei Sakhnin,HRA,1,1,0,D,1,1,0
2016/17,Bnei Sakhnin,HTA,0,0,0,D,1,1,0
2016/17,Bnei Sakhnin,IKS,5,2,3,H,3,0,1
