season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2008/09,1,1,Maccabi Haifa,1,1,0,0,3,1,2,3
2008/09,1,2,M. Tel Aviv,1,1,0,0,2,1,1,3
2008/09,1,3,Hakoah Amidar,1,0,1,0,2,2,0,1
2008/09,1,4,Hapoel Tel Aviv,1,0,1,0,2,2,0,1
2008/09,1,5,M. Petah Tikva,1,0,1,0,1,1,0,1
2008/09,1,6,Maccabi Netanya,1,0,1,0,1,1,0,1
2008/09,1,7,B. Jerusalem,1,0,1,0,0,0,0,1
2008/09,1,8,Bnei Sakhnin,1,0,1,0,0,0,0,1
2008/09,1,9,H. Petah Tikva,1,0,1,0,0,0,0,1
2008/09,1,10,Kiryat Shmona,1,0,1,0,0,0,0,1
2008/09,1,11,Bnei Yehuda,1,0,0,1,1,2,-1,0
2008/09,1,12,FC Ashdod,1,0,0,1,1,3,-2,0
2008/09,2,1,Maccabi Netanya,2,1,1,0,4,2,2,4
2008/09,2,2,Maccabi Haifa,2,1,1,0,3,1,2,4
2008/09,2,3,M. Petah Tikva,2,1,1,0,2,1,1,4
2008/09,2,4,M. Tel Aviv,2,1,1,0,2,1,1,4
2008/09,2,5,FC Ashdod,2,1,0,1,3,3,0,3
2008/09,2,6,Hakoah Amidar,2,0,2,0,4,4,0,2
2008/09,2,7,Hapoel Tel Aviv,2,0,2,0,2,2,0,2
2008/09,2,8,B. Jerusalem,2,0,2,0,0,0,0,2
2008/09,2,9,Bnei Yehuda,2,0,1,1,3,4,-1,1
2008/09,2,10,Bnei Sakhnin,2,0,1,1,0,1,-1,1
2008/09,2,11,H. Petah Tikva,2,0,1,1,1,3,-2,1
2008/09,2,12,Kiryat Shmona,2,0,1,1,0,2,-2,1
2008/09,3,1,Maccabi Netanya,3,2,1,0,5,2,3,7
2008/09,3,2,Maccabi Haifa,3,2,1,0,4,1,3,7
2008/09,3,3,B. Jerusalem,3,1,2,0,4,2,2,5
2008/09,3,4,M. Petah Tikva,3,1,2,0,2,1,1,5
2008/09,3,5,M. Tel Aviv,3,1,2,0,2,1,1,5
2008/09,3,6,H. Petah Tikva,3,1,1,1,3,4,-1,4
2008/09,3,7,Hapoel Tel Aviv,3,0,3,0,2,2,0,3
2008/09,3,8,FC Ashdod,3,1,0,2,4,5,-1,3
2008/09,3,9,Hakoah Amidar,3,0,2,1,6,8,-2,2
2008/09,3,10,Kiryat Shmona,3,0,2,1,0,2,-2,2
2008/09,3,11,Bnei Yehuda,3,0,1,2,3,5,-2,1
2008/09,3,12,Bnei Sakhnin,3,0,1,2,0,2,-2,1
2008/09,4,1,Maccabi Netanya,4,3,1,0,7,3,4,10
2008/09,4,2,Maccabi Haifa,4,2,2,0,5,2,3,8
2008/09,4,3,M. Tel Aviv,4,2,2,0,5,3,2,8
2008/09,4,4,M. Petah Tikva,4,2,2,0,3,1,2,8
2008/09,4,5,B. Jerusalem,4,1,3,0,5,3,2,6
2008/09,4,6,Hapoel Tel Aviv,4,1,3,0,5,4,1,6
2008/09,4,7,Kiryat Shmona,4,1,2,1,1,2,-1,5
2008/09,4,8,H. Petah Tikva,4,1,1,2,5,7,-2,4
2008/09,4,9,FC Ashdod,4,1,0,3,5,7,-2,3
2008/09,4,10,Hakoah Amidar,4,0,2,2,6,9,-3,2
2008/09,4,11,Bnei Yehuda,4,0,1,3,3,6,-3,1
