round,home,score,away,season,season_year
1,Bnei Sakhnin,1:1,Hapoel Tel Aviv,2023/24,2023
2,M. Petah Tikva,1:1,H. Jerusalem,2023/24,2023
3,Maccabi Netanya,1:1,M. Bnei Reineh,2023/24,2023
4,H. Beer Sheva,3:0,Hapoel Hadera,2023/24,2023
5,M. Tel Aviv,4:1,FC Ashdod,2023/24,2023
6,B. Jerusalem,1:2,Hapoel Haifa,2023/24,2023
7,Maccabi Haifa,2:1,H. Petah Tikva,2023/24,2023
8,M. Bnei Reineh,1:1,H. Beer Sheva,2023/24,2023
9,H. Petah Tikva,1:1,Bnei Sakhnin,2023/24,2023
10,Hapoel Haifa,2:2,M. Petah Tikva,2023/24,2023
11,Hapoel Tel Aviv,2:0,Maccabi Netanya,2023/24,2023
12,H. Jerusalem,1:2,Maccabi Haifa,2023/24,2023
13,Hapoel Hadera,0:3,M. Tel Aviv,2023/24,2023
14,FC Ashdod,1:2,B. Jerusalem,2023/24,2023
15,Hapoel Haifa,2:0,FC Ashdod,2023/24,2023
16,Bnei Sakhnin,2:1,H. Jerusalem,2023/24,2023
17,M. Tel Aviv,1:1,M. Bnei Reineh,2023/24,2023
18,M. Petah Tikva,3:2,Maccabi Haifa,2023/24,2023
19,Maccabi Netanya,4:1,H. Petah Tikva,2023/24,2023
20,B. Jerusalem,2:0,Hapoel Hadera,2023/24,2023
21,H. Beer Sheva,0:0,Hapoel Tel Aviv,2023/24,2023
22,H. Petah Tikva,1:0,H. Beer Sheva,2023/24,2023
23,Hapoel Hadera,1:2,Hapoel Haifa,2023/24,2023
24,FC Ashdod,1:1,M. Petah Tikva,2023/24,2023
25,H. Jerusalem,1:1,Maccabi Netanya,2023/24,2023
26,M. Bnei Reineh,2:1,B. Jerusalem,2023/24,2023
27,Hapoel Tel Aviv,0:5,M. Tel Aviv,2023/24,2023
28,Maccabi Haifa,1:1,Bnei Sakhnin,2023/24,2023
29,M. Tel Aviv,2:0,H. Petah Tikva,2023/24,2023
30,M. Petah Tikva,5:1,Bnei Sakhnin,2023/24,2023
31,Hapoel Haifa,1:2,M. Bnei Reineh,2023/24,2023
32,FC Ashdod,0:1,Hapoel Hadera,2023/24,2023
33,H. Beer Sheva,3:0,H. Jerusalem,2023/24,2023
34,Maccabi Netanya,2:3,Maccabi Haifa,2023/24,2023
35,B. Jerusalem,0:3,Hapoel Tel Aviv,2023/24,2023
36,Hapoel Tel Aviv,0:1,Hapoel Haifa,2023/24,2023
37,Hapoel Hadera,3:0,M. Petah Tikva,2023/24,2023
38,Bnei Sakhnin,1:1,Maccabi Netanya,2023/24,2023
39,M. Bnei Reineh,0:0,FC Ashdod,2023/24,2023
40,H. Petah Tikva,1:0,B. Jerusalem,2023/24,2023
41,H. Jerusalem,1:2,M. Tel Aviv,2023/24,2023
42,Maccabi Haifa,1:0,H. Beer Sheva,2023/24,2023
43,M. Petah Tikva,1:0,Maccabi Netanya,2023/24,2023
44,Hapoel Hadera,0:2,M. Bnei Reineh,2023/24,2023
45,Hapoel Haifa,1:1,H. Petah Tikva,2023/24,2023
46,FC Ashdod,2:1,Hapoel Tel Aviv,2023/24,2023
47,H. Beer Sheva,1:2,Bnei Sakhnin,2023/24,2023
48,B. Jerusalem,1:0,H. Jerusalem,2023/24,2023
49,M. Tel Aviv,0:1,Maccabi Haifa,2023/24,2023
50,H. Petah Tikva,1:1,FC Ashdod,2023/24,2023
51,M. Bnei Reineh,3:0,M. Petah Tikva,2023/24,2023
52,Hapoel Tel Aviv,1:1,Hapoel Hadera,2023/24,2023
53,H. Jerusalem,0:1,Hapoel Haifa,2023/24,2023
54,Bnei Sakhnin,2:3,M. Tel Aviv,2023/24,2023
55,Maccabi Haifa,1:1,B. Jerusalem,2023/24,2023
56,Maccabi Netanya,1:0,H. Beer Sheva,2023/24,2023
57,M. Bnei Reineh,1:2,Hapoel Tel Aviv,2023/24,2023
58,M. Petah Tikva,1:4,H. Beer Sheva,2023/24,2023
59,FC Ashdod,2:0,H. Jerusalem,2023/24,2023
60,Hapoel Hadera,1:0,H. Petah Tikva,2023/24,2023
61,B. Jerusalem,1:1,Bnei Sakhnin,2023/24,2023
62,M. Tel Aviv,2:1,Maccabi Netanya,2023/24,2023
63,Hapoel Haifa,0:3,Maccabi Haifa,2023/24,2023
64,H. Petah Tikva,0:1,M. Bnei Reineh,2023/24,2023
65,H. Jerusalem,1:0,Hapoel Hadera,2023/24,2023
66,Hapoel Tel Aviv,2:0,M. Petah Tikva,2023/24,2023
67,Bnei Sakhnin,1:1,Hapoel Haifa,2023/24,2023
68,Maccabi Netanya,0:3,B. Jerusalem,2023/24,2023
69,Maccabi Haifa,4:0,FC Ashdod,2023/24,2023
70,H. Beer Sheva,0:1,M. Tel Aviv,2023/24,2023
71,Hapoel Tel Aviv,4:1,H. Petah Tikva,2023/24,2023
72,Hapoel Haifa,2:1,Maccabi Netanya,2023/24,2023
73,FC Ashdod,0:1,Bnei Sakhnin,2023/24,2023
74,M. Bnei Reineh,1:1,H. Jerusalem,2023/24,2023
75,B. Jerusalem,4:4,H. Beer Sheva,2023/24,2023
76,M. Petah Tikva,1:2,M. Tel Aviv,2023/24,2023
77,Hapoel Hadera,1:5,Maccabi Haifa,2023/24,2023
78,Maccabi Netanya,1:0,FC Ashdod,2023/24,2023
79,H. Jerusalem,2:1,Hapoel Tel Aviv,2023/24,2023
80,H. Beer Sheva,4:0,Hapoel Haifa,2023/24,2023
81,Bnei Sakhnin,0:1,Hapoel Hadera,2023/24,2023
82,M. Petah Tikva,2:0,H. Petah Tikva,2023/24,2023
83,Maccabi Haifa,1:0,M. Bnei Reineh,2023/24,2023
84,M. Tel Aviv,1:0,B. Jerusalem,2023/24,2023
85,H. Petah Tikva,1:2,H. Jerusalem,2023/24,2023
