round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,Hapoel Haifa,0:0,Maccabi Netanya,2021/22,2021,28/08/21,5:45 PM,2021-08-28,Saturday,שבת,5
1,1,2,M. Petah Tikva,1:1,Kiryat Shmona,2021/22,2021,28/08/21,6:00 PM,2021-08-28,Saturday,שבת,5
1,1,3,Hapoel Tel Aviv,2:1,FC Ashdod,2021/22,2021,28/08/21,7:30 PM,2021-08-28,Saturday,שבת,5
1,1,4,Bnei Sakhnin,3:1,M. Tel Aviv,2021/22,2021,29/08/21,7:00 PM,2021-08-29,Sunday,יום ראשון,6
1,1,5,Hapoel Hadera,0:0,Maccabi Haifa,2021/22,2021,29/08/21,7:30 PM,2021-08-29,Sunday,יום ראשון,6
1,1,6,B. Jerusalem,0:2,H. Beer Sheva,2021/22,2021,29/08/21,7:45 PM,2021-08-29,Sunday,יום ראשון,6
1,1,7,H. Nof HaGalil,0:0,H. Jerusalem,2021/22,2021,30/08/21,7:00 PM,2021-08-30,Monday,יום שני,0
2,2,8,Kiryat Shmona,0:2,Hapoel Tel Aviv,2021/22,2021,11/09/21,5:00 PM,2021-09-11,Saturday,שבת,5
2,2,9,Maccabi Netanya,1:3,H. Nof HaGalil,2021/22,2021,11/09/21,6:00 PM,2021-09-11,Saturday,שבת,5
2,2,10,M. Tel Aviv,1:1,M. Petah Tikva,2021/22,2021,11/09/21,6:30 PM,2021-09-11,Saturday,שבת,5
2,2,11,Maccabi Haifa,2:1,Bnei Sakhnin,2021/22,2021,11/09/21,7:30 PM,2021-09-11,Saturday,שבת,5
2,2,12,FC Ashdod,1:3,Hapoel Haifa,2021/22,2021,12/09/21,6:00 PM,2021-09-12,Sunday,יום ראשון,6
2,2,13,H. Beer Sheva,2:2,Hapoel Hadera,2021/22,2021,12/09/21,7:15 PM,2021-09-12,Sunday,יום ראשון,6
2,2,14,H. Jerusalem,0:3,B. Jerusalem,2021/22,2021,13/09/21,7:30 PM,2021-09-13,Monday,יום שני,0
3,3,15,Bnei Sakhnin,0:0,H. Beer Sheva,2021/22,2021,18/09/21,4:45 PM,2021-09-18,Saturday,שבת,5
3,3,16,H. Nof HaGalil,2:0,FC Ashdod,2021/22,2021,18/09/21,6:00 PM,2021-09-18,Saturday,שבת,5
3,3,17,M. Petah Tikva,1:1,Hapoel Tel Aviv,2021/22,2021,18/09/21,7:00 PM,2021-09-18,Saturday,שבת,5
