round,home,score,away,season,season_year
12,Maccabi Netanya,2:2,FC Ashdod,2025/26,2025
12,Ironi Tiberias,0:5,B. Jerusalem,2025/26,2025
12,M. Tel Aviv,2:1,Hapoel Haifa,2025/26,2025
13,Hapoel Tel Aviv,4:0,H. Petah Tikva,2025/26,2025
13,Kiryat Shmona,0:1,Maccabi Haifa,2025/26,2025
13,Hapoel Haifa,3:4,Maccabi Netanya,2025/26,2025
13,H. Beer Sheva,1:0,M. Tel Aviv,2025/26,2025
13,M. Bnei Reineh,0:1,Bnei Sakhnin,2025/26,2025
13,FC Ashdod,1:1,Ironi Tiberias,2025/26,2025
13,B. Jerusalem,1:1,H. Jerusalem,2025/26,2025
14,FC Ashdod,0:2,H. Jerusalem,2025/26,2025
14,Kiryat Shmona,2:2,Hapoel Tel Aviv,2025/26,2025
14,Hapoel Haifa,2:0,Ironi Tiberias,2025/26,2025
14,H. Beer Sheva,2:0,Maccabi Netanya,2025/26,2025
14,M. Bnei Reineh,0:4,Maccabi Haifa,2025/26,2025
14,M. Tel Aviv,2:2,H. Petah Tikva,2025/26,2025
14,B. Jerusalem,2:1,Bnei Sakhnin,2025/26,2025
15,Hapoel Tel Aviv,3:1,M. Bnei Reineh,2025/26,2025
15,H. Jerusalem,0:1,Hapoel Haifa,2025/26,2025
15,H. Petah Tikva,4:1,Kiryat Shmona,2025/26,2025
15,Bnei Sakhnin,3:0,FC Ashdod,2025/26,2025
15,Ironi Tiberias,3:0,H. Beer Sheva,2025/26,2025
15,Maccabi Netanya,1:1,M. Tel Aviv,2025/26,2025
15,Maccabi Haifa,1:2,B. Jerusalem,2025/26,2025
16,M. Bnei Reineh,3:1,Kiryat Shmona,2025/26,2025
16,Hapoel Haifa,0:2,Bnei Sakhnin,2025/26,2025
16,M. Tel Aviv,1:1,Ironi Tiberias,2025/26,2025
16,Maccabi Netanya,0:2,H. Petah Tikva,2025/26,2025
16,FC Ashdod,0:4,Maccabi Haifa,2025/26,2025
16,H. Beer Sheva,4:1,H. Jerusalem,2025/26,2025
16,B. Jerusalem,1:0,Hapoel Tel Aviv,2025/26,2025
17,H. Jerusalem,1:3,M. Tel Aviv,2025/26,2025
17,Bnei Sakhnin,0:5,H. Beer Sheva,2025/26,2025
17,H. Petah Tikva,4:1,M. Bnei Reineh,2025/26,2025
17,Ironi Tiberias,4:0,Maccabi Netanya,2025/26,2025
17,Hapoel Tel Aviv,1:0,FC Ashdod,2025/26,2025
17,Kiryat Shmona,1:2,B. Jerusalem,2025/26,2025
17,Maccabi Haifa,2:0,Hapoel Haifa,2025/26,2025
18,Maccabi Netanya,1:1,H. Jerusalem,2025/26,2025
18,M. Tel Aviv,1:0,Bnei Sakhnin,2025/26,2025
18,Hapoel Haifa,3:3,Hapoel Tel Aviv,2025/26,2025
18,Ironi Tiberias,1:4,H. Petah Tikva,2025/26,2025
18,B. Jerusalem,1:0,M. Bnei Reineh,2025/26,2025
18,H. Beer Sheva,0:0,Maccabi Haifa,2025/26,2025
18,FC Ashdod,2:5,Kiryat Shmona,2025/26,2025
19,H. Petah Tikva,1:3,B. Jerusalem,2025/26,2025
19,H. Jerusalem,2:0,Ironi Tiberias,2025/26,2025
19,M. Bnei Reineh,0:0,FC Ashdod,2025/26,2025
19,Bnei Sakhnin,2:1,Maccabi Netanya,2025/26,2025
19,Maccabi Haifa,4:1,M. Tel Aviv,2025/26,2025
19,Kiryat Shmona,3:1,Hapoel Haifa,2025/26,2025
