round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,Hapoel Haifa,2:0,Hapoel Tel Aviv,2022/23,2022,20/08/22,5:30 PM,2022-08-20,Saturday,שבת,5
1,1,2,H. Jerusalem,1:1,Hapoel Hadera,2022/23,2022,20/08/22,7:00 PM,2022-08-20,Saturday,שבת,5
1,1,3,Maccabi Netanya,4:1,B. Jerusalem,2022/23,2022,20/08/22,7:30 PM,2022-08-20,Saturday,שבת,5
1,1,4,M. Tel Aviv,5:0,M. Bnei Reineh,2022/23,2022,21/08/22,7:15 PM,2022-08-21,Sunday,יום ראשון,6
1,1,5,Ness Ziona,0:2,Kiryat Shmona,2022/23,2022,22/08/22,6:00 PM,2022-08-22,Monday,יום שני,0
1,1,6,Bnei Sakhnin,0:1,Maccabi Haifa,2022/23,2022,30/08/22,7:15 PM,2022-08-30,Tuesday,יום שלישי,1
1,1,7,H. Beer Sheva,1:2,FC Ashdod,2022/23,2022,31/08/22,6:45 PM,2022-08-31,Wednesday,יום רביעי,2
2,2,8,Kiryat Shmona,1:1,H. Jerusalem,2022/23,2022,27/08/22,5:00 PM,2022-08-27,Saturday,שבת,5
2,2,9,Hapoel Tel Aviv,0:2,Bnei Sakhnin,2022/23,2022,27/08/22,6:15 PM,2022-08-27,Saturday,שבת,5
2,2,10,Maccabi Haifa,4:1,Maccabi Netanya,2022/23,2022,27/08/22,7:00 PM,2022-08-27,Saturday,שבת,5
2,2,11,FC Ashdod,1:0,Ness Ziona,2022/23,2022,27/08/22,7:15 PM,2022-08-27,Saturday,שבת,5
2,2,12,M. Bnei Reineh,1:1,Hapoel Haifa,2022/23,2022,28/08/22,6:15 PM,2022-08-28,Sunday,יום ראשון,6
2,2,13,B. Jerusalem,0:5,H. Beer Sheva,2022/23,2022,28/08/22,7:15 PM,2022-08-28,Sunday,יום ראשון,6
2,2,14,Hapoel Hadera,0:6,M. Tel Aviv,2022/23,2022,29/08/22,7:15 PM,2022-08-29,Monday,יום שני,0
3,3,15,M. Tel Aviv,3:1,Kiryat Shmona,2022/23,2022,03/09/22,5:00 PM,2022-09-03,Saturday,שבת,5
3,3,16,H. Jerusalem,3:0,FC Ashdod,2022/23,2022,03/09/22,6:00 PM,2022-09-03,Saturday,שבת,5
3,3,17,Hapoel Haifa,1:2,Bnei Sakhnin,2022/23,2022,03/09/22,7:00 PM,2022-09-03,Saturday,שבת,5
3,3,18,H. Beer Sheva,1:2,Maccabi Haifa,2022/23,2022,03/09/22,7:15 PM,2022-09-03,Saturday,שבת,5
3,3,19,M. Bnei Reineh,1:2,Hapoel Hadera,2022/23,2022,04/09/22,6:00 PM,2022-09-04,Sunday,יום ראשון,6
3,3,20,Ness Ziona,0:3,B. Jerusalem,2022/23,2022,04/09/22,7:15 PM,2022-09-04,Sunday,יום ראשון,6
3,3,21,Maccabi Netanya,0:2,Hapoel Tel Aviv,2022/23,2022,05/09/22,7:15 PM,2022-09-05,Monday,יום שני,0
4,4,22,Maccabi Haifa,3:1,Ness Ziona,2022/23,2022,10/09/22,5:00 PM,2022-09-10,Saturday,שבת,5
4,4,23,Hapoel Hadera,1:1,Hapoel Haifa,2022/23,2022,10/09/22,6:30 PM,2022-09-10,Saturday,שבת,5
4,4,24,Bnei Sakhnin,0:0,Maccabi Netanya,2022/23,2022,10/09/22,6:30 PM,2022-09-10,Saturday,שבת,5
4,4,25,FC Ashdod,0:0,M. Tel Aviv,2022/23,2022,10/09/22,7:15 PM,2022-09-10,Saturday,שבת,5
4,4,26,Hapoel Tel Aviv,2:3,H. Beer Sheva,2022/23,2022,11/09/22,7:15 PM,2022-09-11,Sunday,יום ראשון,6
