round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,Maccabi Haifa,4:3,Hapoel Raanana,2019/20,2019,24/08/19,5:00 PM,2019-08-24,Saturday,שבת,5
1,1,2,Hapoel Hadera,1:1,FC Ashdod,2019/20,2019,24/08/19,6:00 PM,2019-08-24,Saturday,שבת,5
1,1,3,Ness Ziona,0:2,M. Tel Aviv,2019/20,2019,24/08/19,7:30 PM,2019-08-24,Saturday,שבת,5
1,1,4,H. Kfar Saba,0:1,Hapoel Haifa,2019/20,2019,25/08/19,6:00 PM,2019-08-25,Sunday,יום ראשון,6
1,1,5,Bnei Yehuda,2:1,Kiryat Shmona,2019/20,2019,25/08/19,7:00 PM,2019-08-25,Sunday,יום ראשון,6
1,1,6,B. Jerusalem,0:0,H. Beer Sheva,2019/20,2019,25/08/19,7:15 PM,2019-08-25,Sunday,יום ראשון,6
1,1,7,Hapoel Tel Aviv,0:0,Maccabi Netanya,2019/20,2019,26/08/19,7:15 PM,2019-08-26,Monday,יום שני,0
2,2,8,FC Ashdod,2:1,Hapoel Tel Aviv,2019/20,2019,31/08/19,5:00 PM,2019-08-31,Saturday,שבת,5
2,2,9,Maccabi Netanya,3:0,Ness Ziona,2019/20,2019,31/08/19,6:00 PM,2019-08-31,Saturday,שבת,5
2,2,10,Hapoel Haifa,0:0,Maccabi Haifa,2019/20,2019,31/08/19,7:30 PM,2019-08-31,Saturday,שבת,5
2,2,11,H. Beer Sheva,3:0,Hapoel Hadera,2019/20,2019,01/09/19,6:50 PM,2019-09-01,Sunday,יום ראשון,6
2,2,12,Hapoel Raanana,2:1,B. Jerusalem,2019/20,2019,01/09/19,7:00 PM,2019-09-01,Sunday,יום ראשון,6
2,2,13,M. Tel Aviv,0:0,Bnei Yehuda,2019/20,2019,01/09/19,7:15 PM,2019-09-01,Sunday,יום ראשון,6
2,2,14,Kiryat Shmona,1:3,H. Kfar Saba,2019/20,2019,02/09/19,7:00 PM,2019-09-02,Monday,יום שני,0
3,3,15,Maccabi Haifa,2:0,Kiryat Shmona,2019/20,2019,14/09/19,5:00 PM,2019-09-14,Saturday,שבת,5
3,3,16,Hapoel Tel Aviv,1:1,Ness Ziona,2019/20,2019,14/09/19,6:00 PM,2019-09-14,Saturday,שבת,5
3,3,17,Hapoel Hadera,4:0,Hapoel Raanana,2019/20,2019,14/09/19,6:00 PM,2019-09-14,Saturday,שבת,5
3,3,18,H. Kfar Saba,0:1,M. Tel Aviv,2019/20,2019,14/09/19,7:30 PM,2019-09-14,Saturday,שבת,5
3,3,19,Bnei Yehuda,0:0,Maccabi Netanya,2019/20,2019,15/09/19,6:00 PM,2019-09-15,Sunday,יום ראשון,6
3,3,20,FC Ashdod,2:2,H. Beer Sheva,2019/20,2019,15/09/19,7:15 PM,2019-09-15,Sunday,יום ראשון,6
3,3,21,B. Jerusalem,0:2,Hapoel Haifa,2019/20,2019,16/09/19,7:15 PM,2019-09-16,Monday,יום שני,0
4,4,22,Maccabi Netanya,2:2,H. Kfar Saba,2019/20,2019,21/09/19,5:00 PM,2019-09-21,Saturday,שבת,5
4,4,23,Ness Ziona,0:1,Bnei Yehuda,2019/20,2019,21/09/19,6:00 PM,2019-09-21,Saturday,שבת,5
4,4,24,Kiryat Shmona,0:2,B. Jerusalem,2019/20,2019,21/09/19,7:30 PM,2019-09-21,Saturday,שבת,5
4,4,25,M. Tel Aviv,1:0,Maccabi Haifa,2019/20,2019,21/09/19,7:30 PM,2019-09-21,Saturday,שבת,5
4,4,26,Hapoel Raanana,1:1,FC Ashdod,2019/20,2019,22/09/19,6:00 PM,2019-09-22,Sunday,יום ראשון,6
4,4,27,Hapoel Haifa,1:2,Hapoel Hadera,2019/20,2019,22/09/19,7:15 PM,2019-09-22,Sunday,יום ראשון,6
4,4,28,H. Beer Sheva,3:0,Hapoel Tel Aviv,2019/20,2019,23/09/19,7:15 PM,2019-09-23,Monday,יום שני,0
5,5,29,H. Kfar Saba,1:1,Ness Ziona,2019/20,2019,25/09/19,6:00 PM,2019-09-25,Wednesday,יום רביעי,2
5,5,30,Maccabi Haifa,3:0,Maccabi Netanya,2019/20,2019,25/09/19,7:15 PM,2019-09-25,Wednesday,יום רביעי,2
5,5,31,Hapoel Hadera,2:2,Kiryat Shmona,2019/20,2019,28/09/19,4:00 PM,2019-09-28,Saturday,שבת,5
5,5,32,FC Ashdod,1:1,Hapoel Haifa,2019/20,2019,28/09/19,5:00 PM,2019-09-28,Saturday,שבת,5
5,5,33,Hapoel Tel Aviv,1:1,Bnei Yehuda,2019/20,2019,28/09/19,6:30 PM,2019-09-28,Saturday,שבת,5
5,5,34,B. Jerusalem,0:4,M. Tel Aviv,2019/20,2019,28/09/19,7:30 PM,2019-09-28,Saturday,שבת,5
5,5,35,H. Beer Sheva,1:0,Hapoel Raanana,2019/20,2019,28/09/19,7:30 PM,2019-09-28,Saturday,שבת,5
6,6,36,M. Tel Aviv,0:0,Hapoel Hadera,2019/20,2019,05/10/19,5:00 PM,2019-10-05,Saturday,שבת,5
6,6,37,Ness Ziona,0:3,Maccabi Haifa,2019/20,2019,05/10/19,6:00 PM,2019-10-05,Saturday,שבת,5
6,6,38,Hapoel Haifa,0:3,H. Beer Sheva,2019/20,2019,05/10/19,7:30 PM,2019-10-05,Saturday,שבת,5
6,6,39,Bnei Yehuda,0:1,H. Kfar Saba,2019/20,2019,06/10/19,6:00 PM,2019-10-06,Sunday,יום ראשון,6
6,6,40,Hapoel Raanana,2:2,Hapoel Tel Aviv,2019/20,2019,06/10/19,7:00 PM,2019-10-06,Sunday,יום ראשון,6
6,6,41,Maccabi Netanya,0:3,B. Jerusalem,2019/20,2019,06/10/19,7:15 PM,2019-10-06,Sunday,יום ראשון,6
6,6,42,Kiryat Shmona,2:0,FC Ashdod,2019/20,2019,07/10/19,7:00 PM,2019-10-07,Monday,יום שני,0
7,7,43,H. Beer Sheva,2:1,Kiryat Shmona,2019/20,2019,19/10/19,4:30 PM,2019-10-19,Saturday,שבת,5
7,7,44,Hapoel Tel Aviv,2:1,H. Kfar Saba,2019/20,2019,19/10/19,5:00 PM,2019-10-19,Saturday,שבת,5
7,7,45,Hapoel Hadera,1:0,Maccabi Netanya,2019/20,2019,19/10/19,6:00 PM,2019-10-19,Saturday,שבת,5
7,7,46,Ness Ziona,0:4,B. Jerusalem,2019/20,2019,19/10/19,7:15 PM,2019-10-19,Saturday,שבת,5
7,7,47,Hapoel Raanana,0:0,Hapoel Haifa,2019/20,2019,21/10/19,5:00 PM,2019-10-21,Monday,יום שני,0
7,7,48,FC Ashdod,0:1,M. Tel Aviv,2019/20,2019,21/10/19,7:00 PM,2019-10-21,Monday,יום שני,0
7,7,49,Maccabi Haifa,1:1,Bnei Yehuda,2019/20,2019,21/10/19,7:15 PM,2019-10-21,Monday,יום שני,0
8,8,50,Hapoel Haifa,3:0,Hapoel Tel Aviv,2019/20,2019,26/10/19,3:00 PM,2019-10-26,Saturday,שבת,5
8,8,51,Kiryat Shmona,2:1,Hapoel Raanana,2019/20,2019,26/10/19,5:00 PM,2019-10-26,Saturday,שבת,5
8,8,52,Maccabi Netanya,2:4,FC Ashdod,2019/20,2019,26/10/19,6:30 PM,2019-10-26,Saturday,שבת,5
8,8,53,H. Kfar Saba,0:3,Maccabi Haifa,2019/20,2019,26/10/19,7:30 PM,2019-10-26,Saturday,שבת,5
8,8,54,Ness Ziona,2:2,Hapoel Hadera,2019/20,2019,27/10/19,6:00 PM,2019-10-27,Sunday,יום ראשון,6
8,8,55,Bnei Yehuda,0:2,B. Jerusalem,2019/20,2019,27/10/19,7:15 PM,2019-10-27,Sunday,יום ראשון,6
8,8,56,M. Tel Aviv,2:0,H. Beer Sheva,2019/20,2019,28/10/19,7:15 PM,2019-10-28,Monday,יום שני,0
9,9,57,Hapoel Haifa,2:1,Kiryat Shmona,2019/20,2019,02/11/19,2:00 PM,2019-11-02,Saturday,שבת,5
9,9,58,Hapoel Raanana,0:2,M. Tel Aviv,2019/20,2019,02/11/19,4:30 PM,2019-11-02,Saturday,שבת,5
9,9,59,Hapoel Hadera,0:0,Bnei Yehuda,2019/20,2019,02/11/19,5:30 PM,2019-11-02,Saturday,שבת,5
9,9,60,B. Jerusalem,1:0,H. Kfar Saba,2019/20,2019,02/11/19,6:50 PM,2019-11-02,Saturday,שבת,5
9,9,61,FC Ashdod,2:2,Ness Ziona,2019/20,2019,03/11/19,6:00 PM,2019-11-03,Sunday,יום ראשון,6
9,9,62,H. Beer Sheva,2:0,Maccabi Netanya,2019/20,2019,03/11/19,7:15 PM,2019-11-03,Sunday,יום ראשון,6
9,9,63,Hapoel Tel Aviv,1:2,Maccabi Haifa,2019/20,2019,04/11/19,7:15 PM,2019-11-04,Monday,יום שני,0
10,10,64,Kiryat Shmona,0:1,Hapoel Tel Aviv,2019/20,2019,09/11/19,2:00 PM,2019-11-09,Saturday,שבת,5
10,10,65,Ness Ziona,2:1,H. Beer Sheva,2019/20,2019,09/11/19,4:30 PM,2019-11-09,Saturday,שבת,5
10,10,66,Maccabi Netanya,1:0,Hapoel Raanana,2019/20,2019,09/11/19,5:30 PM,2019-11-09,Saturday,שבת,5
10,10,67,M. Tel Aviv,3:0,Hapoel Haifa,2019/20,2019,09/11/19,6:15 PM,2019-11-09,Saturday,שבת,5
10,10,68,H. Kfar Saba,0:0,Hapoel Hadera,2019/20,2019,10/11/19,7:00 PM,2019-11-10,Sunday,יום ראשון,6
10,10,69,Bnei Yehuda,2:0,FC Ashdod,2019/20,2019,10/11/19,7:15 PM,2019-11-10,Sunday,יום ראשון,6
10,10,70,Maccabi Haifa,3:1,B. Jerusalem,2019/20,2019,10/11/19,7:15 PM,2019-11-10,Sunday,יום ראשון,6
11,11,71,Hapoel Raanana,0:0,Ness Ziona,2019/20,2019,30/11/19,2:00 PM,2019-11-30,Saturday,שבת,5
11,11,72,Hapoel Haifa,1:3,Maccabi Netanya,2019/20,2019,30/11/19,2:00 PM,2019-11-30,Saturday,שבת,5
11,11,73,Kiryat Shmona,0:1,M. Tel Aviv,2019/20,2019,30/11/19,4:30 PM,2019-11-30,Saturday,שבת,5
11,11,74,FC Ashdod,0:0,H. Kfar Saba,2019/20,2019,30/11/19,5:00 PM,2019-11-30,Saturday,שבת,5
11,11,75,H. Beer Sheva,1:2,Bnei Yehuda,2019/20,2019,30/11/19,6:50 PM,2019-11-30,Saturday,שבת,5
11,11,76,Hapoel Hadera,0:3,Maccabi Haifa,2019/20,2019,01/12/19,7:00 PM,2019-12-01,Sunday,יום ראשון,6
11,11,77,Hapoel Tel Aviv,0:1,B. Jerusalem,2019/20,2019,01/12/19,7:15 PM,2019-12-01,Sunday,יום ראשון,6
12,12,78,Bnei Yehuda,1:1,Hapoel Raanana,2019/20,2019,03/12/19,6:00 PM,2019-12-03,Tuesday,יום שלישי,1
12,12,79,Maccabi Netanya,1:0,Kiryat Shmona,2019/20,2019,03/12/19,6:45 PM,2019-12-03,Tuesday,יום שלישי,1
12,12,80,H. Kfar Saba,0:1,H. Beer Sheva,2019/20,2019,03/12/19,7:15 PM,2019-12-03,Tuesday,יום שלישי,1
12,12,81,Ness Ziona,1:2,Hapoel Haifa,2019/20,2019,04/12/19,6:00 PM,2019-12-04,Wednesday,יום רביעי,2
12,12,82,B. Jerusalem,2:0,Hapoel Hadera,2019/20,2019,04/12/19,7:00 PM,2019-12-04,Wednesday,יום רביעי,2
12,12,83,Maccabi Haifa,3:3,FC Ashdod,2019/20,2019,04/12/19,7:10 PM,2019-12-04,Wednesday,יום רביעי,2
12,12,84,Hapoel Tel Aviv,0:3,M. Tel Aviv,2019/20,2019,04/12/19,7:15 PM,2019-12-04,Wednesday,יום רביעי,2
13,13,85,Hapoel Raanana,1:1,H. Kfar Saba,2019/20,2019,07/12/19,2:00 PM,2019-12-07,Saturday,שבת,5
13,13,86,Hapoel Haifa,3:0,Bnei Yehuda,2019/20,2019,07/12/19,4:30 PM,2019-12-07,Saturday,שבת,5
13,13,87,Kiryat Shmona,1:0,Ness Ziona,2019/20,2019,07/12/19,5:30 PM,2019-12-07,Saturday,שבת,5
13,13,88,M. Tel Aviv,0:0,Maccabi Netanya,2019/20,2019,07/12/19,6:50 PM,2019-12-07,Saturday,שבת,5
13,13,89,Hapoel Hadera,0:1,Hapoel Tel Aviv,2019/20,2019,08/12/19,6:45 PM,2019-12-08,Sunday,יום ראשון,6
13,13,90,FC Ashdod,2:2,B. Jerusalem,2019/20,2019,08/12/19,7:15 PM,2019-12-08,Sunday,יום ראשון,6
13,13,91,H. Beer Sheva,0:2,Maccabi Haifa,2019/20,2019,09/12/19,7:15 PM,2019-12-09,Monday,יום שני,0
14,14,92,M. Tel Aviv,1:1,Ness Ziona,2019/20,2019,14/12/19,2:00 PM,2019-12-14,Saturday,שבת,5
14,14,93,Kiryat Shmona,2:1,Bnei Yehuda,2019/20,2019,14/12/19,4:30 PM,2019-12-14,Saturday,שבת,5
14,14,94,Hapoel Haifa,0:2,H. Kfar Saba,2019/20,2019,14/12/19,5:30 PM,2019-12-14,Saturday,שבת,5
14,14,95,Hapoel Raanana,0:0,Maccabi Haifa,2019/20,2019,14/12/19,6:50 PM,2019-12-14,Saturday,שבת,5
14,14,96,FC Ashdod,0:2,Hapoel Hadera,2019/20,2019,15/12/19,6:00 PM,2019-12-15,Sunday,יום ראשון,6
14,14,97,Maccabi Netanya,4:0,Hapoel Tel Aviv,2019/20,2019,15/12/19,7:15 PM,2019-12-15,Sunday,יום ראשון,6
14,14,98,H. Beer Sheva,0:1,B. Jerusalem,2019/20,2019,16/12/19,7:15 PM,2019-12-16,Monday,יום שני,0
15,15,99,H. Kfar Saba,0:3,Kiryat Shmona,2019/20,2019,24/12/19,7:00 PM,2019-12-24,Tuesday,יום שלישי,1
15,15,100,Hapoel Hadera,0:1,H. Beer Sheva,2019/20,2019,24/12/19,7:30 PM,2019-12-24,Tuesday,יום שלישי,1
15,15,101,Maccabi Haifa,3:0,Hapoel Haifa,2019/20,2019,24/12/19,8:15 PM,2019-12-24,Tuesday,יום שלישי,1
15,15,102,Bnei Yehuda,0:3,M. Tel Aviv,2019/20,2019,24/12/19,8:15 PM,2019-12-24,Tuesday,יום שלישי,1
15,15,103,Ness Ziona,1:0,Maccabi Netanya,2019/20,2019,25/12/19,7:00 PM,2019-12-25,Wednesday,יום רביעי,2
15,15,104,Hapoel Tel Aviv,0:0,FC Ashdod,2019/20,2019,25/12/19,7:30 PM,2019-12-25,Wednesday,יום רביעי,2
15,15,105,B. Jerusalem,2:0,Hapoel Raanana,2019/20,2019,25/12/19,8:15 PM,2019-12-25,Wednesday,יום רביעי,2
16,16,106,M. Tel Aviv,4:0,H. Kfar Saba,2019/20,2019,28/12/19,3:00 PM,2019-12-28,Saturday,שבת,5
16,16,107,Kiryat Shmona,1:2,Maccabi Haifa,2019/20,2019,28/12/19,5:30 PM,2019-12-28,Saturday,שבת,5
16,16,108,Hapoel Raanana,1:1,Hapoel Hadera,2019/20,2019,28/12/19,6:30 PM,2019-12-28,Saturday,שבת,5
16,16,109,H. Beer Sheva,2:1,FC Ashdod,2019/20,2019,28/12/19,7:50 PM,2019-12-28,Saturday,שבת,5
16,16,110,Maccabi Netanya,0:3,Bnei Yehuda,2019/20,2019,29/12/19,7:00 PM,2019-12-29,Sunday,יום ראשון,6
16,16,111,Ness Ziona,0:1,Hapoel Tel Aviv,2019/20,2019,29/12/19,8:15 PM,2019-12-29,Sunday,יום ראשון,6
16,16,112,Hapoel Haifa,1:4,B. Jerusalem,2019/20,2019,30/12/19,8:15 PM,2019-12-30,Monday,יום שני,0
17,17,113,H. Kfar Saba,1:2,Maccabi Netanya,2019/20,2019,04/01/20,5:30 PM,2020-01-04,Saturday,שבת,5
17,17,114,Hapoel Hadera,2:0,Hapoel Haifa,2019/20,2019,04/01/20,6:30 PM,2020-01-04,Saturday,שבת,5
17,17,115,B. Jerusalem,2:2,Kiryat Shmona,2019/20,2019,04/01/20,7:50 PM,2020-01-04,Saturday,שבת,5
17,17,116,FC Ashdod,3:0,Hapoel Raanana,2019/20,2019,05/01/20,7:00 PM,2020-01-05,Sunday,יום ראשון,6
17,17,117,Hapoel Tel Aviv,1:0,H. Beer Sheva,2019/20,2019,05/01/20,8:15 PM,2020-01-05,Sunday,יום ראשון,6
17,17,118,Bnei Yehuda,1:2,Ness Ziona,2019/20,2019,06/01/20,6:00 PM,2020-01-06,Monday,יום שני,0
17,17,119,Maccabi Haifa,3:4,M. Tel Aviv,2019/20,2019,06/01/20,8:15 PM,2020-01-06,Monday,יום שני,0
18,18,120,Hapoel Haifa,1:0,FC Ashdod,2019/20,2019,11/01/20,2:00 PM,2020-01-11,Saturday,שבת,5
