round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,Kiryat Shmona,3:0,Maccabi Herzlya,2007/08,2007,18/08/07,12:00 AM,2007-08-18,Saturday,שבת,5
1,1,2,Maccabi Haifa,0:1,Bnei Sakhnin,2007/08,2007,18/08/07,12:00 AM,2007-08-18,Saturday,שבת,5
1,1,3,M. Petah Tikva,0:1,H. Kfar Saba,2007/08,2007,18/08/07,12:00 AM,2007-08-18,Saturday,שבת,5
1,1,4,B. Jerusalem,3:0,Bnei Yehuda,2007/08,2007,19/08/07,12:00 AM,2007-08-19,Sunday,יום ראשון,6
1,1,5,Maccabi Netanya,0:0,Hapoel Tel Aviv,2007/08,2007,20/08/07,12:00 AM,2007-08-20,Monday,יום שני,0
1,1,6,M. Tel Aviv,1:1,FC Ashdod,2007/08,2007,20/08/07,12:00 AM,2007-08-20,Monday,יום שני,0
2,2,7,Bnei Sakhnin,0:0,Kiryat Shmona,2007/08,2007,25/08/07,12:00 AM,2007-08-25,Saturday,שבת,5
2,2,8,H. Kfar Saba,0:0,Bnei Yehuda,2007/08,2007,25/08/07,12:00 AM,2007-08-25,Saturday,שבת,5
2,2,9,FC Ashdod,1:0,Maccabi Haifa,2007/08,2007,25/08/07,12:00 AM,2007-08-25,Saturday,שבת,5
2,2,10,Maccabi Herzlya,1:2,Maccabi Netanya,2007/08,2007,25/08/07,12:00 AM,2007-08-25,Saturday,שבת,5
2,2,11,M. Petah Tikva,3:2,M. Tel Aviv,2007/08,2007,25/08/07,12:00 AM,2007-08-25,Saturday,שבת,5
2,2,12,Hapoel Tel Aviv,1:2,B. Jerusalem,2007/08,2007,26/08/07,12:00 AM,2007-08-26,Sunday,יום ראשון,6
3,3,13,B. Jerusalem,4:2,Maccabi Herzlya,2007/08,2007,15/09/07,12:00 AM,2007-09-15,Saturday,שבת,5
3,3,14,Bnei Yehuda,1:1,Hapoel Tel Aviv,2007/08,2007,15/09/07,12:00 AM,2007-09-15,Saturday,שבת,5
3,3,15,Kiryat Shmona,2:1,FC Ashdod,2007/08,2007,15/09/07,12:00 AM,2007-09-15,Saturday,שבת,5
3,3,16,Maccabi Netanya,1:2,Bnei Sakhnin,2007/08,2007,15/09/07,12:00 AM,2007-09-15,Saturday,שבת,5
3,3,17,Maccabi Haifa,0:1,M. Petah Tikva,2007/08,2007,16/09/07,12:00 AM,2007-09-16,Sunday,יום ראשון,6
3,3,18,M. Tel Aviv,0:1,H. Kfar Saba,2007/08,2007,17/09/07,12:00 AM,2007-09-17,Monday,יום שני,0
4,4,19,H. Kfar Saba,1:1,Hapoel Tel Aviv,2007/08,2007,29/09/07,12:00 AM,2007-09-29,Saturday,שבת,5
4,4,20,FC Ashdod,1:6,Maccabi Netanya,2007/08,2007,29/09/07,12:00 AM,2007-09-29,Saturday,שבת,5
4,4,21,Maccabi Herzlya,0:2,Bnei Yehuda,2007/08,2007,29/09/07,12:00 AM,2007-09-29,Saturday,שבת,5
4,4,22,M. Petah Tikva,3:1,Kiryat Shmona,2007/08,2007,29/09/07,12:00 AM,2007-09-29,Saturday,שבת,5
4,4,23,M. Tel Aviv,0:3,Maccabi Haifa,2007/08,2007,29/09/07,12:00 AM,2007-09-29,Saturday,שבת,5
4,4,24,Bnei Sakhnin,2:2,B. Jerusalem,2007/08,2007,30/09/07,12:00 AM,2007-09-30,Sunday,יום ראשון,6
5,5,25,Bnei Yehuda,3:0,Bnei Sakhnin,2007/08,2007,06/10/07,12:00 AM,2007-10-06,Saturday,שבת,5
5,5,26,Kiryat Shmona,1:0,M. Tel Aviv,2007/08,2007,06/10/07,12:00 AM,2007-10-06,Saturday,שבת,5
5,5,27,Maccabi Haifa,2:1,H. Kfar Saba,2007/08,2007,06/10/07,12:00 AM,2007-10-06,Saturday,שבת,5
5,5,28,Maccabi Netanya,1:0,M. Petah Tikva,2007/08,2007,06/10/07,12:00 AM,2007-10-06,Saturday,שבת,5
5,5,29,B. Jerusalem,5:0,FC Ashdod,2007/08,2007,07/10/07,12:00 AM,2007-10-07,Sunday,יום ראשון,6
5,5,30,Hapoel Tel Aviv,0:2,Maccabi Herzlya,2007/08,2007,08/10/07,12:00 AM,2007-10-08,Monday,יום שני,0
6,6,31,Bnei Sakhnin,1:0,Hapoel Tel Aviv,2007/08,2007,20/10/07,12:00 AM,2007-10-20,Saturday,שבת,5
6,6,32,H. Kfar Saba,2:3,Maccabi Herzlya,2007/08,2007,20/10/07,12:00 AM,2007-10-20,Saturday,שבת,5
6,6,33,FC Ashdod,3:0,Bnei Yehuda,2007/08,2007,20/10/07,12:00 AM,2007-10-20,Saturday,שבת,5
6,6,34,Maccabi Haifa,1:0,Kiryat Shmona,2007/08,2007,20/10/07,12:00 AM,2007-10-20,Saturday,שבת,5
6,6,35,M. Petah Tikva,1:2,B. Jerusalem,2007/08,2007,20/10/07,12:00 AM,2007-10-20,Saturday,שבת,5
6,6,36,M. Tel Aviv,0:2,Maccabi Netanya,2007/08,2007,21/10/07,12:00 AM,2007-10-21,Sunday,יום ראשון,6
7,7,37,Bnei Yehuda,0:1,M. Petah Tikva,2007/08,2007,27/10/07,12:00 AM,2007-10-27,Saturday,שבת,5
7,7,38,Kiryat Shmona,2:2,H. Kfar Saba,2007/08,2007,27/10/07,12:00 AM,2007-10-27,Saturday,שבת,5
7,7,39,Maccabi Herzlya,0:1,Bnei Sakhnin,2007/08,2007,27/10/07,12:00 AM,2007-10-27,Saturday,שבת,5
7,7,40,Maccabi Netanya,2:1,Maccabi Haifa,2007/08,2007,27/10/07,12:00 AM,2007-10-27,Saturday,שבת,5
7,7,41,B. Jerusalem,2:0,M. Tel Aviv,2007/08,2007,28/10/07,12:00 AM,2007-10-28,Sunday,יום ראשון,6
7,7,42,Hapoel Tel Aviv,0:2,FC Ashdod,2007/08,2007,29/10/07,12:00 AM,2007-10-29,Monday,יום שני,0
8,8,43,H. Kfar Saba,0:0,Bnei Sakhnin,2007/08,2007,03/11/07,12:00 AM,2007-11-03,Saturday,שבת,5
8,8,44,Kiryat Shmona,0:0,Maccabi Netanya,2007/08,2007,03/11/07,12:00 AM,2007-11-03,Saturday,שבת,5
8,8,45,FC Ashdod,0:1,Maccabi Herzlya,2007/08,2007,03/11/07,12:00 AM,2007-11-03,Saturday,שבת,5
8,8,46,M. Petah Tikva,2:1,Hapoel Tel Aviv,2007/08,2007,03/11/07,12:00 AM,2007-11-03,Saturday,שבת,5
8,8,47,M. Tel Aviv,3:1,Bnei Yehuda,2007/08,2007,03/11/07,12:00 AM,2007-11-03,Saturday,שבת,5
8,8,48,Maccabi Haifa,0:0,B. Jerusalem,2007/08,2007,04/11/07,12:00 AM,2007-11-04,Sunday,יום ראשון,6
9,9,49,B. Jerusalem,0:0,Kiryat Shmona,2007/08,2007,10/11/07,12:00 AM,2007-11-10,Saturday,שבת,5
9,9,50,Bnei Sakhnin,3:0,FC Ashdod,2007/08,2007,10/11/07,12:00 AM,2007-11-10,Saturday,שבת,5
9,9,51,Bnei Yehuda,0:3,Maccabi Haifa,2007/08,2007,10/11/07,12:00 AM,2007-11-10,Saturday,שבת,5
9,9,52,Maccabi Herzlya,1:1,M. Petah Tikva,2007/08,2007,10/11/07,12:00 AM,2007-11-10,Saturday,שבת,5
9,9,53,Maccabi Netanya,2:3,H. Kfar Saba,2007/08,2007,10/11/07,12:00 AM,2007-11-10,Saturday,שבת,5
9,9,54,Hapoel Tel Aviv,1:0,M. Tel Aviv,2007/08,2007,11/11/07,12:00 AM,2007-11-11,Sunday,יום ראשון,6
10,10,55,H. Kfar Saba,3:1,FC Ashdod,2007/08,2007,24/11/07,12:00 AM,2007-11-24,Saturday,שבת,5
10,10,56,Kiryat Shmona,2:1,Bnei Yehuda,2007/08,2007,24/11/07,12:00 AM,2007-11-24,Saturday,שבת,5
10,10,57,Maccabi Haifa,2:0,Hapoel Tel Aviv,2007/08,2007,24/11/07,12:00 AM,2007-11-24,Saturday,שבת,5
10,10,58,M. Petah Tikva,2:0,Bnei Sakhnin,2007/08,2007,24/11/07,12:00 AM,2007-11-24,Saturday,שבת,5
10,10,59,M. Tel Aviv,2:0,Maccabi Herzlya,2007/08,2007,24/11/07,12:00 AM,2007-11-24,Saturday,שבת,5
10,10,60,Maccabi Netanya,0:1,B. Jerusalem,2007/08,2007,25/11/07,12:00 AM,2007-11-25,Sunday,יום ראשון,6
11,11,61,Bnei Yehuda,1:2,Maccabi Netanya,2007/08,2007,01/12/07,Unknown,2007-12-01,Saturday,שבת,5
11,11,62,Maccabi Herzlya,0:1,Maccabi Haifa,2007/08,2007,01/12/07,12:00 AM,2007-12-01,Saturday,שבת,5
11,11,63,FC Ashdod,1:3,M. Petah Tikva,2007/08,2007,01/12/07,12:00 AM,2007-12-01,Saturday,שבת,5
11,11,64,B. Jerusalem,4:0,H. Kfar Saba,2007/08,2007,01/12/07,12:00 AM,2007-12-01,Saturday,שבת,5
11,11,65,Bnei Sakhnin,3:2,M. Tel Aviv,2007/08,2007,02/12/07,12:00 AM,2007-12-02,Sunday,יום ראשון,6
11,11,66,Hapoel Tel Aviv,0:1,Kiryat Shmona,2007/08,2007,03/12/07,12:00 AM,2007-12-03,Monday,יום שני,0
12,12,67,FC Ashdod,0:0,M. Tel Aviv,2007/08,2007,08/12/07,12:00 AM,2007-12-08,Saturday,שבת,5
12,12,68,Maccabi Herzlya,1:3,Kiryat Shmona,2007/08,2007,08/12/07,12:00 AM,2007-12-08,Saturday,שבת,5
12,12,69,H. Kfar Saba,0:0,M. Petah Tikva,2007/08,2007,08/12/07,12:00 AM,2007-12-08,Saturday,שבת,5
12,12,70,Bnei Sakhnin,1:1,Maccabi Haifa,2007/08,2007,08/12/07,12:00 AM,2007-12-08,Saturday,שבת,5
12,12,71,Hapoel Tel Aviv,0:1,Maccabi Netanya,2007/08,2007,08/12/07,12:00 AM,2007-12-08,Saturday,שבת,5
12,12,72,Bnei Yehuda,0:3,B. Jerusalem,2007/08,2007,09/12/07,Unknown,2007-12-09,Sunday,יום ראשון,6
13,13,73,Kiryat Shmona,0:0,Bnei Sakhnin,2007/08,2007,15/12/07,12:00 AM,2007-12-15,Saturday,שבת,5
13,13,74,Bnei Yehuda,0:2,H. Kfar Saba,2007/08,2007,15/12/07,12:00 AM,2007-12-15,Saturday,שבת,5
13,13,75,Maccabi Netanya,0:0,Maccabi Herzlya,2007/08,2007,15/12/07,12:00 AM,2007-12-15,Saturday,שבת,5
