round,home,score,away,season,season_year
1,B. Jerusalem,0:0,Hapoel Tel Aviv,2009/10,2009
2,M. Petah Tikva,1:1,H. Ramat Gan,2009/10,2009
3,H. Beer Sheva,2:1,Hapoel Raanana,2009/10,2009
4,Maccabi Haifa,2:1,Hapoel Acre,2009/10,2009
5,Maccabi Netanya,1:2,Hapoel Haifa,2009/10,2009
6,FC Ashdod,0:3,Bnei Yehuda,2009/10,2009
7,M. Ahi Nazareth,1:2,H. Petah Tikva,2009/10,2009
8,M. Tel Aviv,3:1,Bnei Sakhnin,2009/10,2009
9,Hapoel Raanana,1:3,Maccabi Haifa,2009/10,2009
10,H. Petah Tikva,0:2,M. Tel Aviv,2009/10,2009
11,Hapoel Haifa,0:1,FC Ashdod,2009/10,2009
12,Hapoel Acre,1:1,Maccabi Netanya,2009/10,2009
13,H. Ramat Gan,2:2,H. Beer Sheva,2009/10,2009
14,Hapoel Tel Aviv,1:1,M. Petah Tikva,2009/10,2009
15,Bnei Yehuda,2:0,M. Ahi Nazareth,2009/10,2009
16,Bnei Sakhnin,0:0,B. Jerusalem,2009/10,2009
17,Maccabi Haifa,3:1,H. Ramat Gan,2009/10,2009
18,M. Ahi Nazareth,1:3,Hapoel Haifa,2009/10,2009
19,Maccabi Netanya,1:1,Hapoel Raanana,2009/10,2009
20,FC Ashdod,1:0,Hapoel Acre,2009/10,2009
21,M. Petah Tikva,1:3,B. Jerusalem,2009/10,2009
22,Bnei Sakhnin,2:0,H. Petah Tikva,2009/10,2009
23,H. Beer Sheva,1:3,Hapoel Tel Aviv,2009/10,2009
24,M. Tel Aviv,0:0,Bnei Yehuda,2009/10,2009
25,Hapoel Tel Aviv,1:2,Maccabi Haifa,2009/10,2009
26,Hapoel Haifa,3:1,M. Tel Aviv,2009/10,2009
27,Bnei Yehuda,2:1,Bnei Sakhnin,2009/10,2009
28,Hapoel Acre,0:1,M. Ahi Nazareth,2009/10,2009
29,Hapoel Raanana,1:1,FC Ashdod,2009/10,2009
30,H. Ramat Gan,1:0,Maccabi Netanya,2009/10,2009
31,M. Petah Tikva,3:0,H. Beer Sheva,2009/10,2009
32,B. Jerusalem,3:0,H. Petah Tikva,2009/10,2009
33,M. Tel Aviv,1:1,Hapoel Acre,2009/10,2009
34,FC Ashdod,0:0,H. Ramat Gan,2009/10,2009
35,M. Ahi Nazareth,2:1,Hapoel Raanana,2009/10,2009
36,Bnei Sakhnin,0:3,Hapoel Haifa,2009/10,2009
37,H. Petah Tikva,1:1,Bnei Yehuda,2009/10,2009
38,Maccabi Haifa,2:0,M. Petah Tikva,2009/10,2009
39,Maccabi Netanya,0:3,Hapoel Tel Aviv,2009/10,2009
40,H. Beer Sheva,3:2,B. Jerusalem,2009/10,2009
41,Hapoel Tel Aviv,2:2,FC Ashdod,2009/10,2009
42,Hapoel Haifa,1:2,H. Petah Tikva,2009/10,2009
43,Hapoel Raanana,0:3,M. Tel Aviv,2009/10,2009
44,H. Ramat Gan,2:3,M. Ahi Nazareth,2009/10,2009
45,M. Petah Tikva,0:3,Maccabi Netanya,2009/10,2009
46,H. Beer Sheva,1:3,Maccabi Haifa,2009/10,2009
47,Hapoel Acre,0:0,Bnei Sakhnin,2009/10,2009
48,B. Jerusalem,1:0,Bnei Yehuda,2009/10,2009
49,Bnei Yehuda,2:0,Hapoel Haifa,2009/10,2009
50,Maccabi Netanya,2:2,H. Beer Sheva,2009/10,2009
51,FC Ashdod,1:1,M. Petah Tikva,2009/10,2009
52,Bnei Sakhnin,1:1,Hapoel Raanana,2009/10,2009
53,H. Petah Tikva,1:1,Hapoel Acre,2009/10,2009
54,M. Tel Aviv,3:1,H. Ramat Gan,2009/10,2009
55,M. Ahi Nazareth,0:4,Hapoel Tel Aviv,2009/10,2009
56,Maccabi Haifa,2:1,B. Jerusalem,2009/10,2009
57,Maccabi Haifa,2:0,Maccabi Netanya,2009/10,2009
58,Hapoel Acre,1:1,Bnei Yehuda,2009/10,2009
59,Hapoel Raanana,2:1,H. Petah Tikva,2009/10,2009
60,H. Ramat Gan,1:0,Bnei Sakhnin,2009/10,2009
61,M. Petah Tikva,1:0,M. Ahi Nazareth,2009/10,2009
