round,home,score,away,season,season_year
1,FC Ashdod,1:0,Bnei Yehuda,2018/19,2018
2,Hapoel Hadera,2:1,Hapoel Tel Aviv,2018/19,2018
3,Hapoel Haifa,5:0,Maccabi Netanya,2018/19,2018
4,Kiryat Shmona,1:1,H. Beer Sheva,2018/19,2018
5,Bnei Sakhnin,0:0,Hapoel Raanana,2018/19,2018
6,M. Tel Aviv,2:0,Maccabi Haifa,2018/19,2018
7,M. Petah Tikva,4:1,B. Jerusalem,2018/19,2018
8,Hapoel Raanana,2:1,Kiryat Shmona,2018/19,2018
9,Maccabi Haifa,2:0,FC Ashdod,2018/19,2018
10,Maccabi Netanya,1:1,Bnei Sakhnin,2018/19,2018
11,Hapoel Tel Aviv,1:0,Hapoel Haifa,2018/19,2018
12,Bnei Yehuda,2:2,M. Petah Tikva,2018/19,2018
13,H. Beer Sheva,1:1,M. Tel Aviv,2018/19,2018
14,B. Jerusalem,0:1,Hapoel Hadera,2018/19,2018
15,M. Tel Aviv,4:1,Hapoel Raanana,2018/19,2018
16,M. Petah Tikva,1:1,Hapoel Hadera,2018/19,2018
17,Bnei Sakhnin,1:1,Hapoel Tel Aviv,2018/19,2018
18,FC Ashdod,1:0,H. Beer Sheva,2018/19,2018
19,Kiryat Shmona,1:0,Maccabi Netanya,2018/19,2018
20,Bnei Yehuda,1:1,Maccabi Haifa,2018/19,2018
21,Hapoel Haifa,2:2,B. Jerusalem,2018/19,2018
22,Hapoel Tel Aviv,0:0,Kiryat Shmona,2018/19,2018
23,Hapoel Raanana,1:1,FC Ashdod,2018/19,2018
24,Maccabi Haifa,1:2,M. Petah Tikva,2018/19,2018
25,Maccabi Netanya,1:2,M. Tel Aviv,2018/19,2018
26,Hapoel Hadera,2:0,Hapoel Haifa,2018/19,2018
27,H. Beer Sheva,0:0,Bnei Yehuda,2018/19,2018
28,B. Jerusalem,3:2,Bnei Sakhnin,2018/19,2018
29,M. Petah Tikva,1:1,Hapoel Haifa,2018/19,2018
30,Bnei Sakhnin,1:2,Hapoel Hadera,2018/19,2018
31,FC Ashdod,1:4,Maccabi Netanya,2018/19,2018
32,Kiryat Shmona,2:0,B. Jerusalem,2018/19,2018
33,Bnei Yehuda,3:0,Hapoel Raanana,2018/19,2018
34,Maccabi Haifa,0:0,H. Beer Sheva,2018/19,2018
35,M. Tel Aviv,0:0,Hapoel Tel Aviv,2018/19,2018
36,Hapoel Raanana,1:1,Maccabi Haifa,2018/19,2018
37,Hapoel Haifa,0:3,Bnei Sakhnin,2018/19,2018
38,Maccabi Netanya,1:3,Bnei Yehuda,2018/19,2018
39,H. Beer Sheva,4:1,M. Petah Tikva,2018/19,2018
40,Hapoel Hadera,1:0,Kiryat Shmona,2018/19,2018
41,B. Jerusalem,0:2,M. Tel Aviv,2018/19,2018
42,Hapoel Tel Aviv,0:0,FC Ashdod,2018/19,2018
43,M. Tel Aviv,4:0,Hapoel Hadera,2018/19,2018
44,Kiryat Shmona,1:1,Hapoel Haifa,2018/19,2018
45,Bnei Yehuda,0:0,Hapoel Tel Aviv,2018/19,2018
46,H. Beer Sheva,2:0,Hapoel Raanana,2018/19,2018
47,M. Petah Tikva,0:0,Bnei Sakhnin,2018/19,2018
48,FC Ashdod,1:1,B. Jerusalem,2018/19,2018
49,Maccabi Haifa,0:2,Maccabi Netanya,2018/19,2018
50,Hapoel Raanana,1:0,M. Petah Tikva,2018/19,2018
51,Bnei Sakhnin,0:3,Kiryat Shmona,2018/19,2018
52,Maccabi Netanya,1:0,H. Beer Sheva,2018/19,2018
53,B. Jerusalem,1:5,Bnei Yehuda,2018/19,2018
54,Hapoel Hadera,3:2,FC Ashdod,2018/19,2018
55,Hapoel Haifa,1:3,M. Tel Aviv,2018/19,2018
