round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
8,8,46,M. Petah Tikva,2:3,FC Ashdod,2008/09,2008,01/11/08,6:30 PM,2008-11-01,Saturday,שבת,5
8,8,47,M. Tel Aviv,0:1,Kiryat Shmona,2008/09,2008,01/11/08,7:30 PM,2008-11-01,Saturday,שבת,5
8,8,48,B. Jerusalem,0:2,Hapoel Tel Aviv,2008/09,2008,03/11/08,8:50 PM,2008-11-03,Monday,יום שני,0
9,9,49,Hapoel Tel Aviv,1:1,M. Petah Tikva,2008/09,2008,08/11/08,3:00 PM,2008-11-08,Saturday,שבת,5
9,9,50,H. Petah Tikva,0:1,M. Tel Aviv,2008/09,2008,08/11/08,5:15 PM,2008-11-08,Saturday,שבת,5
9,9,51,Kiryat Shmona,0:2,Hakoah Amidar,2008/09,2008,08/11/08,5:30 PM,2008-11-08,Saturday,שבת,5
9,9,52,FC Ashdod,4:2,Bnei Sakhnin,2008/09,2008,08/11/08,6:30 PM,2008-11-08,Saturday,שבת,5
9,9,53,Bnei Yehuda,0:3,B. Jerusalem,2008/09,2008,08/11/08,7:35 PM,2008-11-08,Saturday,שבת,5
9,9,54,Maccabi Haifa,2:3,Maccabi Netanya,2008/09,2008,10/11/08,8:53 PM,2008-11-10,Monday,יום שני,0
10,10,55,Bnei Sakhnin,1:0,Hapoel Tel Aviv,2008/09,2008,15/11/08,5:15 PM,2008-11-15,Saturday,שבת,5
10,10,56,M. Petah Tikva,0:0,Bnei Yehuda,2008/09,2008,15/11/08,6:30 PM,2008-11-15,Saturday,שבת,5
10,10,57,Hakoah Amidar,0:1,H. Petah Tikva,2008/09,2008,15/11/08,6:30 PM,2008-11-15,Saturday,שבת,5
10,10,58,Maccabi Haifa,1:1,Kiryat Shmona,2008/09,2008,15/11/08,7:00 PM,2008-11-15,Saturday,שבת,5
10,10,59,M. Tel Aviv,2:2,FC Ashdod,2008/09,2008,15/11/08,7:30 PM,2008-11-15,Saturday,שבת,5
10,10,60,Maccabi Netanya,1:2,B. Jerusalem,2008/09,2008,17/11/08,8:50 PM,2008-11-17,Monday,יום שני,0
11,11,61,H. Petah Tikva,1:4,Maccabi Haifa,2008/09,2008,22/11/08,5:10 PM,2008-11-22,Saturday,שבת,5
11,11,62,Kiryat Shmona,0:3,Maccabi Netanya,2008/09,2008,22/11/08,5:20 PM,2008-11-22,Saturday,שבת,5
11,11,63,FC Ashdod,3:2,Hakoah Amidar,2008/09,2008,22/11/08,6:30 PM,2008-11-22,Saturday,שבת,5
11,11,64,Bnei Yehuda,2:0,Bnei Sakhnin,2008/09,2008,22/11/08,6:33 PM,2008-11-22,Saturday,שבת,5
11,11,65,B. Jerusalem,1:1,M. Petah Tikva,2008/09,2008,22/11/08,7:30 PM,2008-11-22,Saturday,שבת,5
11,11,66,Hapoel Tel Aviv,2:0,M. Tel Aviv,2008/09,2008,24/11/08,8:50 PM,2008-11-24,Monday,יום שני,0
12,12,67,Hapoel Tel Aviv,3:0,Hakoah Amidar,2008/09,2008,29/11/08,3:00 PM,2008-11-29,Saturday,שבת,5
12,12,68,Maccabi Netanya,0:0,M. Petah Tikva,2008/09,2008,29/11/08,5:15 PM,2008-11-29,Saturday,שבת,5
12,12,69,FC Ashdod,1:3,Maccabi Haifa,2008/09,2008,29/11/08,7:00 PM,2008-11-29,Saturday,שבת,5
12,12,70,H. Petah Tikva,3:0,Kiryat Shmona,2008/09,2008,29/11/08,7:00 PM,2008-11-29,Saturday,שבת,5
12,12,71,Bnei Yehuda,3:2,M. Tel Aviv,2008/09,2008,29/11/08,7:30 PM,2008-11-29,Saturday,שבת,5
12,12,72,B. Jerusalem,0:0,Bnei Sakhnin,2008/09,2008,01/12/08,8:50 PM,2008-12-01,Monday,יום שני,0
13,13,73,H. Petah Tikva,0:0,Maccabi Netanya,2008/09,2008,06/12/08,5:10 PM,2008-12-06,Saturday,שבת,5
13,13,74,Hakoah Amidar,0:1,Bnei Yehuda,2008/09,2008,06/12/08,7:00 PM,2008-12-06,Saturday,שבת,5
13,13,75,Bnei Sakhnin,2:1,M. Petah Tikva,2008/09,2008,06/12/08,7:00 PM,2008-12-06,Saturday,שבת,5
13,13,76,Kiryat Shmona,1:1,FC Ashdod,2008/09,2008,06/12/08,7:02 PM,2008-12-06,Saturday,שבת,5
13,13,77,M. Tel Aviv,0:0,B. Jerusalem,2008/09,2008,06/12/08,7:30 PM,2008-12-06,Saturday,שבת,5
13,13,78,Maccabi Haifa,2:2,Hapoel Tel Aviv,2008/09,2008,08/12/08,8:50 PM,2008-12-08,Monday,יום שני,0
14,14,79,Maccabi Netanya,1:1,Bnei Sakhnin,2008/09,2008,12/12/08,2:30 PM,2008-12-12,Friday,יום שישי,4
14,14,80,Hapoel Tel Aviv,1:1,Kiryat Shmona,2008/09,2008,13/12/08,5:00 PM,2008-12-13,Saturday,שבת,5
