round,home,score,away,season,season_year
1,H. Ashkelon,3:1,H. Petah Tikva,2010/11,2010
2,Hapoel Haifa,1:0,Hapoel Tel Aviv,2010/11,2010
3,Bnei Yehuda,0:0,H. Ramat Gan,2010/11,2010
4,Hapoel Acre,1:2,FC Ashdod,2010/11,2010
5,Kiryat Shmona,2:0,Bnei Sakhnin,2010/11,2010
6,Maccabi Netanya,4:1,B. Jerusalem,2010/11,2010
7,M. Tel Aviv,0:1,Maccabi Haifa,2010/11,2010
8,M. Petah Tikva,0:1,H. Beer Sheva,2010/11,2010
9,H. Beer Sheva,0:1,Bnei Yehuda,2010/11,2010
10,Maccabi Haifa,1:0,M. Petah Tikva,2010/11,2010
11,H. Ramat Gan,1:2,Hapoel Haifa,2010/11,2010
12,Hapoel Tel Aviv,5:1,H. Ashkelon,2010/11,2010
13,H. Petah Tikva,2:2,Hapoel Acre,2010/11,2010
14,FC Ashdod,2:2,Kiryat Shmona,2010/11,2010
15,Bnei Sakhnin,1:1,Maccabi Netanya,2010/11,2010
16,B. Jerusalem,0:1,M. Tel Aviv,2010/11,2010
17,H. Ashkelon,1:1,H. Ramat Gan,2010/11,2010
18,Hapoel Acre,2:2,Hapoel Tel Aviv,2010/11,2010
19,Kiryat Shmona,3:1,H. Petah Tikva,2010/11,2010
20,Maccabi Netanya,2:0,FC Ashdod,2010/11,2010
21,M. Petah Tikva,2:1,B. Jerusalem,2010/11,2010
22,M. Tel Aviv,4:0,Bnei Sakhnin,2010/11,2010
23,Hapoel Haifa,2:0,Bnei Yehuda,2010/11,2010
24,H. Beer Sheva,1:1,Maccabi Haifa,2010/11,2010
25,Hapoel Tel Aviv,2:4,Kiryat Shmona,2010/11,2010
26,B. Jerusalem,5:1,H. Beer Sheva,2010/11,2010
27,Hapoel Haifa,1:2,H. Ashkelon,2010/11,2010
28,H. Petah Tikva,1:1,Maccabi Netanya,2010/11,2010
29,Bnei Sakhnin,2:3,M. Petah Tikva,2010/11,2010
30,Bnei Yehuda,2:3,Maccabi Haifa,2010/11,2010
31,H. Ramat Gan,3:2,Hapoel Acre,2010/11,2010
32,FC Ashdod,1:2,M. Tel Aviv,2010/11,2010
33,H. Ashkelon,0:0,Bnei Yehuda,2010/11,2010
34,M. Tel Aviv,2:1,H. Petah Tikva,2010/11,2010
35,Hapoel Acre,2:1,Hapoel Haifa,2010/11,2010
36,M. Petah Tikva,2:2,FC Ashdod,2010/11,2010
37,H. Beer Sheva,1:0,Bnei Sakhnin,2010/11,2010
38,Maccabi Netanya,1:3,Hapoel Tel Aviv,2010/11,2010
39,Maccabi Haifa,3:3,B. Jerusalem,2010/11,2010
40,Kiryat Shmona,1:0,H. Ramat Gan,2010/11,2010
41,H. Ashkelon,0:0,Hapoel Acre,2010/11,2010
42,Hapoel Haifa,1:4,Kiryat Shmona,2010/11,2010
43,H. Ramat Gan,0:1,Maccabi Netanya,2010/11,2010
44,H. Petah Tikva,1:4,M. Petah Tikva,2010/11,2010
45,Bnei Sakhnin,1:2,Maccabi Haifa,2010/11,2010
46,Hapoel Tel Aviv,1:0,M. Tel Aviv,2010/11,2010
47,FC Ashdod,3:3,H. Beer Sheva,2010/11,2010
48,Bnei Yehuda,2:1,B. Jerusalem,2010/11,2010
49,M. Tel Aviv,2:0,H. Ramat Gan,2010/11,2010
50,Hapoel Acre,3:1,Bnei Yehuda,2010/11,2010
51,Kiryat Shmona,2:2,H. Ashkelon,2010/11,2010
52,Maccabi Netanya,1:1,Hapoel Haifa,2010/11,2010
53,H. Beer Sheva,0:0,H. Petah Tikva,2010/11,2010
54,Maccabi Haifa,1:1,FC Ashdod,2010/11,2010
55,M. Petah Tikva,1:2,Hapoel Tel Aviv,2010/11,2010
56,B. Jerusalem,0:0,Bnei Sakhnin,2010/11,2010
57,FC Ashdod,3:0,B. Jerusalem,2010/11,2010
58,Hapoel Acre,3:0,Kiryat Shmona,2010/11,2010
59,H. Ashkelon,0:4,Maccabi Netanya,2010/11,2010
60,H. Ramat Gan,0:2,M. Petah Tikva,2010/11,2010
61,Bnei Yehuda,2:0,Bnei Sakhnin,2010/11,2010
62,Hapoel Tel Aviv,3:2,H. Beer Sheva,2010/11,2010
63,H. Petah Tikva,0:1,Maccabi Haifa,2010/11,2010
64,Hapoel Haifa,0:0,M. Tel Aviv,2010/11,2010
65,B. Jerusalem,0:2,H. Petah Tikva,2010/11,2010
66,Kiryat Shmona,2:2,Bnei Yehuda,2010/11,2010
67,M. Petah Tikva,2:3,Hapoel Haifa,2010/11,2010
68,H. Beer Sheva,2:0,H. Ramat Gan,2010/11,2010
69,Bnei Sakhnin,0:2,FC Ashdod,2010/11,2010
70,M. Tel Aviv,2:0,H. Ashkelon,2010/11,2010
71,Maccabi Netanya,1:3,Hapoel Acre,2010/11,2010
72,Maccabi Haifa,0:2,Hapoel Tel Aviv,2010/11,2010
73,Hapoel Acre,3:1,M. Tel Aviv,2010/11,2010
74,Kiryat Shmona,3:0,Maccabi Netanya,2010/11,2010
75,H. Ashkelon,0:1,M. Petah Tikva,2010/11,2010
76,Hapoel Haifa,1:1,H. Beer Sheva,2010/11,2010
77,Bnei Yehuda,0:0,FC Ashdod,2010/11,2010
78,H. Ramat Gan,1:3,Maccabi Haifa,2010/11,2010
79,Hapoel Tel Aviv,0:0,B. Jerusalem,2010/11,2010
80,H. Petah Tikva,0:1,Bnei Sakhnin,2010/11,2010
81,Bnei Sakhnin,1:3,Hapoel Tel Aviv,2010/11,2010
82,Maccabi Netanya,0:0,Bnei Yehuda,2010/11,2010
83,M. Petah Tikva,1:1,Hapoel Acre,2010/11,2010
84,B. Jerusalem,3:2,H. Ramat Gan,2010/11,2010
85,FC Ashdod,1:2,H. Petah Tikva,2010/11,2010
86,M. Tel Aviv,0:1,Kiryat Shmona,2010/11,2010
87,H. Beer Sheva,1:0,H. Ashkelon,2010/11,2010
88,Maccabi Haifa,0:0,Hapoel Haifa,2010/11,2010
89,H. Ashkelon,0:3,Maccabi Haifa,2010/11,2010
90,Kiryat Shmona,2:2,M. Petah Tikva,2010/11,2010
91,Hapoel Acre,2:3,H. Beer Sheva,2010/11,2010
92,H. Ramat Gan,1:2,Bnei Sakhnin,2010/11,2010
93,Bnei Yehuda,2:0,H. Petah Tikva,2010/11,2010
94,Hapoel Haifa,0:2,B. Jerusalem,2010/11,2010
95,Hapoel Tel Aviv,0:2,FC Ashdod,2010/11,2010
96,Maccabi Netanya,0:2,M. Tel Aviv,2010/11,2010
97,H. Petah Tikva,1:5,Hapoel Tel Aviv,2010/11,2010
98,B. Jerusalem,4:0,H. Ashkelon,2010/11,2010
99,Bnei Sakhnin,1:3,Hapoel Haifa,2010/11,2010
100,FC Ashdod,2:2,H. Ramat Gan,2010/11,2010
101,M. Tel Aviv,2:0,Bnei Yehuda,2010/11,2010
102,M. Petah Tikva,2:0,Maccabi Netanya,2010/11,2010
103,Maccabi Haifa,3:1,Hapoel Acre,2010/11,2010
104,H. Beer Sheva,1:1,Kiryat Shmona,2010/11,2010
105,M. Tel Aviv,1:1,M. Petah Tikva,2010/11,2010
106,Maccabi Netanya,1:0,H. Beer Sheva,2010/11,2010
107,H. Ashkelon,1:0,Bnei Sakhnin,2010/11,2010
108,Hapoel Haifa,2:0,FC Ashdod,2010/11,2010
109,H. Ramat Gan,1:1,H. Petah Tikva,2010/11,2010
110,Hapoel Acre,3:0,B. Jerusalem,2010/11,2010
111,Kiryat Shmona,0:1,Maccabi Haifa,2010/11,2010
112,Bnei Yehuda,0:1,Hapoel Tel Aviv,2010/11,2010
113,Maccabi Haifa,3:0,Maccabi Netanya,2010/11,2010
114,M. Petah Tikva,3:0,Bnei Yehuda,2010/11,2010
115,Bnei Sakhnin,0:1,Hapoel Acre,2010/11,2010
116,FC Ashdod,3:2,H. Ashkelon,2010/11,2010
117,Hapoel Tel Aviv,4:0,H. Ramat Gan,2010/11,2010
118,B. Jerusalem,1:0,Kiryat Shmona,2010/11,2010
119,H. Petah Tikva,2:0,Hapoel Haifa,2010/11,2010
120,H. Beer Sheva,0:1,M. Tel Aviv,2010/11,2010
121,Hapoel Tel Aviv,5:0,Hapoel Haifa,2010/11,2010
122,H. Beer Sheva,2:1,M. Petah Tikva,2010/11,2010
123,H. Ramat Gan,1:1,Bnei Yehuda,2010/11,2010
124,FC Ashdod,3:1,Hapoel Acre,2010/11,2010
125,Bnei Sakhnin,1:0,Kiryat Shmona,2010/11,2010
126,B. Jerusalem,0:0,Maccabi Netanya,2010/11,2010
127,H. Petah Tikva,0:2,H. Ashkelon,2010/11,2010
128,Maccabi Haifa,3:0,M. Tel Aviv,2010/11,2010
129,Bnei Yehuda,0:0,H. Beer Sheva,2010/11,2010
130,Hapoel Haifa,2:0,H. Ramat Gan,2010/11,2010
131,Hapoel Acre,3:0,H. Petah Tikva,2010/11,2010
132,Kiryat Shmona,3:0,FC Ashdod,2010/11,2010
133,Maccabi Netanya,1:0,Bnei Sakhnin,2010/11,2010
134,H. Ashkelon,0:2,Hapoel Tel Aviv,2010/11,2010
135,M. Petah Tikva,1:3,Maccabi Haifa,2010/11,2010
136,M. Tel Aviv,1:0,B. Jerusalem,2010/11,2010
137,Bnei Sakhnin,1:3,M. Tel Aviv,2010/11,2010
138,Bnei Yehuda,3:2,Hapoel Haifa,2010/11,2010
139,H. Ramat Gan,0:4,H. Ashkelon,2010/11,2010
140,H. Petah Tikva,1:3,Kiryat Shmona,2010/11,2010
141,B. Jerusalem,0:2,M. Petah Tikva,2010/11,2010
142,Maccabi Haifa,2:2,H. Beer Sheva,2010/11,2010
143,FC Ashdod,1:0,Maccabi Netanya,2010/11,2010
144,Hapoel Tel Aviv,4:1,Hapoel Acre,2010/11,2010
145,H. Beer Sheva,1:2,B. Jerusalem,2010/11,2010
146,H. Ashkelon,0:0,Hapoel Haifa,2010/11,2010
147,Hapoel Acre,0:0,H. Ramat Gan,2010/11,2010
148,Maccabi Netanya,3:3,H. Petah Tikva,2010/11,2010
149,Maccabi Haifa,1:0,Bnei Yehuda,2010/11,2010
150,M. Tel Aviv,4:1,FC Ashdod,2010/11,2010
151,M. Petah Tikva,1:2,Bnei Sakhnin,2010/11,2010
152,Kiryat Shmona,1:1,Hapoel Tel Aviv,2010/11,2010
153,Bnei Yehuda,2:0,H. Ashkelon,2010/11,2010
154,H. Petah Tikva,0:1,M. Tel Aviv,2010/11,2010
155,Hapoel Haifa,1:1,Hapoel Acre,2010/11,2010
156,H. Ramat Gan,0:3,Kiryat Shmona,2010/11,2010
157,FC Ashdod,1:3,M. Petah Tikva,2010/11,2010
158,Bnei Sakhnin,1:1,H. Beer Sheva,2010/11,2010
159,Hapoel Tel Aviv,2:1,Maccabi Netanya,2010/11,2010
160,B. Jerusalem,0:0,Maccabi Haifa,2010/11,2010
161,H. Beer Sheva,5:0,FC Ashdod,2010/11,2010
162,Maccabi Haifa,1:0,Bnei Sakhnin,2010/11,2010
163,Hapoel Acre,1:0,H. Ashkelon,2010/11,2010
164,Kiryat Shmona,1:3,Hapoel Haifa,2010/11,2010
165,Maccabi Netanya,2:0,H. Ramat Gan,2010/11,2010
166,M. Petah Tikva,2:3,H. Petah Tikva,2010/11,2010
167,B. Jerusalem,1:1,Bnei Yehuda,2010/11,2010
168,M. Tel Aviv,1:1,Hapoel Tel Aviv,2010/11,2010
