round,home,score,away,season,season_year
1,FC Ashdod,0:2,Kiryat Shmona,2020/21,2020
2,Bnei Sakhnin,0:3,Bnei Yehuda,2020/21,2020
3,H. Kfar Saba,2:1,Hapoel Tel Aviv,2020/21,2020
4,H. Beer Sheva,3:2,Maccabi Netanya,2020/21,2020
5,Hapoel Haifa,0:1,B. Jerusalem,2020/21,2020
6,Hapoel Hadera,1:2,Maccabi Haifa,2020/21,2020
7,M. Tel Aviv,1:2,M. Petah Tikva,2020/21,2020
8,Kiryat Shmona,1:1,Hapoel Haifa,2020/21,2020
9,M. Petah Tikva,2:0,H. Kfar Saba,2020/21,2020
10,Bnei Yehuda,2:2,M. Tel Aviv,2020/21,2020
11,Hapoel Tel Aviv,0:2,FC Ashdod,2020/21,2020
12,Maccabi Haifa,3:1,H. Beer Sheva,2020/21,2020
13,Maccabi Netanya,7:0,Bnei Sakhnin,2020/21,2020
14,B. Jerusalem,4:0,Hapoel Hadera,2020/21,2020
15,FC Ashdod,1:0,M. Petah Tikva,2020/21,2020
16,H. Kfar Saba,3:1,Bnei Yehuda,2020/21,2020
17,Bnei Sakhnin,0:3,Maccabi Haifa,2020/21,2020
18,Hapoel Haifa,2:0,Hapoel Tel Aviv,2020/21,2020
19,Hapoel Hadera,2:2,H. Beer Sheva,2020/21,2020
20,M. Tel Aviv,2:2,Maccabi Netanya,2020/21,2020
21,B. Jerusalem,1:0,Kiryat Shmona,2020/21,2020
22,M. Petah Tikva,2:0,Hapoel Haifa,2020/21,2020
23,Maccabi Netanya,3:0,H. Kfar Saba,2020/21,2020
24,Kiryat Shmona,1:1,Hapoel Hadera,2020/21,2020
25,Hapoel Tel Aviv,1:1,B. Jerusalem,2020/21,2020
26,Bnei Yehuda,1:0,FC Ashdod,2020/21,2020
27,H. Beer Sheva,2:2,Bnei Sakhnin,2020/21,2020
28,Maccabi Haifa,2:2,M. Tel Aviv,2020/21,2020
29,M. Tel Aviv,0:0,H. Beer Sheva,2020/21,2020
30,Hapoel Haifa,2:1,Bnei Yehuda,2020/21,2020
31,Kiryat Shmona,1:0,Hapoel Tel Aviv,2020/21,2020
32,H. Kfar Saba,3:2,Maccabi Haifa,2020/21,2020
33,Hapoel Hadera,4:0,Bnei Sakhnin,2020/21,2020
34,FC Ashdod,4:0,Maccabi Netanya,2020/21,2020
35,B. Jerusalem,1:2,M. Petah Tikva,2020/21,2020
36,Maccabi Netanya,2:1,Hapoel Haifa,2020/21,2020
37,Maccabi Haifa,2:1,FC Ashdod,2020/21,2020
38,Bnei Yehuda,1:0,B. Jerusalem,2020/21,2020
39,M. Petah Tikva,0:1,Kiryat Shmona,2020/21,2020
40,Bnei Sakhnin,1:2,M. Tel Aviv,2020/21,2020
41,H. Beer Sheva,0:0,H. Kfar Saba,2020/21,2020
42,Hapoel Tel Aviv,1:0,Hapoel Hadera,2020/21,2020
43,Hapoel Tel Aviv,0:0,M. Petah Tikva,2020/21,2020
44,Kiryat Shmona,2:0,Bnei Yehuda,2020/21,2020
45,FC Ashdod,2:0,H. Beer Sheva,2020/21,2020
46,H. Kfar Saba,0:1,Bnei Sakhnin,2020/21,2020
47,Hapoel Haifa,2:1,Maccabi Haifa,2020/21,2020
48,Hapoel Hadera,0:1,M. Tel Aviv,2020/21,2020
49,B. Jerusalem,1:1,Maccabi Netanya,2020/21,2020
50,M. Petah Tikva,1:0,Hapoel Hadera,2020/21,2020
51,Bnei Sakhnin,1:0,FC Ashdod,2020/21,2020
52,Bnei Yehuda,1:0,Hapoel Tel Aviv,2020/21,2020
53,Maccabi Netanya,0:0,Kiryat Shmona,2020/21,2020
54,M. Tel Aviv,3:0,H. Kfar Saba,2020/21,2020
55,H. Beer Sheva,2:2,Hapoel Haifa,2020/21,2020
56,Maccabi Haifa,2:0,B. Jerusalem,2020/21,2020
57,Kiryat Shmona,0:3,Maccabi Haifa,2020/21,2020
58,M. Petah Tikva,1:0,Bnei Yehuda,2020/21,2020
59,Hapoel Haifa,0:2,Bnei Sakhnin,2020/21,2020
60,Hapoel Tel Aviv,0:0,Maccabi Netanya,2020/21,2020
61,Hapoel Hadera,1:1,H. Kfar Saba,2020/21,2020
62,FC Ashdod,3:2,M. Tel Aviv,2020/21,2020
63,B. Jerusalem,1:2,H. Beer Sheva,2020/21,2020
64,H. Kfar Saba,0:1,FC Ashdod,2020/21,2020
65,Bnei Yehuda,0:3,Hapoel Hadera,2020/21,2020
66,Maccabi Netanya,3:2,M. Petah Tikva,2020/21,2020
67,H. Beer Sheva,2:1,Kiryat Shmona,2020/21,2020
68,M. Tel Aviv,4:3,Hapoel Haifa,2020/21,2020
69,Maccabi Haifa,1:0,Hapoel Tel Aviv,2020/21,2020
70,Bnei Sakhnin,0:0,B. Jerusalem,2020/21,2020
71,Hapoel Haifa,2:1,H. Kfar Saba,2020/21,2020
72,Hapoel Hadera,1:1,FC Ashdod,2020/21,2020
73,Bnei Yehuda,1:1,Maccabi Netanya,2020/21,2020
74,M. Petah Tikva,1:2,Maccabi Haifa,2020/21,2020
75,Kiryat Shmona,0:1,Bnei Sakhnin,2020/21,2020
76,Hapoel Tel Aviv,0:3,H. Beer Sheva,2020/21,2020
77,B. Jerusalem,0:0,M. Tel Aviv,2020/21,2020
78,FC Ashdod,0:1,Hapoel Haifa,2020/21,2020
79,Hapoel Hadera,2:1,Maccabi Netanya,2020/21,2020
80,Maccabi Haifa,3:0,Bnei Yehuda,2020/21,2020
81,Bnei Sakhnin,0:1,Hapoel Tel Aviv,2020/21,2020
82,H. Beer Sheva,1:2,M. Petah Tikva,2020/21,2020
83,M. Tel Aviv,1:0,Kiryat Shmona,2020/21,2020
84,H. Kfar Saba,1:1,B. Jerusalem,2020/21,2020
85,Hapoel Haifa,0:0,Hapoel Hadera,2020/21,2020
86,Maccabi Netanya,0:2,Maccabi Haifa,2020/21,2020
87,M. Petah Tikva,0:0,Bnei Sakhnin,2020/21,2020
88,Kiryat Shmona,1:0,H. Kfar Saba,2020/21,2020
89,Bnei Yehuda,0:2,H. Beer Sheva,2020/21,2020
90,B. Jerusalem,1:2,FC Ashdod,2020/21,2020
91,Hapoel Tel Aviv,0:4,M. Tel Aviv,2020/21,2020
92,Hapoel Tel Aviv,1:1,H. Kfar Saba,2020/21,2020
93,Maccabi Haifa,1:0,Hapoel Hadera,2020/21,2020
