season,source_rows,scraped_rows,verified_rounds,missing_dates,coverage_pct
2006/07,198,198,33,0,100.0
2007/08,198,198,33,0,100.0
2008/09,198,198,33,0,100.0
2009/10,240,240,30,0,100.0
2010/11,240,240,30,0,100.0
2011/12,240,240,30,0,100.0
2012/13,182,182,26,0,100.0
2013/14,182,182,26,0,100.0
2014/15,182,182,26,0,100.0
2015/16,182,182,26,0,100.0
2016/17,182,182,26,0,100.0
2017/18,182,182,26,0,100.0
2018/19,182,182,26,0,100.0
2019/20,182,182,26,0,100.0
2020/21,182,182,26,0,100.0
2021/22,182,182,26,0,100.0
2022/23,182,182,26,0,100.0
2023/24,182,182,26,0,100.0
2024/25,182,182,26,0,100.0
2025/26,74,168,24,0,100.0
