round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,H. Kfar Saba,4:1,H. Petah Tikva,2006/07,2006,26/08/06,12:00 AM,2006-08-26,Saturday,שבת,5
1,1,2,M. Petah Tikva,0:0,Hakoah Amidar,2006/07,2006,26/08/06,12:00 AM,2006-08-26,Saturday,שבת,5
1,1,3,FC Ashdod,1:0,Maccabi Herzlya,2006/07,2006,26/08/06,12:00 AM,2006-08-26,Saturday,שבת,5
1,1,4,Maccabi Netanya,3:1,Maccabi Haifa,2006/07,2006,26/08/06,12:00 AM,2006-08-26,Saturday,שבת,5
1,1,5,M. Tel Aviv,1:2,B. Jerusalem,2006/07,2006,27/08/06,12:00 AM,2006-08-27,Sunday,יום ראשון,6
1,1,6,Bnei Yehuda,1:1,Hapoel Tel Aviv,2006/07,2006,28/08/06,12:00 AM,2006-08-28,Monday,יום שני,0
2,2,7,Hakoah Amidar,3:2,Bnei Yehuda,2006/07,2006,09/09/06,12:00 AM,2006-09-09,Saturday,שבת,5
2,2,8,Maccabi Herzlya,0:3,M. Petah Tikva,2006/07,2006,09/09/06,12:00 AM,2006-09-09,Saturday,שבת,5
2,2,9,Maccabi Haifa,1:0,FC Ashdod,2006/07,2006,09/09/06,12:00 AM,2006-09-09,Saturday,שבת,5
2,2,10,H. Petah Tikva,0:0,Maccabi Netanya,2006/07,2006,09/09/06,12:00 AM,2006-09-09,Saturday,שבת,5
2,2,11,M. Tel Aviv,0:2,H. Kfar Saba,2006/07,2006,09/09/06,12:00 AM,2006-09-09,Saturday,שבת,5
2,2,12,B. Jerusalem,2:1,Hapoel Tel Aviv,2006/07,2006,10/09/06,12:00 AM,2006-09-10,Sunday,יום ראשון,6
3,3,13,Maccabi Netanya,1:1,M. Tel Aviv,2006/07,2006,16/09/06,12:00 AM,2006-09-16,Saturday,שבת,5
3,3,14,FC Ashdod,2:1,H. Petah Tikva,2006/07,2006,16/09/06,12:00 AM,2006-09-16,Saturday,שבת,5
3,3,15,Bnei Yehuda,2:1,Maccabi Herzlya,2006/07,2006,16/09/06,12:00 AM,2006-09-16,Saturday,שבת,5
3,3,16,H. Kfar Saba,2:3,B. Jerusalem,2006/07,2006,17/09/06,12:00 AM,2006-09-17,Sunday,יום ראשון,6
3,3,17,M. Petah Tikva,0:1,Maccabi Haifa,2006/07,2006,17/09/06,12:00 AM,2006-09-17,Sunday,יום ראשון,6
3,3,18,Hapoel Tel Aviv,4:1,Hakoah Amidar,2006/07,2006,18/09/06,12:00 AM,2006-09-18,Monday,יום שני,0
4,4,19,B. Jerusalem,0:0,Hakoah Amidar,2006/07,2006,30/09/06,12:00 AM,2006-09-30,Saturday,שבת,5
4,4,20,H. Petah Tikva,0:1,M. Petah Tikva,2006/07,2006,30/09/06,12:00 AM,2006-09-30,Saturday,שבת,5
4,4,21,M. Tel Aviv,1:0,FC Ashdod,2006/07,2006,30/09/06,12:00 AM,2006-09-30,Saturday,שבת,5
4,4,22,H. Kfar Saba,1:1,Maccabi Netanya,2006/07,2006,30/09/06,12:00 AM,2006-09-30,Saturday,שבת,5
4,4,23,Maccabi Haifa,2:0,Bnei Yehuda,2006/07,2006,20/12/06,12:00 AM,2006-12-20,Wednesday,יום רביעי,2
4,4,24,Maccabi Herzlya,2:2,Hapoel Tel Aviv,2006/07,2006,21/12/06,12:00 AM,2006-12-21,Thursday,יום חמישי,3
5,5,25,M. Petah Tikva,2:1,M. Tel Aviv,2006/07,2006,14/10/06,12:00 AM,2006-10-14,Saturday,שבת,5
5,5,26,Bnei Yehuda,3:1,H. Petah Tikva,2006/07,2006,14/10/06,12:00 AM,2006-10-14,Saturday,שבת,5
5,5,27,Hakoah Amidar,1:2,Maccabi Herzlya,2006/07,2006,14/10/06,12:00 AM,2006-10-14,Saturday,שבת,5
5,5,28,FC Ashdod,3:0,H. Kfar Saba,2006/07,2006,14/10/06,12:00 AM,2006-10-14,Saturday,שבת,5
5,5,29,Maccabi Netanya,3:1,B. Jerusalem,2006/07,2006,14/10/06,12:00 AM,2006-10-14,Saturday,שבת,5
5,5,30,Hapoel Tel Aviv,2:0,Maccabi Haifa,2006/07,2006,15/10/06,12:00 AM,2006-10-15,Sunday,יום ראשון,6
6,6,31,M. Tel Aviv,4:0,Bnei Yehuda,2006/07,2006,21/10/06,Unknown,2006-10-21,Saturday,שבת,5
6,6,32,Maccabi Netanya,1:3,FC Ashdod,2006/07,2006,21/10/06,12:00 AM,2006-10-21,Saturday,שבת,5
6,6,33,H. Kfar Saba,3:0,M. Petah Tikva,2006/07,2006,21/10/06,12:00 AM,2006-10-21,Saturday,שבת,5
6,6,34,B. Jerusalem,3:0,Maccabi Herzlya,2006/07,2006,22/10/06,12:00 AM,2006-10-22,Sunday,יום ראשון,6
6,6,35,H. Petah Tikva,0:2,Hapoel Tel Aviv,2006/07,2006,23/10/06,12:00 AM,2006-10-23,Monday,יום שני,0
6,6,36,Maccabi Haifa,3:3,Hakoah Amidar,2006/07,2006,23/10/06,12:00 AM,2006-10-23,Monday,יום שני,0
7,7,37,Bnei Yehuda,2:2,H. Kfar Saba,2006/07,2006,28/10/06,Unknown,2006-10-28,Saturday,שבת,5
7,7,38,M. Petah Tikva,0:1,Maccabi Netanya,2006/07,2006,28/10/06,12:00 AM,2006-10-28,Saturday,שבת,5
7,7,39,Maccabi Herzlya,2:2,Maccabi Haifa,2006/07,2006,28/10/06,12:00 AM,2006-10-28,Saturday,שבת,5
7,7,40,Hakoah Amidar,0:3,H. Petah Tikva,2006/07,2006,28/10/06,12:00 AM,2006-10-28,Saturday,שבת,5
7,7,41,FC Ashdod,1:4,B. Jerusalem,2006/07,2006,28/10/06,12:00 AM,2006-10-28,Saturday,שבת,5
7,7,42,Hapoel Tel Aviv,1:3,M. Tel Aviv,2006/07,2006,29/10/06,12:00 AM,2006-10-29,Sunday,יום ראשון,6
8,8,43,Maccabi Netanya,0:0,Bnei Yehuda,2006/07,2006,04/11/06,4:20 PM,2006-11-04,Saturday,שבת,5
8,8,44,H. Petah Tikva,1:1,Maccabi Herzlya,2006/07,2006,04/11/06,5:00 PM,2006-11-04,Saturday,שבת,5
8,8,45,FC Ashdod,1:2,M. Petah Tikva,2006/07,2006,04/11/06,5:30 PM,2006-11-04,Saturday,שבת,5
8,8,46,M. Tel Aviv,1:0,Hakoah Amidar,2006/07,2006,04/11/06,6:30 PM,2006-11-04,Saturday,שבת,5
8,8,47,B. Jerusalem,1:1,Maccabi Haifa,2006/07,2006,05/11/06,7:50 PM,2006-11-05,Sunday,יום ראשון,6
8,8,48,H. Kfar Saba,0:1,Hapoel Tel Aviv,2006/07,2006,06/11/06,6:00 PM,2006-11-06,Monday,יום שני,0
9,9,49,Hakoah Amidar,0:0,H. Kfar Saba,2006/07,2006,17/11/06,12:00 AM,2006-11-17,Friday,יום שישי,4
9,9,50,Bnei Yehuda,2:3,FC Ashdod,2006/07,2006,18/11/06,12:00 AM,2006-11-18,Saturday,שבת,5
9,9,51,Hapoel Tel Aviv,2:1,Maccabi Netanya,2006/07,2006,18/11/06,12:00 AM,2006-11-18,Saturday,שבת,5
9,9,52,Maccabi Herzlya,0:2,M. Tel Aviv,2006/07,2006,18/11/06,12:00 AM,2006-11-18,Saturday,שבת,5
9,9,53,Maccabi Haifa,2:1,H. Petah Tikva,2006/07,2006,18/11/06,12:00 AM,2006-11-18,Saturday,שבת,5
9,9,54,M. Petah Tikva,3:1,B. Jerusalem,2006/07,2006,19/11/06,12:00 AM,2006-11-19,Sunday,יום ראשון,6
10,10,55,Maccabi Netanya,1:0,Hakoah Amidar,2006/07,2006,25/11/06,12:00 AM,2006-11-25,Saturday,שבת,5
10,10,56,M. Petah Tikva,1:0,Bnei Yehuda,2006/07,2006,25/11/06,12:00 AM,2006-11-25,Saturday,שבת,5
10,10,57,H. Kfar Saba,2:1,Maccabi Herzlya,2006/07,2006,25/11/06,12:00 AM,2006-11-25,Saturday,שבת,5
10,10,58,B. Jerusalem,2:0,H. Petah Tikva,2006/07,2006,25/11/06,12:00 AM,2006-11-25,Saturday,שבת,5
10,10,59,M. Tel Aviv,1:1,Maccabi Haifa,2006/07,2006,26/11/06,12:00 AM,2006-11-26,Sunday,יום ראשון,6
10,10,60,FC Ashdod,2:1,Hapoel Tel Aviv,2006/07,2006,27/11/06,12:00 AM,2006-11-27,Monday,יום שני,0
11,11,61,H. Petah Tikva,1:2,M. Tel Aviv,2006/07,2006,02/12/06,12:00 AM,2006-12-02,Saturday,שבת,5
11,11,62,Maccabi Herzlya,1:0,Maccabi Netanya,2006/07,2006,02/12/06,12:00 AM,2006-12-02,Saturday,שבת,5
11,11,63,Hakoah Amidar,0:1,FC Ashdod,2006/07,2006,02/12/06,12:00 AM,2006-12-02,Saturday,שבת,5
11,11,64,Hapoel Tel Aviv,0:1,M. Petah Tikva,2006/07,2006,02/12/06,12:00 AM,2006-12-02,Saturday,שבת,5
11,11,65,Bnei Yehuda,0:2,B. Jerusalem,2006/07,2006,03/12/06,12:00 AM,2006-12-03,Sunday,יום ראשון,6
11,11,66,Maccabi Haifa,3:3,H. Kfar Saba,2006/07,2006,04/12/06,12:00 AM,2006-12-04,Monday,יום שני,0
12,12,67,Hapoel Tel Aviv,3:1,Bnei Yehuda,2006/07,2006,09/12/06,12:00 AM,2006-12-09,Saturday,שבת,5
12,12,68,Maccabi Herzlya,1:2,FC Ashdod,2006/07,2006,09/12/06,12:00 AM,2006-12-09,Saturday,שבת,5
12,12,69,Hakoah Amidar,0:0,M. Petah Tikva,2006/07,2006,09/12/06,12:00 AM,2006-12-09,Saturday,שבת,5
12,12,70,H. Petah Tikva,0:0,H. Kfar Saba,2006/07,2006,09/12/06,12:00 AM,2006-12-09,Saturday,שבת,5
12,12,71,Maccabi Haifa,1:0,Maccabi Netanya,2006/07,2006,09/12/06,12:00 AM,2006-12-09,Saturday,שבת,5
12,12,72,B. Jerusalem,0:0,M. Tel Aviv,2006/07,2006,10/12/06,12:00 AM,2006-12-10,Sunday,יום ראשון,6
13,13,73,H. Kfar Saba,1:1,M. Tel Aviv,2006/07,2006,16/12/06,12:00 AM,2006-12-16,Saturday,שבת,5
13,13,74,Bnei Yehuda,0:0,Hakoah Amidar,2006/07,2006,16/12/06,12:00 AM,2006-12-16,Saturday,שבת,5
