round,home,score,away,season,season_year
1,M. Tel Aviv,3:2,Bnei Sakhnin,2015/16,2015
2,Hapoel Raanana,2:2,H. Kfar Saba,2015/16,2015
3,M. Petah Tikva,1:0,Maccabi Netanya,2015/16,2015
4,Hapoel Acre,0:1,Hapoel Haifa,2015/16,2015
5,Maccabi Haifa,0:3,Bnei Yehuda,2015/16,2015
6,Kiryat Shmona,1:3,H. Beer Sheva,2015/16,2015
7,B. Jerusalem,0:0,Hapoel Tel Aviv,2015/16,2015
8,H. Kfar Saba,1:0,Maccabi Haifa,2015/16,2015
9,Hapoel Haifa,0:3,M. Petah Tikva,2015/16,2015
10,Bnei Sakhnin,2:3,Hapoel Raanana,2015/16,2015
11,Hapoel Tel Aviv,0:3,Kiryat Shmona,2015/16,2015
12,Maccabi Netanya,0:0,B. Jerusalem,2015/16,2015
13,H. Beer Sheva,0:1,M. Tel Aviv,2015/16,2015
14,Bnei Yehuda,0:2,Hapoel Acre,2015/16,2015
15,Hapoel Tel Aviv,1:1,Maccabi Netanya,2015/16,2015
16,M. Petah Tikva,3:1,Bnei Yehuda,2015/16,2015
17,Maccabi Haifa,0:0,Bnei Sakhnin,2015/16,2015
18,Hapoel Raanana,2:3,H. Beer Sheva,2015/16,2015
19,Hapoel Acre,1:0,H. Kfar Saba,2015/16,2015
20,B. Jerusalem,1:1,Hapoel Haifa,2015/16,2015
21,Kiryat Shmona,1:1,M. Tel Aviv,2015/16,2015
22,Hapoel Haifa,0:1,Hapoel Tel Aviv,2015/16,2015
23,H. Kfar Saba,0:1,M. Petah Tikva,2015/16,2015
24,Bnei Sakhnin,2:0,Hapoel Acre,2015/16,2015
25,Maccabi Netanya,1:1,Kiryat Shmona,2015/16,2015
26,Bnei Yehuda,2:1,B. Jerusalem,2015/16,2015
27,M. Tel Aviv,1:2,Hapoel Raanana,2015/16,2015
28,H. Beer Sheva,0:0,Maccabi Haifa,2015/16,2015
29,Kiryat Shmona,0:0,Hapoel Raanana,2015/16,2015
30,Hapoel Acre,1:0,H. Beer Sheva,2015/16,2015
31,M. Petah Tikva,0:1,Bnei Sakhnin,2015/16,2015
32,Maccabi Netanya,1:2,Hapoel Haifa,2015/16,2015
33,Maccabi Haifa,0:2,M. Tel Aviv,2015/16,2015
34,Hapoel Tel Aviv,3:1,Bnei Yehuda,2015/16,2015
35,B. Jerusalem,3:1,H. Kfar Saba,2015/16,2015
36,Bnei Yehuda,1:2,Maccabi Netanya,2015/16,2015
37,H. Kfar Saba,1:1,Hapoel Tel Aviv,2015/16,2015
38,Hapoel Raanana,0:2,Maccabi Haifa,2015/16,2015
39,Hapoel Haifa,1:4,Kiryat Shmona,2015/16,2015
40,M. Tel Aviv,5:0,Hapoel Acre,2015/16,2015
41,H. Beer Sheva,5:2,M. Petah Tikva,2015/16,2015
42,Bnei Sakhnin,1:3,B. Jerusalem,2015/16,2015
43,Hapoel Tel Aviv,0:4,Bnei Sakhnin,2015/16,2015
