round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,M. Bnei Reineh,4:3,Maccabi Netanya,2024/25,2024,24/08/24,6:00 PM,2024-08-24,Saturday,שבת,5
1,1,2,Bnei Sakhnin,2:0,M. Petah Tikva,2024/25,2024,24/08/24,6:00 PM,2024-08-24,Saturday,שבת,5
1,1,3,Hapoel Hadera,0:0,Hapoel Haifa,2024/25,2024,24/08/24,7:00 PM,2024-08-24,Saturday,שבת,5
1,1,4,Maccabi Haifa,4:0,Ironi Tiberias,2024/25,2024,24/08/24,8:00 PM,2024-08-24,Saturday,שבת,5
1,1,5,B. Jerusalem,3:2,FC Ashdod,2024/25,2024,25/08/24,7:15 PM,2024-08-25,Sunday,יום ראשון,6
1,1,6,Kiryat Shmona,0:1,H. Beer Sheva,2024/25,2024,26/08/24,7:00 PM,2024-08-26,Monday,יום שני,0
1,1,7,M. Tel Aviv,2:1,H. Jerusalem,2024/25,2024,18/09/24,4:30 PM,2024-09-18,Wednesday,יום רביעי,2
2,2,8,Hapoel Haifa,1:3,M. Bnei Reineh,2024/25,2024,31/08/24,6:00 PM,2024-08-31,Saturday,שבת,5
2,2,9,FC Ashdod,2:1,Kiryat Shmona,2024/25,2024,31/08/24,6:00 PM,2024-08-31,Saturday,שבת,5
2,2,10,H. Jerusalem,1:1,Hapoel Hadera,2024/25,2024,31/08/24,7:00 PM,2024-08-31,Saturday,שבת,5
2,2,11,Ironi Tiberias,1:0,B. Jerusalem,2024/25,2024,31/08/24,7:00 PM,2024-08-31,Saturday,שבת,5
2,2,12,Maccabi Netanya,0:2,Maccabi Haifa,2024/25,2024,31/08/24,7:30 PM,2024-08-31,Saturday,שבת,5
2,2,13,H. Beer Sheva,0:0,Bnei Sakhnin,2024/25,2024,01/09/24,7:00 PM,2024-09-01,Sunday,יום ראשון,6
2,2,14,M. Petah Tikva,0:3,M. Tel Aviv,2024/25,2024,01/09/24,7:15 PM,2024-09-01,Sunday,יום ראשון,6
3,3,15,Bnei Sakhnin,2:2,FC Ashdod,2024/25,2024,14/09/24,6:30 PM,2024-09-14,Saturday,שבת,5
3,3,16,Hapoel Haifa,4:0,H. Jerusalem,2024/25,2024,14/09/24,6:30 PM,2024-09-14,Saturday,שבת,5
3,3,17,M. Bnei Reineh,2:2,Maccabi Haifa,2024/25,2024,14/09/24,7:00 PM,2024-09-14,Saturday,שבת,5
3,3,18,Kiryat Shmona,2:0,Ironi Tiberias,2024/25,2024,14/09/24,7:00 PM,2024-09-14,Saturday,שבת,5
3,3,19,M. Tel Aviv,1:0,H. Beer Sheva,2024/25,2024,14/09/24,7:30 PM,2024-09-14,Saturday,שבת,5
3,3,20,B. Jerusalem,2:0,Maccabi Netanya,2024/25,2024,15/09/24,7:15 PM,2024-09-15,Sunday,יום ראשון,6
3,3,21,Hapoel Hadera,0:1,M. Petah Tikva,2024/25,2024,16/09/24,7:00 PM,2024-09-16,Monday,יום שני,0
4,4,22,H. Jerusalem,0:1,M. Bnei Reineh,2024/25,2024,21/09/24,6:30 PM,2024-09-21,Saturday,שבת,5
4,4,23,Ironi Tiberias,1:0,Bnei Sakhnin,2024/25,2024,21/09/24,6:30 PM,2024-09-21,Saturday,שבת,5
4,4,24,M. Petah Tikva,0:0,Hapoel Haifa,2024/25,2024,21/09/24,7:00 PM,2024-09-21,Saturday,שבת,5
4,4,25,Maccabi Netanya,2:0,Kiryat Shmona,2024/25,2024,21/09/24,7:00 PM,2024-09-21,Saturday,שבת,5
4,4,26,H. Beer Sheva,2:1,Hapoel Hadera,2024/25,2024,21/09/24,7:30 PM,2024-09-21,Saturday,שבת,5
4,4,27,FC Ashdod,0:2,M. Tel Aviv,2024/25,2024,22/09/24,7:15 PM,2024-09-22,Sunday,יום ראשון,6
4,4,28,B. Jerusalem,3:2,Maccabi Haifa,2024/25,2024,22/10/24,6:30 PM,2024-10-22,Tuesday,יום שלישי,1
5,5,29,Kiryat Shmona,0:4,Maccabi Haifa,2024/25,2024,28/09/24,6:15 PM,2024-09-28,Saturday,שבת,5
5,5,30,M. Bnei Reineh,0:2,B. Jerusalem,2024/25,2024,28/09/24,7:00 PM,2024-09-28,Saturday,שבת,5
5,5,31,H. Jerusalem,4:1,M. Petah Tikva,2024/25,2024,28/09/24,7:00 PM,2024-09-28,Saturday,שבת,5
5,5,32,H. Beer Sheva,3:0,Hapoel Haifa,2024/25,2024,29/09/24,7:00 PM,2024-09-29,Sunday,יום ראשון,6
5,5,33,M. Tel Aviv,1:1,Ironi Tiberias,2024/25,2024,29/09/24,7:30 PM,2024-09-29,Sunday,יום ראשון,6
5,5,34,Bnei Sakhnin,1:0,Maccabi Netanya,2024/25,2024,30/09/24,7:00 PM,2024-09-30,Monday,יום שני,0
5,5,35,Hapoel Hadera,0:3,FC Ashdod,2024/25,2024,30/09/24,7:00 PM,2024-09-30,Monday,יום שני,0
6,6,36,FC Ashdod,0:1,Hapoel Haifa,2024/25,2024,05/10/24,6:00 PM,2024-10-05,Saturday,שבת,5
6,6,37,Maccabi Haifa,3:0,Bnei Sakhnin,2024/25,2024,05/10/24,6:30 PM,2024-10-05,Saturday,שבת,5
