round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
1,1,1,H. Beer Sheva,0:0,Bnei Sakhnin,2012/13,2012,25/08/12,5:50 PM,2012-08-25,Saturday,שבת,5
1,1,2,Hapoel Haifa,0:0,Maccabi Netanya,2012/13,2012,25/08/12,6:00 PM,2012-08-25,Saturday,שבת,5
1,1,3,FC Ashdod,2:0,Ramat haSharon,2012/13,2012,25/08/12,6:00 PM,2012-08-25,Saturday,שבת,5
1,1,4,Hapoel Acre,1:1,Bnei Yehuda,2012/13,2012,25/08/12,6:00 PM,2012-08-25,Saturday,שבת,5
1,1,5,Kiryat Shmona,3:2,B. Jerusalem,2012/13,2012,25/08/12,8:00 PM,2012-08-25,Saturday,שבת,5
1,1,6,H. Ramat Gan,0:1,Hapoel Tel Aviv,2012/13,2012,26/08/12,8:10 PM,2012-08-26,Sunday,יום ראשון,6
1,1,7,M. Tel Aviv,2:1,Maccabi Haifa,2012/13,2012,27/08/12,8:50 PM,2012-08-27,Monday,יום שני,0
2,2,8,Maccabi Haifa,1:3,Kiryat Shmona,2012/13,2012,01/09/12,5:50 PM,2012-09-01,Saturday,שבת,5
2,2,9,Bnei Sakhnin,1:3,FC Ashdod,2012/13,2012,01/09/12,6:00 PM,2012-09-01,Saturday,שבת,5
2,2,10,Ramat haSharon,3:1,Hapoel Acre,2012/13,2012,01/09/12,6:00 PM,2012-09-01,Saturday,שבת,5
2,2,11,Bnei Yehuda,1:0,H. Ramat Gan,2012/13,2012,01/09/12,6:00 PM,2012-09-01,Saturday,שבת,5
2,2,12,B. Jerusalem,1:1,H. Beer Sheva,2012/13,2012,01/09/12,8:00 PM,2012-09-01,Saturday,שבת,5
2,2,13,Hapoel Tel Aviv,2:0,Hapoel Haifa,2012/13,2012,02/09/12,8:10 PM,2012-09-02,Sunday,יום ראשון,6
2,2,14,Maccabi Netanya,0:1,M. Tel Aviv,2012/13,2012,03/09/12,8:50 PM,2012-09-03,Monday,יום שני,0
3,3,15,FC Ashdod,2:1,B. Jerusalem,2012/13,2012,13/09/12,8:00 PM,2012-09-13,Thursday,יום חמישי,3
3,3,16,Hapoel Haifa,1:3,M. Tel Aviv,2012/13,2012,15/09/12,4:50 PM,2012-09-15,Saturday,שבת,5
3,3,17,Kiryat Shmona,0:1,Maccabi Netanya,2012/13,2012,15/09/12,6:00 PM,2012-09-15,Saturday,שבת,5
3,3,18,Hapoel Acre,5:1,Bnei Sakhnin,2012/13,2012,15/09/12,6:00 PM,2012-09-15,Saturday,שבת,5
3,3,19,H. Ramat Gan,1:1,Ramat haSharon,2012/13,2012,15/09/12,6:00 PM,2012-09-15,Saturday,שבת,5
3,3,20,Hapoel Tel Aviv,2:0,Bnei Yehuda,2012/13,2012,15/09/12,7:00 PM,2012-09-15,Saturday,שבת,5
3,3,21,H. Beer Sheva,1:1,Maccabi Haifa,2012/13,2012,15/09/12,8:45 PM,2012-09-15,Saturday,שבת,5
4,4,22,Maccabi Netanya,2:1,H. Beer Sheva,2012/13,2012,22/09/12,6:00 PM,2012-09-22,Saturday,שבת,5
4,4,23,Bnei Yehuda,3:1,Hapoel Haifa,2012/13,2012,22/09/12,6:00 PM,2012-09-22,Saturday,שבת,5
4,4,24,Bnei Sakhnin,1:3,H. Ramat Gan,2012/13,2012,22/09/12,6:00 PM,2012-09-22,Saturday,שבת,5
4,4,25,Maccabi Haifa,0:1,FC Ashdod,2012/13,2012,22/09/12,6:40 PM,2012-09-22,Saturday,שבת,5
4,4,26,B. Jerusalem,0:1,Hapoel Acre,2012/13,2012,22/09/12,8:00 PM,2012-09-22,Saturday,שבת,5
4,4,27,Ramat haSharon,1:0,Hapoel Tel Aviv,2012/13,2012,23/09/12,8:00 PM,2012-09-23,Sunday,יום ראשון,6
4,4,28,M. Tel Aviv,4:0,Kiryat Shmona,2012/13,2012,24/09/12,8:50 PM,2012-09-24,Monday,יום שני,0
5,5,29,Hapoel Tel Aviv,1:0,Bnei Sakhnin,2012/13,2012,29/09/12,4:00 PM,2012-09-29,Saturday,שבת,5
5,5,30,Hapoel Haifa,1:1,Kiryat Shmona,2012/13,2012,29/09/12,6:00 PM,2012-09-29,Saturday,שבת,5
5,5,31,FC Ashdod,3:0,Maccabi Netanya,2012/13,2012,29/09/12,6:00 PM,2012-09-29,Saturday,שבת,5
5,5,32,Hapoel Acre,0:0,Maccabi Haifa,2012/13,2012,29/09/12,6:10 PM,2012-09-29,Saturday,שבת,5
5,5,33,Bnei Yehuda,2:2,Ramat haSharon,2012/13,2012,29/09/12,8:00 PM,2012-09-29,Saturday,שבת,5
5,5,34,H. Ramat Gan,2:2,B. Jerusalem,2012/13,2012,29/09/12,8:10 PM,2012-09-29,Saturday,שבת,5
5,5,35,H. Beer Sheva,3:1,M. Tel Aviv,2012/13,2012,01/10/12,8:50 PM,2012-10-01,Monday,יום שני,0
6,6,36,Maccabi Haifa,2:0,H. Ramat Gan,2012/13,2012,06/10/12,5:40 PM,2012-10-06,Saturday,שבת,5
6,6,37,Maccabi Netanya,1:3,Hapoel Acre,2012/13,2012,06/10/12,6:00 PM,2012-10-06,Saturday,שבת,5
6,6,38,Bnei Sakhnin,2:2,Bnei Yehuda,2012/13,2012,06/10/12,6:00 PM,2012-10-06,Saturday,שבת,5
6,6,39,Ramat haSharon,2:0,Hapoel Haifa,2012/13,2012,06/10/12,6:00 PM,2012-10-06,Saturday,שבת,5
6,6,40,M. Tel Aviv,2:1,FC Ashdod,2012/13,2012,06/10/12,8:00 PM,2012-10-06,Saturday,שבת,5
6,6,41,Kiryat Shmona,1:1,H. Beer Sheva,2012/13,2012,29/10/12,6:00 PM,2012-10-29,Monday,יום שני,0
6,6,42,B. Jerusalem,3:2,Hapoel Tel Aviv,2012/13,2012,29/10/12,7:50 PM,2012-10-29,Monday,יום שני,0
7,7,43,Hapoel Haifa,0:0,H. Beer Sheva,2012/13,2012,20/10/12,6:00 PM,2012-10-20,Saturday,שבת,5
7,7,44,FC Ashdod,2:0,Kiryat Shmona,2012/13,2012,20/10/12,6:00 PM,2012-10-20,Saturday,שבת,5
7,7,45,Ramat haSharon,1:3,Bnei Sakhnin,2012/13,2012,20/10/12,6:00 PM,2012-10-20,Saturday,שבת,5
7,7,46,H. Ramat Gan,1:1,Maccabi Netanya,2012/13,2012,20/10/12,6:00 PM,2012-10-20,Saturday,שבת,5
7,7,47,Hapoel Acre,0:2,M. Tel Aviv,2012/13,2012,20/10/12,8:05 PM,2012-10-20,Saturday,שבת,5
7,7,48,Bnei Yehuda,1:2,B. Jerusalem,2012/13,2012,21/10/12,8:00 PM,2012-10-21,Sunday,יום ראשון,6
7,7,49,Hapoel Tel Aviv,3:0,Maccabi Haifa,2012/13,2012,22/10/12,8:50 PM,2012-10-22,Monday,יום שני,0
8,8,50,M. Tel Aviv,3:1,H. Ramat Gan,2012/13,2012,03/11/12,4:15 PM,2012-11-03,Saturday,שבת,5
8,8,51,H. Beer Sheva,0:0,FC Ashdod,2012/13,2012,03/11/12,5:00 PM,2012-11-03,Saturday,שבת,5
8,8,52,Kiryat Shmona,1:0,Hapoel Acre,2012/13,2012,03/11/12,5:00 PM,2012-11-03,Saturday,שבת,5
8,8,53,Bnei Sakhnin,2:0,Hapoel Haifa,2012/13,2012,03/11/12,5:00 PM,2012-11-03,Saturday,שבת,5
8,8,54,B. Jerusalem,1:0,Ramat haSharon,2012/13,2012,03/11/12,6:30 PM,2012-11-03,Saturday,שבת,5
8,8,55,Maccabi Netanya,2:1,Hapoel Tel Aviv,2012/13,2012,04/11/12,7:50 PM,2012-11-04,Sunday,יום ראשון,6
8,8,56,Maccabi Haifa,1:1,Bnei Yehuda,2012/13,2012,05/11/12,6:30 PM,2012-11-05,Monday,יום שני,0
9,9,57,Bnei Yehuda,3:0,Maccabi Netanya,2012/13,2012,10/11/12,2:50 PM,2012-11-10,Saturday,שבת,5
9,9,58,Hapoel Haifa,2:1,FC Ashdod,2012/13,2012,10/11/12,5:00 PM,2012-11-10,Saturday,שבת,5
9,9,59,Hapoel Acre,2:2,H. Beer Sheva,2012/13,2012,10/11/12,5:00 PM,2012-11-10,Saturday,שבת,5
9,9,60,Ramat haSharon,1:1,Maccabi Haifa,2012/13,2012,10/11/12,5:00 PM,2012-11-10,Saturday,שבת,5
9,9,61,Bnei Sakhnin,1:1,B. Jerusalem,2012/13,2012,10/11/12,7:10 PM,2012-11-10,Saturday,שבת,5
9,9,62,H. Ramat Gan,1:1,Kiryat Shmona,2012/13,2012,11/11/12,6:00 PM,2012-11-11,Sunday,יום ראשון,6
9,9,63,Hapoel Tel Aviv,1:0,M. Tel Aviv,2012/13,2012,11/11/12,7:50 PM,2012-11-11,Sunday,יום ראשון,6
10,10,64,M. Tel Aviv,0:1,Bnei Yehuda,2012/13,2012,17/11/12,4:15 PM,2012-11-17,Saturday,שבת,5
10,10,65,Maccabi Netanya,1:2,Ramat haSharon,2012/13,2012,17/11/12,5:00 PM,2012-11-17,Saturday,שבת,5
10,10,66,Kiryat Shmona,0:1,Hapoel Tel Aviv,2012/13,2012,17/11/12,6:30 PM,2012-11-17,Saturday,שבת,5
10,10,67,B. Jerusalem,3:0,Hapoel Haifa,2012/13,2012,18/11/12,7:10 PM,2012-11-18,Sunday,יום ראשון,6
10,10,68,Maccabi Haifa,0:0,Bnei Sakhnin,2012/13,2012,19/11/12,7:50 PM,2012-11-19,Monday,יום שני,0
10,10,69,H. Beer Sheva,3:2,H. Ramat Gan,2012/13,2012,04/12/12,6:15 PM,2012-12-04,Tuesday,יום שלישי,1
10,10,70,FC Ashdod,2:0,Hapoel Acre,2012/13,2012,12/12/12,6:00 PM,2012-12-12,Wednesday,יום רביעי,2
