season,season_year,rank,player,player_url,position,nationality,age,club,club_url,matches,assists,goals
2008/09,2008,1,Hélio Varela,https://www.transfermarkt.com/helio-varela/profil/spieler/840836,Left Winger,,250,,,,250,
2008/09,2008,2,Cristian Martínez,https://www.transfermarkt.com/cristian-martinez/profil/spieler/419247,Defensive Midfield,,800,,,,800,
2008/09,2008,3,Kenji Gorré,https://www.transfermarkt.com/kenji-gorre/profil/spieler/374889,Left Winger,,600,,,,600,
2008/09,2008,4,Abdoulaye Seck,https://www.transfermarkt.com/abdoulaye-seck/profil/spieler/265383,Centre-Back,,400,,,,400,
2008/09,2008,5,Ilay Ben Simon,https://www.transfermarkt.com/ilay-ben-simon/profil/spieler/1261451,Attacking Midfield,,250,,,,250,
