season,season_year,rank,player,player_url,position,nationality,age,club,club_url,matches,assists,goals
2012/13,2012,1,Maharan Radi,https://www.transfermarkt.com/maharan-radi/profil/spieler/112680,Central Midfield,Israel,30,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2012,26,10,
2012/13,2012,2,Hanan Maman,https://www.transfermarkt.com/hanan-maman/profil/spieler/129930,Attacking Midfield,Israel,23,Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017/saison_id/2012,24,7,
2012/13,2012,3,Oz Raly,https://www.transfermarkt.com/oz-raly/profil/spieler/112681,Right-Back,Israel,25,Bnei Yehuda Tel Aviv,https://www.transfermarkt.com/bnei-yehuda-tel-aviv/startseite/verein/9095/saison_id/2012,22,6,
2012/13,2012,4,Tamir Kahlon,https://www.transfermarkt.com/tamir-kahlon/profil/spieler/112670,Left Winger,Israel,25,Hapoel Acre,https://www.transfermarkt.com/hapoel-akko/startseite/verein/6025/saison_id/2012,23,6,
2012/13,2012,5,Darko Tasevski,https://www.transfermarkt.com/darko-tasevski/profil/spieler/26984,Attacking Midfield,North Macedonia; Bulgaria,28,Ironi Kiryat Shmona,https://www.transfermarkt.com/ironi-kiryat-shmona/startseite/verein/6028/saison_id/2012,25,6,
2012/13,2012,6,Eran Levi,https://www.transfermarkt.com/eran-levi/profil/spieler/129945,Attacking Midfield,Israel,27,Beitar Jerusalem,https://www.transfermarkt.com/beitar-jerusalem/startseite/verein/3793/saison_id/2012,25,6,
2012/13,2012,7,Hen Ezra,https://www.transfermarkt.com/hen-ezra/profil/spieler/129364,Left Winger,Israel,24,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2012,26,6,
2012/13,2012,8,Yero Bello,https://www.transfermarkt.com/yero-bello/profil/spieler/121417,Centre-Forward,Nigeria,25,Ihud Bnei Sakhnin,https://www.transfermarkt.com/ihud-bnei-sachnin/startseite/verein/4769/saison_id/2012,18,5,
2012/13,2012,9,Gonzalo García,https://www.transfermarkt.com/gonzalo-garcia/profil/spieler/33108,Second Striker,Spain; Uruguay,29,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2012,19,5,
2012/13,2012,10,Hen Azriel,https://www.transfermarkt.com/hen-azriel/profil/spieler/55820,Centre-Forward,Israel,24,Beitar Jerusalem,https://www.transfermarkt.com/beitar-jerusalem/startseite/verein/3793/saison_id/2012,22,5,
2012/13,2012,11,Israel Zaguri,https://www.transfermarkt.com/israel-zaguri/profil/spieler/111996,Right Winger,Israel,23,Hapoel Ramat Gan,https://www.transfermarkt.com/hapoel-ramat-gan/startseite/verein/2785/saison_id/2012,24,5,
2012/13,2012,12,Yaniv Katan,https://www.transfermarkt.com/yaniv-katan/profil/spieler/24475,Attacking Midfield,Israel,32,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064/saison_id/2012,25,5,
2012/13,2012,13,Rade Prica,https://www.transfermarkt.com/rade-prica/profil/spieler/1610,Centre-Forward,Sweden; Croatia,32,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2012,9,4,
2012/13,2012,14,Roberto Colautti,https://www.transfermarkt.com/roberto-colautti/profil/spieler/24463,Centre-Forward,Israel; Argentina,30,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119/saison_id/2012,14,4,
