season,date,round,stage,home_team,away_team,home_goals,away_goals,venue,referee,fixture_id,league_id,league_name
2022/23,2023-02-04,Regular Season - 21,Ligat Ha'al,Hapoel Katamon,Maccabi Netanya,0,2,Teddi Malcha Stadium,R. Reinshreiber,865980,383,Ligat Ha'al
2022/23,2023-02-04,Regular Season - 21,Ligat Ha'al,Ironi Kiryat Shmona,Beitar Jerusalem,0,3,Kiryat-Shmona Municipal Stadium,N. Odeh,865976,383,Ligat Ha'al
2022/23,2023-02-05,Regular Season - 21,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Tel Aviv,1,1,Netanya Stadium,S. Ben Avraham,865978,383,Ligat Ha'al
2022/23,2023-02-08,Regular Season - 18,Ligat Ha'al,Bnei Sakhnin,Hapoel Beer Sheva,0,1,Doha Stadium,A. Shiloach,865955,383,Ligat Ha'al
2022/23,2023-02-08,Regular Season - 21,Ligat Ha'al,Hapoel Hadera,Maccabi Haifa,1,1,Netanya Stadium,G. Laibuvitz,865977,383,Ligat Ha'al
2022/23,2023-02-11,Regular Season - 22,Ligat Ha'al,Beitar Jerusalem,Ashdod,2,1,Teddi Malcha Stadium,I. Layba,865988,383,Ligat Ha'al
2022/23,2023-02-11,Regular Season - 22,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Katamon,0,0,Yaakov Turner Toto Stadium,O. Grinfeeld,865983,383,Ligat Ha'al
2022/23,2023-02-11,Regular Season - 22,Ligat Ha'al,Bnei Sakhnin,Maccabi Bnei Raina,1,1,Doha Stadium,O. Asulin,865985,383,Ligat Ha'al
2022/23,2023-02-11,Regular Season - 22,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Haifa,0,2,HaMoshava Stadium,D. Tzino,865982,383,Ligat Ha'al
2022/23,2023-02-11,Regular Season - 22,Ligat Ha'al,Maccabi Haifa,Ironi Kiryat Shmona,2,0,Sammy Ofer Stadium,R. Reinshreiber,865987,383,Ligat Ha'al
2022/23,2023-02-12,Regular Season - 22,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Hadera,0,0,Bloomfield Stadium,E. Shmuelevich,865986,383,Ligat Ha'al
2022/23,2023-02-13,Regular Season - 22,Ligat Ha'al,Maccabi Netanya,Maccabi Tel Aviv,2,1,Netanya Stadium,N. Odeh,865984,383,Ligat Ha'al
2022/23,2023-02-18,Regular Season - 23,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Tel Aviv,0,1,Kiryat-Shmona Municipal Stadium,I. Layba,865991,383,Ligat Ha'al
2022/23,2023-02-18,Regular Season - 23,Ligat Ha'al,Maccabi Bnei Raina,Maccabi Netanya,1,2,Green Stadium,S. Levi,865993,383,Ligat Ha'al
2022/23,2023-02-18,Regular Season - 23,Ligat Ha'al,Hapoel Katamon,Sektzia Nes Tziona,1,0,Teddi Malcha Stadium,O. Asulin,865995,383,Ligat Ha'al
2022/23,2023-02-18,Regular Season - 23,Ligat Ha'al,Hapoel Hadera,Bnei Sakhnin,1,3,Netanya Stadium,Y. Mizrahi,865992,383,Ligat Ha'al
2022/23,2023-02-18,Regular Season - 23,Ligat Ha'al,Ashdod,Maccabi Haifa,3,1,Yud-Alef Stadium,I. Frid,865990,383,Ligat Ha'al
2022/23,2023-02-19,Regular Season - 23,Ligat Ha'al,Hapoel Haifa,Beitar Jerusalem,0,0,Sammy Ofer Stadium,O. Grinfeeld,865989,383,Ligat Ha'al
2022/23,2023-02-20,Regular Season - 23,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Beer Sheva,1,0,Bloomfield Stadium,R. Reinshreiber,865994,383,Ligat Ha'al
2022/23,2023-02-25,Regular Season - 24,Ligat Ha'al,Hapoel Tel Aviv,Ashdod,1,2,Bloomfield Stadium,O. Grinfeeld,866001,383,Ligat Ha'al
2022/23,2023-02-25,Regular Season - 24,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Tel Aviv,0,2,HaMoshava Stadium,D. Fuxman,865997,383,Ligat Ha'al
2022/23,2023-02-25,Regular Season - 24,Ligat Ha'al,Bnei Sakhnin,Ironi Kiryat Shmona,1,3,Doha Stadium,S. Levi,866000,383,Ligat Ha'al
2022/23,2023-02-25,Regular Season - 24,Ligat Ha'al,Maccabi Netanya,Hapoel Hadera,1,0,Netanya Stadium,A. Shiloach,865999,383,Ligat Ha'al
2022/23,2023-02-25,Regular Season - 24,Ligat Ha'al,Maccabi Haifa,Beitar Jerusalem,2,1,Sammy Ofer Stadium,G. Laibuvitz,866002,383,Ligat Ha'al
2022/23,2023-02-26,Regular Season - 24,Ligat Ha'al,Hapoel Katamon,Hapoel Haifa,2,2,Teddi Malcha Stadium,I. Frid,865996,383,Ligat Ha'al
2022/23,2023-02-27,Regular Season - 24,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Bnei Raina,2,0,Yaakov Turner Toto Stadium,I. Layba,865998,383,Ligat Ha'al
2022/23,2023-03-04,Regular Season - 25,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Netanya,2,2,Kiryat-Shmona Municipal Stadium,N. Odeh,866006,383,Ligat Ha'al
2022/23,2023-03-04,Regular Season - 25,Ligat Ha'al,Hapoel Hadera,Hapoel Beer Sheva,0,3,Netanya Stadium,D. Fuxman,866007,383,Ligat Ha'al
2022/23,2023-03-04,Regular Season - 25,Ligat Ha'al,Ashdod,Bnei Sakhnin,1,1,Yud-Alef Stadium,O. Asulin,866005,383,Ligat Ha'al
2022/23,2023-03-04,Regular Season - 25,Ligat Ha'al,Maccabi Bnei Raina,Sektzia Nes Tziona,3,2,Green Stadium,E. Shmuelevich,866008,383,Ligat Ha'al
2022/23,2023-03-04,Regular Season - 25,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Katamon,1,2,Bloomfield Stadium,I. Layba,866009,383,Ligat Ha'al
2022/23,2023-03-05,Regular Season - 25,Ligat Ha'al,Beitar Jerusalem,Hapoel Tel Aviv,1,3,Teddi Malcha Stadium,I. Frid,866004,383,Ligat Ha'al
2022/23,2023-03-06,Regular Season - 25,Ligat Ha'al,Maccabi Haifa,Hapoel Haifa,4,1,Sammy Ofer Stadium,S. Levi,866003,383,Ligat Ha'al
2022/23,2023-03-11,Regular Season - 26,Ligat Ha'al,Hapoel Haifa,Maccabi Tel Aviv,1,1,Sammy Ofer Stadium,A. Shiloach,866010,383,Ligat Ha'al
2022/23,2023-03-11,Regular Season - 26,Ligat Ha'al,Hapoel Katamon,Maccabi Bnei Raina,0,1,Teddi Malcha Stadium,O. Asulin,866011,383,Ligat Ha'al
