season,date,round,stage,home_team,away_team,home_goals,away_goals,venue,referee,fixture_id,league_id,league_name
2022/23,2022-09-03,Regular Season - 3,Ligat Ha'al,Hapoel Haifa,Bnei Sakhnin,1,2,Sammy Ofer Stadium,A. Shiloach,865849,383,Ligat Ha'al
2022/23,2022-09-03,Regular Season - 3,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Haifa,1,2,Yaakov Turner Toto Stadium,I. Frid,865851,383,Ligat Ha'al
2022/23,2022-09-04,Regular Season - 3,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Hadera,1,2,Green Stadium,G. Levi,865855,383,Ligat Ha'al
2022/23,2022-09-04,Regular Season - 3,Ligat Ha'al,Sektzia Nes Tziona,Beitar Jerusalem,0,3,HaMoshava Stadium,I. Layba,865852,383,Ligat Ha'al
2022/23,2022-09-05,Regular Season - 3,Ligat Ha'al,Maccabi Netanya,Hapoel Tel Aviv,0,2,Netanya Stadium,E. Shmuelevich,865850,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Maccabi Haifa,Sektzia Nes Tziona,3,1,Sammy Ofer Stadium,E. Papir,865860,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Bnei Sakhnin,Maccabi Netanya,0,0,Doha Stadium,S. Ben Avraham,865862,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Hapoel Hadera,Hapoel Haifa,1,1,Netanya Stadium,O. Na'al,865856,383,Ligat Ha'al
2022/23,2022-09-10,Regular Season - 4,Ligat Ha'al,Ashdod,Maccabi Tel Aviv,0,0,Yud-Alef Stadium,O. Grinfeeld,865858,383,Ligat Ha'al
2022/23,2022-09-11,Regular Season - 4,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Bnei Raina,1,1,Kiryat-Shmona Municipal Stadium,O. Asulin,865857,383,Ligat Ha'al
2022/23,2022-09-11,Regular Season - 4,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Beer Sheva,2,3,Bloomfield Stadium,G. Laibuvitz,865861,383,Ligat Ha'al
2022/23,2022-09-12,Regular Season - 4,Ligat Ha'al,Beitar Jerusalem,Hapoel Katamon,0,1,Teddi Malcha Stadium,E. Shmuelevich,865859,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Tel Aviv,4,3,HaMoshava Stadium,S. Levi,865865,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Maccabi Bnei Raina,Ashdod,1,1,Green Stadium,Y. Mizrahi,865868,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Hapoel Haifa,Maccabi Netanya,0,0,Sammy Ofer Stadium,I. Frid,865863,383,Ligat Ha'al
2022/23,2022-09-17,Regular Season - 5,Ligat Ha'al,Maccabi Tel Aviv,Beitar Jerusalem,4,0,Bloomfield Stadium,R. Reinshreiber,865867,383,Ligat Ha'al
2022/23,2022-09-18,Regular Season - 5,Ligat Ha'al,Hapoel Hadera,Ironi Kiryat Shmona,1,1,Netanya Stadium,N. Steif,865869,383,Ligat Ha'al
2022/23,2022-09-18,Regular Season - 5,Ligat Ha'al,Hapoel Beer Sheva,Bnei Sakhnin,1,0,Yaakov Turner Toto Stadium,I. Layba,865864,383,Ligat Ha'al
2022/23,2022-09-18,Regular Season - 5,Ligat Ha'al,Hapoel Katamon,Maccabi Haifa,3,0,Teddi Malcha Stadium,A. Shiloach,865866,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Haifa,1,1,Kiryat-Shmona Municipal Stadium,D. Fuxman,865870,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Ashdod,Hapoel Hadera,1,1,Yud-Alef Stadium,G. Laibuvitz,865871,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Maccabi Netanya,Hapoel Beer Sheva,1,2,Netanya Stadium,R. Reinshreiber,865876,383,Ligat Ha'al
2022/23,2022-10-01,Regular Season - 6,Ligat Ha'al,Maccabi Haifa,Maccabi Tel Aviv,2,0,Sammy Ofer Stadium,E. Shmuelevich,865873,383,Ligat Ha'al
2022/23,2022-10-02,Regular Season - 6,Ligat Ha'al,Bnei Sakhnin,Sektzia Nes Tziona,2,0,Doha Stadium,G. Levi,865875,383,Ligat Ha'al
2022/23,2022-10-02,Regular Season - 6,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Katamon,1,3,Bloomfield Stadium,N. Steif,865874,383,Ligat Ha'al
2022/23,2022-10-03,Regular Season - 6,Ligat Ha'al,Beitar Jerusalem,Maccabi Bnei Raina,2,3,Bloomfield Stadium,E. Papir,865872,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Netanya,1,1,HaMoshava Stadium,O. Grinfeeld,865878,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Hapoel Katamon,Bnei Sakhnin,1,2,Teddi Malcha Stadium,S. Levi,865879,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Hapoel Hadera,Beitar Jerusalem,2,1,Netanya Stadium,I. Frid,865882,383,Ligat Ha'al
2022/23,2022-10-08,Regular Season - 7,Ligat Ha'al,Maccabi Bnei Raina,Maccabi Haifa,1,0,Green Stadium,I. Layba,865881,383,Ligat Ha'al
2022/23,2022-10-10,Regular Season - 7,Ligat Ha'al,Ironi Kiryat Shmona,Ashdod,1,1,Kiryat-Shmona Municipal Stadium,S. Ben Avraham,865883,383,Ligat Ha'al
2022/23,2022-10-10,Regular Season - 7,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Haifa,2,2,Yaakov Turner Toto Stadium,A. Shiloach,865968,383,Ligat Ha'al
2022/23,2022-10-10,Regular Season - 7,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Tel Aviv,3,0,Bloomfield Stadium,R. Reinshreiber,865880,383,Ligat Ha'al
2022/23,2022-10-15,Regular Season - 8,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Bnei Raina,2,0,Bloomfield Stadium,O. Grinfeeld,865887,383,Ligat Ha'al
2022/23,2022-10-15,Regular Season - 8,Ligat Ha'al,Ashdod,Hapoel Haifa,4,0,Yud-Alef Stadium,E. Shmuelevich,865884,383,Ligat Ha'al
2022/23,2022-10-15,Regular Season - 8,Ligat Ha'al,Beitar Jerusalem,Ironi Kiryat Shmona,2,0,Teddi Malcha Stadium,I. Layba,865885,383,Ligat Ha'al
2022/23,2022-10-15,Regular Season - 8,Ligat Ha'al,Bnei Sakhnin,Maccabi Tel Aviv,0,1,Doha Stadium,D. Fuxman,865888,383,Ligat Ha'al
2022/23,2022-10-17,Regular Season - 8,Ligat Ha'al,Maccabi Netanya,Hapoel Katamon,0,2,Netanya Stadium,O. Asulin,865889,383,Ligat Ha'al
2022/23,2022-10-17,Regular Season - 8,Ligat Ha'al,Hapoel Beer Sheva,Sektzia Nes Tziona,1,1,Yaakov Turner Toto Stadium,O. Na'al,865890,383,Ligat Ha'al
2022/23,2022-10-17,Regular Season - 8,Ligat Ha'al,Maccabi Haifa,Hapoel Hadera,1,0,Sammy Ofer Stadium,S. Levi,865886,383,Ligat Ha'al
2022/23,2022-10-22,Regular Season - 9,Ligat Ha'al,Hapoel Katamon,Hapoel Beer Sheva,1,4,Teddi Malcha Stadium,O. Grinfeeld,865892,383,Ligat Ha'al
2022/23,2022-10-22,Regular Season - 9,Ligat Ha'al,Hapoel Haifa,Sektzia Nes Tziona,0,1,Sammy Ofer Stadium,E. Papir,865891,383,Ligat Ha'al
2022/23,2022-10-22,Regular Season - 9,Ligat Ha'al,Ashdod,Beitar Jerusalem,0,2,Yud-Alef Stadium,A. Shiloach,865897,383,Ligat Ha'al
2022/23,2022-10-22,Regular Season - 9,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Haifa,2,3,Kiryat-Shmona Municipal Stadium,O. Na'al,865896,383,Ligat Ha'al
2022/23,2022-10-23,Regular Season - 9,Ligat Ha'al,Maccabi Bnei Raina,Bnei Sakhnin,2,0,Green Stadium,R. Reinshreiber,865894,383,Ligat Ha'al
2022/23,2022-10-23,Regular Season - 9,Ligat Ha'al,Hapoel Hadera,Hapoel Tel Aviv,0,0,Netanya Stadium,G. Levi,865895,383,Ligat Ha'al
2022/23,2022-10-24,Regular Season - 9,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Netanya,3,0,Bloomfield Stadium,G. Laibuvitz,865893,383,Ligat Ha'al
2022/23,2022-10-29,Regular Season - 10,Ligat Ha'al,Maccabi Haifa,Ashdod,3,1,Sammy Ofer Stadium,G. Laibuvitz,865899,383,Ligat Ha'al
2022/23,2022-10-29,Regular Season - 10,Ligat Ha'al,Bnei Sakhnin,Hapoel Hadera,1,4,Doha Stadium,Y. Mizrahi,865901,383,Ligat Ha'al
2022/23,2022-10-29,Regular Season - 10,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Katamon,0,2,HaMoshava Stadium,M. Rushrush,865904,383,Ligat Ha'al
2022/23,2022-10-29,Regular Season - 10,Ligat Ha'al,Maccabi Netanya,Maccabi Bnei Raina,2,1,Netanya Stadium,S. Ben Avraham,865902,383,Ligat Ha'al
2022/23,2022-10-29,Regular Season - 10,Ligat Ha'al,Beitar Jerusalem,Hapoel Haifa,0,0,Teddi Malcha Stadium,N. Steif,865898,383,Ligat Ha'al
2022/23,2022-10-30,Regular Season - 10,Ligat Ha'al,Hapoel Tel Aviv,Ironi Kiryat Shmona,2,1,Bloomfield Stadium,O. Asulin,865900,383,Ligat Ha'al
2022/23,2022-10-31,Regular Season - 10,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Tel Aviv,2,0,Yaakov Turner Toto Stadium,E. Shmuelevich,865903,383,Ligat Ha'al
2022/23,2022-11-05,Regular Season - 11,Ligat Ha'al,Maccabi Tel Aviv,Sektzia Nes Tziona,1,1,Bloomfield Stadium,S. Levi,865906,383,Ligat Ha'al
2022/23,2022-11-05,Regular Season - 11,Ligat Ha'al,Hapoel Hadera,Maccabi Netanya,3,1,Netanya Stadium,N. Odeh,865908,383,Ligat Ha'al
2022/23,2022-11-05,Regular Season - 11,Ligat Ha'al,Hapoel Haifa,Hapoel Katamon,1,0,Sammy Ofer Stadium,R. Reinshreiber,865905,383,Ligat Ha'al
2022/23,2022-11-05,Regular Season - 11,Ligat Ha'al,Ironi Kiryat Shmona,Bnei Sakhnin,1,1,Kiryat-Shmona Municipal Stadium,E. Papir,865909,383,Ligat Ha'al
2022/23,2022-11-05,Regular Season - 11,Ligat Ha'al,Ashdod,Hapoel Tel Aviv,1,0,Yud-Alef Stadium,D. Fuxman,865910,383,Ligat Ha'al
2022/23,2022-11-06,Regular Season - 11,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Beer Sheva,0,3,Green Stadium,G. Laibuvitz,865907,383,Ligat Ha'al
2022/23,2022-11-06,Regular Season - 11,Ligat Ha'al,Beitar Jerusalem,Maccabi Haifa,1,4,Teddi Malcha Stadium,O. Grinfeeld,865911,383,Ligat Ha'al
2022/23,2022-11-08,Regular Season - 12,Ligat Ha'al,Bnei Sakhnin,Ashdod,1,1,Doha Stadium,O. Asulin,865914,383,Ligat Ha'al
2022/23,2022-11-08,Regular Season - 12,Ligat Ha'al,Maccabi Netanya,Ironi Kiryat Shmona,1,0,Netanya Stadium,G. Levi,865915,383,Ligat Ha'al
2022/23,2022-11-08,Regular Season - 12,Ligat Ha'al,Hapoel Katamon,Maccabi Tel Aviv,0,3,Teddi Malcha Stadium,E. Papir,865918,383,Ligat Ha'al
2022/23,2022-11-09,Regular Season - 12,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Bnei Raina,3,3,HaMoshava Stadium,Y. Mizrahi,865917,383,Ligat Ha'al
2022/23,2022-11-09,Regular Season - 12,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Hadera,3,0,Yaakov Turner Toto Stadium,S. Ben Avraham,865916,383,Ligat Ha'al
2022/23,2022-11-09,Regular Season - 12,Ligat Ha'al,Hapoel Tel Aviv,Beitar Jerusalem,2,1,Bloomfield Stadium,E. Shmuelevich,865913,383,Ligat Ha'al
2022/23,2022-11-09,Regular Season - 12,Ligat Ha'al,Hapoel Haifa,Maccabi Haifa,0,1,Sammy Ofer Stadium,I. Layba,865912,383,Ligat Ha'al
2022/23,2022-11-12,Regular Season - 13,Ligat Ha'al,Ashdod,Maccabi Netanya,2,3,Yud-Alef Stadium,I. Frid,865923,383,Ligat Ha'al
2022/23,2022-11-12,Regular Season - 13,Ligat Ha'al,Hapoel Hadera,Sektzia Nes Tziona,0,0,Netanya Stadium,N. Steif,865921,383,Ligat Ha'al
2022/23,2022-11-12,Regular Season - 13,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Haifa,1,0,Bloomfield Stadium,N. Odeh,865919,383,Ligat Ha'al
2022/23,2022-11-13,Regular Season - 13,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Katamon,0,2,Green Stadium,D. Fuxman,865920,383,Ligat Ha'al
2022/23,2022-11-13,Regular Season - 13,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Beer Sheva,0,2,Kiryat-Shmona Municipal Stadium,R. Reinshreiber,865922,383,Ligat Ha'al
2022/23,2022-11-13,Regular Season - 13,Ligat Ha'al,Maccabi Haifa,Hapoel Tel Aviv,5,2,Sammy Ofer Stadium,S. Levi,865925,383,Ligat Ha'al
2022/23,2022-11-14,Regular Season - 13,Ligat Ha'al,Beitar Jerusalem,Bnei Sakhnin,2,1,Teddi Malcha Stadium,A. Shiloach,865924,383,Ligat Ha'al
2022/23,2022-12-17,Regular Season - 14,Ligat Ha'al,Hapoel Hadera,Hapoel Katamon,0,0,Netanya Stadium,S. Levi,865931,383,Ligat Ha'al
2022/23,2022-12-17,Regular Season - 14,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Haifa,3,3,Bloomfield Stadium,S. Ben Avraham,865926,383,Ligat Ha'al
2022/23,2022-12-17,Regular Season - 14,Ligat Ha'al,Beitar Jerusalem,Maccabi Netanya,6,3,Teddi Malcha Stadium,G. Laibuvitz,865928,383,Ligat Ha'al
2022/23,2022-12-17,Regular Season - 14,Ligat Ha'al,Ashdod,Hapoel Beer Sheva,0,1,Yud-Alef Stadium,O. Grinfeeld,865929,383,Ligat Ha'al
2022/23,2022-12-19,Regular Season - 14,Ligat Ha'al,Ironi Kiryat Shmona,Sektzia Nes Tziona,3,3,Kiryat-Shmona Municipal Stadium,E. Shmuelevich,865930,383,Ligat Ha'al
2022/23,2022-12-19,Regular Season - 14,Ligat Ha'al,Maccabi Bnei Raina,Maccabi Tel Aviv,0,2,Green Stadium,O. Asulin,865932,383,Ligat Ha'al
2022/23,2022-12-19,Regular Season - 14,Ligat Ha'al,Maccabi Haifa,Bnei Sakhnin,3,1,Sammy Ofer Stadium,N. Odeh,865927,383,Ligat Ha'al
2022/23,2022-12-24,Regular Season - 15,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Hadera,5,0,Bloomfield Stadium,D. Fuxman,865934,383,Ligat Ha'al
2022/23,2022-12-24,Regular Season - 15,Ligat Ha'al,Hapoel Katamon,Ironi Kiryat Shmona,1,1,Teddi Malcha Stadium,N. Steif,865935,383,Ligat Ha'al
2022/23,2022-12-24,Regular Season - 15,Ligat Ha'al,Hapoel Haifa,Maccabi Bnei Raina,0,0,Sammy Ofer Stadium,G. Levi,865933,383,Ligat Ha'al
2022/23,2022-12-24,Regular Season - 15,Ligat Ha'al,Sektzia Nes Tziona,Ashdod,2,0,Nes Tziona Stadium,M. Rushrush,865936,383,Ligat Ha'al
2022/23,2022-12-24,Regular Season - 15,Ligat Ha'al,Hapoel Beer Sheva,Beitar Jerusalem,3,2,Yaakov Turner Toto Stadium,E. Shmuelevich,865937,383,Ligat Ha'al
2022/23,2022-12-25,Regular Season - 15,Ligat Ha'al,Bnei Sakhnin,Hapoel Tel Aviv,1,1,Doha Stadium,R. Reinshreiber,865939,383,Ligat Ha'al
2022/23,2022-12-26,Regular Season - 15,Ligat Ha'al,Maccabi Netanya,Maccabi Haifa,0,2,Netanya Stadium,O. Grinfeeld,865938,383,Ligat Ha'al
2022/23,2022-12-31,Regular Season - 16,Ligat Ha'al,Beitar Jerusalem,Sektzia Nes Tziona,3,2,Teddi Malcha Stadium,O. Asulin,865943,383,Ligat Ha'al
2022/23,2022-12-31,Regular Season - 16,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Netanya,1,1,Bloomfield Stadium,A. Shiloach,865941,383,Ligat Ha'al
2022/23,2022-12-31,Regular Season - 16,Ligat Ha'al,Bnei Sakhnin,Hapoel Haifa,1,2,Doha Stadium,O. Grinfeeld,865940,383,Ligat Ha'al
