season,date,phase,round_num,stage,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points,one_sided,venue,referee
2022/23,2022-08-20,regular,1,Ligat Ha'al,Hapoel Haifa,Hapoel Tel Aviv,2,0,2,H,3,0,0,Sammy Ofer Stadium,O. Grinfeeld
2022/23,2022-08-20,regular,1,Ligat Ha'al,Hapoel Katamon,Hapoel Hadera,1,1,0,D,1,1,0,HaMoshava Stadium,A. Shiloach
2022/23,2022-08-20,regular,1,Ligat Ha'al,Maccabi Netanya,Beitar Jerusalem,4,1,3,H,3,0,1,Netanya Stadium,R. Reinshreiber
2022/23,2022-08-21,regular,1,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Bnei Raina,5,0,5,H,3,0,1,Bloomfield Stadium,I. Frid
2022/23,2022-08-22,regular,1,Ligat Ha'al,Sektzia Nes Tziona,Ironi Kiryat Shmona,0,2,-2,A,0,3,0,HaMoshava Stadium,Y. Mizrahi
2022/23,2022-08-27,regular,2,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Katamon,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,O. Na'al
2022/23,2022-08-27,regular,2,Ligat Ha'al,Hapoel Tel Aviv,Bnei Sakhnin,0,2,-2,A,0,3,0,Bloomfield Stadium,R. Reinshreiber
2022/23,2022-08-27,regular,2,Ligat Ha'al,Maccabi Haifa,Maccabi Netanya,4,1,3,H,3,0,1,Sammy Ofer Stadium,S. Levi
2022/23,2022-08-27,regular,2,Ligat Ha'al,Ashdod,Sektzia Nes Tziona,1,0,1,H,3,0,0,Yud-Alef Stadium,O. Asulin
2022/23,2022-08-28,regular,2,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Haifa,1,1,0,D,1,1,0,Green Stadium,S. Ben Avraham
2022/23,2022-08-28,regular,2,Ligat Ha'al,Beitar Jerusalem,Hapoel Beer Sheva,0,5,-5,A,0,3,1,HaMoshava Stadium,O. Grinfeeld
2022/23,2022-08-29,regular,2,Ligat Ha'al,Hapoel Hadera,Maccabi Tel Aviv,0,6,-6,A,0,3,1,Netanya Stadium,I. Layba
2022/23,2022-08-30,regular,1,Ligat Ha'al,Bnei Sakhnin,Maccabi Haifa,0,1,-1,A,0,3,0,Doha Stadium,G. Laibuvitz
2022/23,2022-08-31,regular,1,Ligat Ha'al,Hapoel Beer Sheva,Ashdod,1,2,-1,A,0,3,0,Yaakov Turner Toto Stadium,D. Fuxman
2022/23,2022-09-03,regular,3,Ligat Ha'al,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,1,2,H,3,0,0,Bloomfield Stadium,S. Levi
2022/23,2022-09-03,regular,3,Ligat Ha'al,Hapoel Katamon,Ashdod,3,0,3,H,3,0,1,HaMoshava Stadium,N. Steif
2022/23,2022-09-03,regular,3,Ligat Ha'al,Hapoel Haifa,Bnei Sakhnin,1,2,-1,A,0,3,0,Sammy Ofer Stadium,A. Shiloach
2022/23,2022-09-03,regular,3,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Haifa,1,2,-1,A,0,3,0,Yaakov Turner Toto Stadium,I. Frid
2022/23,2022-09-04,regular,3,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Hadera,1,2,-1,A,0,3,0,Green Stadium,G. Levi
2022/23,2022-09-04,regular,3,Ligat Ha'al,Sektzia Nes Tziona,Beitar Jerusalem,0,3,-3,A,0,3,1,HaMoshava Stadium,I. Layba
2022/23,2022-09-05,regular,3,Ligat Ha'al,Maccabi Netanya,Hapoel Tel Aviv,0,2,-2,A,0,3,0,Netanya Stadium,E. Shmuelevich
2022/23,2022-09-10,regular,4,Ligat Ha'al,Maccabi Haifa,Sektzia Nes Tziona,3,1,2,H,3,0,0,Sammy Ofer Stadium,E. Papir
2022/23,2022-09-10,regular,4,Ligat Ha'al,Bnei Sakhnin,Maccabi Netanya,0,0,0,D,1,1,0,Doha Stadium,S. Ben Avraham
2022/23,2022-09-10,regular,4,Ligat Ha'al,Hapoel Hadera,Hapoel Haifa,1,1,0,D,1,1,0,Netanya Stadium,O. Na'al
2022/23,2022-09-10,regular,4,Ligat Ha'al,Ashdod,Maccabi Tel Aviv,0,0,0,D,1,1,0,Yud-Alef Stadium,O. Grinfeeld
