season,stage,round,team,points,position,goal_diff
2016/17,regular,1,M. Tel Aviv,3,1,2
2016/17,regular,1,H. Ashkelon,3,2,1
2016/17,regular,1,H. Beer Sheva,3,3,1
2016/17,regular,1,Kiryat Shmona,3,4,1
2016/17,regular,1,Maccabi Haifa,3,4,1
2016/17,regular,1,B. Jerusalem,1,6,0
2016/17,regular,1,M. Petah Tikva,1,6,0
2016/17,regular,1,Bnei Sakhnin,1,8,0
2016/17,regular,1,Bnei Yehuda,1,8,0
2016/17,regular,1,Hapoel Haifa,0,10,-1
2016/17,regular,1,Hapoel Raanana,0,11,-1
2016/17,regular,1,FC Ashdod,0,12,-1
2016/17,regular,1,H. Kfar Saba,0,13,-2
2016/17,regular,1,Hapoel Tel Aviv,-9,14,-1
2016/17,regular,2,M. Tel Aviv,6,1,3
2016/17,regular,2,H. Ashkelon,4,2,1
2016/17,regular,2,Kiryat Shmona,4,3,1
2016/17,regular,2,M. Petah Tikva,4,3,1
2016/17,regular,2,Bnei Sakhnin,4,5,1
2016/17,regular,2,H. Beer Sheva,4,5,1
2016/17,regular,2,Hapoel Haifa,3,7,0
2016/17,regular,2,Maccabi Haifa,3,8,0
2016/17,regular,2,B. Jerusalem,2,9,0
2016/17,regular,2,Bnei Yehuda,1,10,-1
2016/17,regular,2,H. Kfar Saba,1,11,-2
2016/17,regular,2,FC Ashdod,0,12,-2
2016/17,regular,2,Hapoel Raanana,0,12,-2
2016/17,regular,2,Hapoel Tel Aviv,-8,14,-1
2016/17,regular,3,H. Beer Sheva,7,1,4
2016/17,regular,3,M. Tel Aviv,7,2,3
2016/17,regular,3,M. Petah Tikva,7,3,3
2016/17,regular,3,H. Ashkelon,5,4,1
2016/17,regular,3,Kiryat Shmona,5,5,1
2016/17,regular,3,Maccabi Haifa,4,6,0
2016/17,regular,3,H. Kfar Saba,4,7,-1
2016/17,regular,3,Bnei Sakhnin,4,8,-2
2016/17,regular,3,B. Jerusalem,3,9,0
2016/17,regular,3,Hapoel Haifa,3,10,-1
2016/17,regular,3,Bnei Yehuda,2,11,-1
2016/17,regular,3,FC Ashdod,1,12,-2
2016/17,regular,3,Hapoel Raanana,1,12,-2
2016/17,regular,3,Hapoel Tel Aviv,-8,14,-3
2016/17,regular,4,M. Tel Aviv,10,1,6
2016/17,regular,4,M. Petah Tikva,10,2,4
2016/17,regular,4,H. Beer Sheva,7,3,3
2016/17,regular,4,Maccabi Haifa,7,4,1
2016/17,regular,4,B. Jerusalem,6,5,3
2016/17,regular,4,Hapoel Haifa,6,6,1
2016/17,regular,4,Kiryat Shmona,6,7,1
2016/17,regular,4,Bnei Yehuda,5,8,0
2016/17,regular,4,H. Ashkelon,5,9,-2
2016/17,regular,4,H. Kfar Saba,4,10,-2
2016/17,regular,4,Bnei Sakhnin,4,11,-3
2016/17,regular,4,FC Ashdod,1,12,-4
2016/17,regular,4,Hapoel Raanana,1,13,-5
2016/17,regular,4,Hapoel Tel Aviv,-7,14,-3
2016/17,regular,5,M. Tel Aviv,13,1,11
2016/17,regular,5,M. Petah Tikva,11,2,4
2016/17,regular,5,H. Beer Sheva,10,3,6
2016/17,regular,5,Hapoel Haifa,9,4,5
2016/17,regular,5,Maccabi Haifa,8,5,1
2016/17,regular,5,Kiryat Shmona,7,6,1
2016/17,regular,5,H. Kfar Saba,7,7,-1
2016/17,regular,5,B. Jerusalem,6,8,-1
2016/17,regular,5,H. Ashkelon,6,9,-2
2016/17,regular,5,Bnei Sakhnin,5,10,-3
2016/17,regular,5,Bnei Yehuda,5,11,-3
2016/17,regular,5,Hapoel Raanana,2,12,-5
2016/17,regular,5,FC Ashdod,1,13,-5
2016/17,regular,5,Hapoel Tel Aviv,-7,14,-8
2016/17,regular,6,M. Tel Aviv,16,1,14
2016/17,regular,6,H. Beer Sheva,13,2,11
2016/17,regular,6,M. Petah Tikva,11,3,-1
2016/17,regular,6,Hapoel Haifa,9,4,3
2016/17,regular,6,Maccabi Haifa,9,5,1
2016/17,regular,6,B. Jerusalem,9,6,0
2016/17,regular,6,Kiryat Shmona,8,7,1
2016/17,regular,6,H. Kfar Saba,7,8,-2
2016/17,regular,6,Bnei Yehuda,6,9,-3
2016/17,regular,6,H. Ashkelon,6,10,-4
2016/17,regular,6,Hapoel Raanana,5,11,-3
2016/17,regular,6,Bnei Sakhnin,5,12,-6
2016/17,regular,6,FC Ashdod,2,13,-5
2016/17,regular,6,Hapoel Tel Aviv,-4,14,-6
2016/17,regular,7,H. Beer Sheva,16,1,13
2016/17,regular,7,M. Tel Aviv,16,2,12
2016/17,regular,7,M. Petah Tikva,14,3,2
2016/17,regular,7,Maccabi Haifa,12,4,3
2016/17,regular,7,B. Jerusalem,10,5,0
2016/17,regular,7,Hapoel Haifa,9,6,1
2016/17,regular,7,Kiryat Shmona,8,7,-1
2016/17,regular,7,Hapoel Raanana,8,8,-2
2016/17,regular,7,Bnei Sakhnin,8,9,-5
2016/17,regular,7,H. Kfar Saba,7,10,-3
2016/17,regular,7,H. Ashkelon,6,11,-5
2016/17,regular,7,Bnei Yehuda,6,12,-6
2016/17,regular,7,FC Ashdod,3,13,-5
2016/17,regular,7,Hapoel Tel Aviv,-1,14,-4
2016/17,regular,8,H. Beer Sheva,19,1,15
2016/17,regular,8,M. Petah Tikva,17,2,3
2016/17,regular,8,M. Tel Aviv,16,3,10
2016/17,regular,8,Maccabi Haifa,15,4,8
2016/17,regular,8,B. Jerusalem,11,5,0
2016/17,regular,8,Bnei Sakhnin,11,6,-4
2016/17,regular,8,Hapoel Haifa,9,7,0
2016/17,regular,8,Hapoel Raanana,9,8,-2
2016/17,regular,8,Kiryat Shmona,8,9,-2
2016/17,regular,8,H. Kfar Saba,8,10,-3
2016/17,regular,8,Bnei Yehuda,7,11,-6
2016/17,regular,8,H. Ashkelon,6,12,-10
2016/17,regular,8,FC Ashdod,4,13,-5
2016/17,regular,8,Hapoel Tel Aviv,0,14,-4
2016/17,regular,9,H. Beer Sheva,22,1,19
2016/17,regular,9,M. Petah Tikva,18,2,3
2016/17,regular,9,M. Tel Aviv,17,3,10
2016/17,regular,9,Maccabi Haifa,16,4,8
2016/17,regular,9,B. Jerusalem,14,5,1
2016/17,regular,9,Kiryat Shmona,11,6,-1
2016/17,regular,9,H. Kfar Saba,11,7,-2
2016/17,regular,9,Bnei Sakhnin,11,8,-5
2016/17,regular,9,Hapoel Haifa,10,9,0
2016/17,regular,9,Hapoel Raanana,9,10,-3
2016/17,regular,9,FC Ashdod,7,11,-4
2016/17,regular,9,Bnei Yehuda,7,12,-7
2016/17,regular,9,H. Ashkelon,6,13,-14
2016/17,regular,9,Hapoel Tel Aviv,0,14,-5
2016/17,regular,10,H. Beer Sheva,25,1,23
2016/17,regular,10,M. Tel Aviv,20,2,11
2016/17,regular,10,Maccabi Haifa,19,3,10
2016/17,regular,10,M. Petah Tikva,19,4,3
2016/17,regular,10,B. Jerusalem,15,5,1
2016/17,regular,10,Hapoel Raanana,12,6,-2
2016/17,regular,10,Kiryat Shmona,11,7,-2
2016/17,regular,10,H. Kfar Saba,11,8,-4
2016/17,regular,10,Bnei Sakhnin,11,9,-6
2016/17,regular,10,FC Ashdod,10,10,-3
2016/17,regular,10,Hapoel Haifa,10,11,-4
2016/17,regular,10,Bnei Yehuda,7,12,-8
2016/17,regular,10,H. Ashkelon,7,13,-14
2016/17,regular,10,Hapoel Tel Aviv,1,14,-5
2016/17,regular,11,H. Beer Sheva,28,1,25
2016/17,regular,11,M. Tel Aviv,20,2,10
2016/17,regular,11,Maccabi Haifa,20,3,10
2016/17,regular,11,M. Petah Tikva,19,4,2
2016/17,regular,11,B. Jerusalem,15,5,0
2016/17,regular,11,Kiryat Shmona,14,6,1
2016/17,regular,11,Bnei Sakhnin,14,7,-5
2016/17,regular,11,Hapoel Raanana,13,8,-2
2016/17,regular,11,Hapoel Haifa,13,9,-3
2016/17,regular,11,FC Ashdod,11,10,-3
2016/17,regular,11,H. Kfar Saba,11,11,-6
2016/17,regular,11,Bnei Yehuda,10,12,-7
2016/17,regular,11,H. Ashkelon,7,13,-17
2016/17,regular,11,Hapoel Tel Aviv,2,14,-5
2016/17,regular,12,H. Beer Sheva,31,1,30
2016/17,regular,12,M. Tel Aviv,21,2,10
2016/17,regular,12,Maccabi Haifa,20,3,8
2016/17,regular,12,M. Petah Tikva,20,4,2
2016/17,regular,12,B. Jerusalem,18,5,2
2016/17,regular,12,Kiryat Shmona,17,6,3
2016/17,regular,12,Bnei Sakhnin,15,7,-5
2016/17,regular,12,Hapoel Raanana,14,8,-2
2016/17,regular,12,Hapoel Haifa,13,9,-5
2016/17,regular,12,H. Kfar Saba,12,10,-6
2016/17,regular,12,FC Ashdod,11,11,-8
2016/17,regular,12,Bnei Yehuda,10,12,-8
2016/17,regular,12,H. Ashkelon,8,13,-17
2016/17,regular,12,Hapoel Tel Aviv,5,14,-4
2016/17,regular,13,H. Beer Sheva,34,1,32
2016/17,regular,13,M. Tel Aviv,24,2,12
2016/17,regular,13,Maccabi Haifa,21,3,8
2016/17,regular,13,M. Petah Tikva,21,4,2
2016/17,regular,13,Kiryat Shmona,18,5,3
2016/17,regular,13,B. Jerusalem,18,6,0
2016/17,regular,13,Bnei Sakhnin,16,7,-5
2016/17,regular,13,Hapoel Raanana,15,8,-2
2016/17,regular,13,H. Kfar Saba,13,9,-6
2016/17,regular,13,Hapoel Haifa,13,10,-7
2016/17,regular,13,FC Ashdod,12,11,-8
2016/17,regular,13,H. Ashkelon,11,12,-16
2016/17,regular,13,Bnei Yehuda,10,13,-9
2016/17,regular,13,Hapoel Tel Aviv,6,14,-4
2016/17,regular,14,H. Beer Sheva,34,1,31
2016/17,regular,14,M. Tel Aviv,25,2,12
2016/17,regular,14,Maccabi Haifa,24,3,10
2016/17,regular,14,M. Petah Tikva,22,4,2
2016/17,regular,14,Kiryat Shmona,19,5,3
2016/17,regular,14,B. Jerusalem,19,6,0
2016/17,regular,14,Hapoel Raanana,18,7,-1
