season,stage,round,team,points,position,goal_diff
2020/21,regular,1,Bnei Yehuda,3,1,3
2020/21,regular,1,Kiryat Shmona,3,2,2
2020/21,regular,1,H. Beer Sheva,3,3,1
2020/21,regular,1,H. Kfar Saba,3,4,1
2020/21,regular,1,M. Petah Tikva,3,4,1
2020/21,regular,1,Maccabi Haifa,3,4,1
2020/21,regular,1,B. Jerusalem,3,7,1
2020/21,regular,1,Maccabi Netanya,0,8,-1
2020/21,regular,1,Hapoel Hadera,0,9,-1
2020/21,regular,1,Hapoel Tel Aviv,0,9,-1
2020/21,regular,1,M. Tel Aviv,0,9,-1
2020/21,regular,1,Hapoel Haifa,0,12,-1
2020/21,regular,1,FC Ashdod,0,13,-2
2020/21,regular,1,Bnei Sakhnin,0,14,-3
2020/21,regular,2,B. Jerusalem,6,1,5
2020/21,regular,2,Maccabi Haifa,6,2,3
2020/21,regular,2,M. Petah Tikva,6,3,3
2020/21,regular,2,Bnei Yehuda,4,4,3
2020/21,regular,2,Kiryat Shmona,4,5,2
2020/21,regular,2,Maccabi Netanya,3,6,6
2020/21,regular,2,FC Ashdod,3,7,0
2020/21,regular,2,H. Beer Sheva,3,8,-1
2020/21,regular,2,H. Kfar Saba,3,9,-1
2020/21,regular,2,M. Tel Aviv,1,10,-1
2020/21,regular,2,Hapoel Haifa,1,11,-1
2020/21,regular,2,Hapoel Tel Aviv,0,12,-3
2020/21,regular,2,Hapoel Hadera,0,13,-5
2020/21,regular,2,Bnei Sakhnin,0,14,-10
2020/21,regular,3,Maccabi Haifa,9,1,6
2020/21,regular,3,B. Jerusalem,9,2,6
2020/21,regular,3,M. Petah Tikva,6,3,2
2020/21,regular,3,H. Kfar Saba,6,4,1
2020/21,regular,3,FC Ashdod,6,5,1
2020/21,regular,3,Maccabi Netanya,4,6,6
2020/21,regular,3,Bnei Yehuda,4,7,1
2020/21,regular,3,Hapoel Haifa,4,8,1
2020/21,regular,3,Kiryat Shmona,4,8,1
2020/21,regular,3,H. Beer Sheva,4,10,-1
2020/21,regular,3,M. Tel Aviv,2,11,-1
2020/21,regular,3,Hapoel Hadera,1,12,-5
2020/21,regular,3,Hapoel Tel Aviv,0,13,-5
2020/21,regular,3,Bnei Sakhnin,0,14,-13
2020/21,regular,4,Maccabi Haifa,10,1,6
2020/21,regular,4,B. Jerusalem,10,2,6
2020/21,regular,4,M. Petah Tikva,9,3,4
2020/21,regular,4,Maccabi Netanya,7,4,9
2020/21,regular,4,Bnei Yehuda,7,5,2
2020/21,regular,4,FC Ashdod,6,6,0
2020/21,regular,4,H. Kfar Saba,6,7,-2
2020/21,regular,4,Kiryat Shmona,5,8,1
2020/21,regular,4,H. Beer Sheva,5,9,-1
2020/21,regular,4,Hapoel Haifa,4,10,-1
2020/21,regular,4,M. Tel Aviv,3,11,-1
2020/21,regular,4,Hapoel Hadera,2,12,-5
2020/21,regular,4,Hapoel Tel Aviv,1,13,-5
2020/21,regular,4,Bnei Sakhnin,1,14,-13
2020/21,regular,5,M. Petah Tikva,12,1,5
2020/21,regular,5,Maccabi Haifa,10,2,5
2020/21,regular,5,B. Jerusalem,10,3,5
2020/21,regular,5,FC Ashdod,9,4,4
2020/21,regular,5,H. Kfar Saba,9,5,-1
2020/21,regular,5,Kiryat Shmona,8,6,2
2020/21,regular,5,Maccabi Netanya,7,7,5
2020/21,regular,5,Bnei Yehuda,7,8,1
2020/21,regular,5,Hapoel Haifa,7,9,0
2020/21,regular,5,H. Beer Sheva,6,10,-1
2020/21,regular,5,Hapoel Hadera,5,11,-1
2020/21,regular,5,M. Tel Aviv,4,12,-1
2020/21,regular,5,Hapoel Tel Aviv,1,13,-6
2020/21,regular,5,Bnei Sakhnin,1,14,-17
2020/21,regular,6,Maccabi Haifa,13,1,6
2020/21,regular,6,M. Petah Tikva,12,2,4
2020/21,regular,6,Kiryat Shmona,11,3,3
2020/21,regular,6,Maccabi Netanya,10,4,6
2020/21,regular,6,B. Jerusalem,10,5,4
2020/21,regular,6,Bnei Yehuda,10,6,2
2020/21,regular,6,H. Kfar Saba,10,7,-1
2020/21,regular,6,FC Ashdod,9,8,3
2020/21,regular,6,M. Tel Aviv,7,9,0
2020/21,regular,6,H. Beer Sheva,7,10,-1
2020/21,regular,6,Hapoel Haifa,7,11,-1
2020/21,regular,6,Hapoel Hadera,5,12,-2
2020/21,regular,6,Hapoel Tel Aviv,4,13,-5
2020/21,regular,6,Bnei Sakhnin,1,14,-18
2020/21,regular,7,Kiryat Shmona,14,1,5
2020/21,regular,7,Maccabi Haifa,13,2,5
2020/21,regular,7,M. Petah Tikva,13,3,4
2020/21,regular,7,FC Ashdod,12,4,5
2020/21,regular,7,Maccabi Netanya,11,5,6
2020/21,regular,7,B. Jerusalem,11,6,4
2020/21,regular,7,M. Tel Aviv,10,7,1
2020/21,regular,7,Bnei Yehuda,10,8,0
2020/21,regular,7,Hapoel Haifa,10,9,0
2020/21,regular,7,H. Kfar Saba,10,10,-2
2020/21,regular,7,H. Beer Sheva,7,11,-3
2020/21,regular,7,Hapoel Hadera,5,12,-3
2020/21,regular,7,Hapoel Tel Aviv,5,13,-5
2020/21,regular,7,Bnei Sakhnin,4,14,-17
2020/21,regular,8,Maccabi Haifa,16,1,7
2020/21,regular,8,M. Petah Tikva,16,2,5
2020/21,regular,8,Kiryat Shmona,15,3,5
2020/21,regular,8,M. Tel Aviv,13,4,4
2020/21,regular,8,Bnei Yehuda,13,5,1
2020/21,regular,8,Maccabi Netanya,12,6,6
2020/21,regular,8,FC Ashdod,12,7,4
2020/21,regular,8,B. Jerusalem,11,8,2
2020/21,regular,8,Hapoel Haifa,11,9,0
2020/21,regular,8,H. Kfar Saba,10,10,-5
2020/21,regular,8,H. Beer Sheva,8,11,-3
2020/21,regular,8,Bnei Sakhnin,7,12,-16
2020/21,regular,8,Hapoel Hadera,5,13,-4
2020/21,regular,8,Hapoel Tel Aviv,5,14,-6
2020/21,regular,9,Maccabi Haifa,19,1,10
2020/21,regular,9,M. Petah Tikva,19,2,6
2020/21,regular,9,FC Ashdod,15,3,5
2020/21,regular,9,Kiryat Shmona,15,4,2
2020/21,regular,9,Maccabi Netanya,13,5,6
2020/21,regular,9,M. Tel Aviv,13,6,3
2020/21,regular,9,Bnei Yehuda,13,7,0
2020/21,regular,9,B. Jerusalem,11,8,1
2020/21,regular,9,H. Beer Sheva,11,9,-2
2020/21,regular,9,Hapoel Haifa,11,10,-2
2020/21,regular,9,H. Kfar Saba,11,11,-5
2020/21,regular,9,Bnei Sakhnin,10,12,-14
2020/21,regular,9,Hapoel Hadera,6,13,-4
2020/21,regular,9,Hapoel Tel Aviv,6,14,-6
2020/21,regular,10,Maccabi Haifa,22,1,11
2020/21,regular,10,M. Petah Tikva,19,2,5
2020/21,regular,10,FC Ashdod,18,3,6
2020/21,regular,10,Maccabi Netanya,16,4,7
2020/21,regular,10,M. Tel Aviv,16,5,4
2020/21,regular,10,Kiryat Shmona,15,6,1
2020/21,regular,10,H. Beer Sheva,14,7,-1
2020/21,regular,10,Bnei Yehuda,13,8,-3
2020/21,regular,10,B. Jerusalem,12,9,1
2020/21,regular,10,Hapoel Haifa,11,10,-3
2020/21,regular,10,H. Kfar Saba,11,11,-6
2020/21,regular,10,Bnei Sakhnin,11,12,-14
2020/21,regular,10,Hapoel Hadera,9,13,-1
2020/21,regular,10,Hapoel Tel Aviv,6,14,-7
2020/21,regular,11,Maccabi Haifa,25,1,12
2020/21,regular,11,FC Ashdod,19,2,6
2020/21,regular,11,M. Petah Tikva,19,3,4
2020/21,regular,11,Maccabi Netanya,17,4,7
2020/21,regular,11,M. Tel Aviv,17,5,4
2020/21,regular,11,H. Beer Sheva,17,6,2
2020/21,regular,11,Kiryat Shmona,15,7,0
2020/21,regular,11,Hapoel Haifa,14,8,-2
2020/21,regular,11,Bnei Yehuda,14,9,-3
2020/21,regular,11,Bnei Sakhnin,14,10,-13
2020/21,regular,11,B. Jerusalem,13,11,1
2020/21,regular,11,H. Kfar Saba,11,12,-7
2020/21,regular,11,Hapoel Hadera,10,13,-1
2020/21,regular,11,Hapoel Tel Aviv,6,14,-10
2020/21,regular,12,Maccabi Haifa,28,1,15
2020/21,regular,12,M. Petah Tikva,22,2,5
2020/21,regular,12,M. Tel Aviv,20,3,5
2020/21,regular,12,FC Ashdod,19,4,5
2020/21,regular,12,Maccabi Netanya,17,5,6
2020/21,regular,12,H. Beer Sheva,17,6,1
2020/21,regular,12,Hapoel Haifa,17,7,-1
2020/21,regular,12,Kiryat Shmona,15,8,-1
2020/21,regular,12,B. Jerusalem,14,9,1
2020/21,regular,12,Bnei Yehuda,14,10,-6
2020/21,regular,12,Bnei Sakhnin,14,11,-14
