season,stage,round,team,points,position,goal_diff
2022/23,regular,1,M. Tel Aviv,3,1,5
2022/23,regular,1,Maccabi Netanya,3,2,3
2022/23,regular,1,Hapoel Haifa,3,3,2
2022/23,regular,1,Kiryat Shmona,3,3,2
2022/23,regular,1,FC Ashdod,3,5,1
2022/23,regular,1,Maccabi Haifa,3,6,1
2022/23,regular,1,H. Jerusalem,1,7,0
2022/23,regular,1,Hapoel Hadera,1,7,0
2022/23,regular,1,H. Beer Sheva,0,9,-1
2022/23,regular,1,Bnei Sakhnin,0,10,-1
2022/23,regular,1,Hapoel Tel Aviv,0,11,-2
2022/23,regular,1,Ness Ziona,0,11,-2
2022/23,regular,1,B. Jerusalem,0,13,-3
2022/23,regular,1,M. Bnei Reineh,0,14,-5
2022/23,regular,2,M. Tel Aviv,6,1,11
2022/23,regular,2,Maccabi Haifa,6,2,4
2022/23,regular,2,FC Ashdod,6,3,2
2022/23,regular,2,Hapoel Haifa,4,4,2
2022/23,regular,2,Kiryat Shmona,4,4,2
2022/23,regular,2,H. Beer Sheva,3,6,4
2022/23,regular,2,Bnei Sakhnin,3,7,1
2022/23,regular,2,Maccabi Netanya,3,8,0
2022/23,regular,2,H. Jerusalem,2,9,0
2022/23,regular,2,M. Bnei Reineh,1,10,-5
2022/23,regular,2,Hapoel Hadera,1,11,-6
2022/23,regular,2,Ness Ziona,0,12,-3
2022/23,regular,2,Hapoel Tel Aviv,0,13,-4
2022/23,regular,2,B. Jerusalem,0,14,-8
2022/23,regular,3,M. Tel Aviv,9,1,13
2022/23,regular,3,Maccabi Haifa,9,2,5
2022/23,regular,3,Bnei Sakhnin,6,3,2
2022/23,regular,3,FC Ashdod,6,4,-1
2022/23,regular,3,H. Jerusalem,5,5,3
2022/23,regular,3,Hapoel Haifa,4,6,1
2022/23,regular,3,Kiryat Shmona,4,7,0
2022/23,regular,3,Hapoel Hadera,4,8,-5
2022/23,regular,3,H. Beer Sheva,3,9,3
2022/23,regular,3,Maccabi Netanya,3,10,-2
2022/23,regular,3,Hapoel Tel Aviv,3,11,-2
2022/23,regular,3,B. Jerusalem,3,12,-5
2022/23,regular,3,M. Bnei Reineh,1,13,-6
2022/23,regular,3,Ness Ziona,0,14,-6
2022/23,regular,4,Maccabi Haifa,12,1,7
2022/23,regular,4,M. Tel Aviv,10,2,13
2022/23,regular,4,H. Jerusalem,8,3,4
2022/23,regular,4,Bnei Sakhnin,7,4,2
2022/23,regular,4,FC Ashdod,7,5,-1
2022/23,regular,4,H. Beer Sheva,6,6,4
2022/23,regular,4,Hapoel Haifa,5,7,1
2022/23,regular,4,Kiryat Shmona,5,8,0
2022/23,regular,4,Hapoel Hadera,5,9,-5
2022/23,regular,4,Maccabi Netanya,4,10,-2
2022/23,regular,4,Hapoel Tel Aviv,3,11,-3
2022/23,regular,4,B. Jerusalem,3,12,-6
2022/23,regular,4,M. Bnei Reineh,2,13,-6
2022/23,regular,4,Ness Ziona,0,14,-8
2022/23,regular,5,M. Tel Aviv,13,1,17
2022/23,regular,5,Maccabi Haifa,12,2,4
2022/23,regular,5,H. Jerusalem,11,3,7
2022/23,regular,5,H. Beer Sheva,9,4,5
2022/23,regular,5,FC Ashdod,8,5,-1
2022/23,regular,5,Bnei Sakhnin,7,6,1
2022/23,regular,5,Hapoel Haifa,6,7,1
2022/23,regular,5,Kiryat Shmona,6,8,0
2022/23,regular,5,Hapoel Hadera,6,9,-5
2022/23,regular,5,Maccabi Netanya,5,10,-2
2022/23,regular,5,Hapoel Tel Aviv,3,11,-4
2022/23,regular,5,M. Bnei Reineh,3,12,-6
2022/23,regular,5,Ness Ziona,3,13,-7
2022/23,regular,5,B. Jerusalem,3,14,-10
2022/23,regular,6,Maccabi Haifa,15,1,6
2022/23,regular,6,H. Jerusalem,14,2,9
2022/23,regular,6,M. Tel Aviv,13,3,15
2022/23,regular,6,H. Beer Sheva,12,4,6
2022/23,regular,6,Bnei Sakhnin,10,5,3
2022/23,regular,6,FC Ashdod,9,6,-1
2022/23,regular,6,Hapoel Haifa,7,7,1
2022/23,regular,6,Kiryat Shmona,7,8,0
2022/23,regular,6,Hapoel Hadera,7,9,-5
2022/23,regular,6,M. Bnei Reineh,6,10,-5
2022/23,regular,6,Maccabi Netanya,5,11,-3
2022/23,regular,6,Hapoel Tel Aviv,3,12,-6
2022/23,regular,6,Ness Ziona,3,13,-9
2022/23,regular,6,B. Jerusalem,3,14,-11
2022/23,regular,7,M. Tel Aviv,16,1,18
2022/23,regular,7,Maccabi Haifa,15,2,5
2022/23,regular,7,H. Jerusalem,14,3,8
2022/23,regular,7,H. Beer Sheva,13,4,6
2022/23,regular,7,Bnei Sakhnin,13,5,4
2022/23,regular,7,FC Ashdod,10,6,-1
2022/23,regular,7,Hapoel Hadera,10,7,-4
2022/23,regular,7,M. Bnei Reineh,9,8,-4
2022/23,regular,7,Hapoel Haifa,8,9,1
2022/23,regular,7,Kiryat Shmona,8,10,0
2022/23,regular,7,Maccabi Netanya,6,11,-3
