season,stage,round,team,points,position,goal_diff
2025/26,regular,9,Maccabi Haifa,11,8,6
2025/26,regular,9,Hapoel Haifa,11,9,-2
2025/26,regular,9,H. Petah Tikva,10,10,-2
2025/26,regular,9,Kiryat Shmona,8,11,-3
2025/26,regular,9,H. Jerusalem,3,12,-9
2025/26,regular,9,Ironi Tiberias,2,13,-13
2025/26,regular,9,M. Bnei Reineh,1,14,-19
2025/26,regular,10,H. Beer Sheva,25,1,18
2025/26,regular,10,M. Tel Aviv,23,2,15
2025/26,regular,10,B. Jerusalem,20,3,10
2025/26,regular,10,Maccabi Netanya,18,4,0
2025/26,regular,10,Hapoel Tel Aviv,15,5,3
2025/26,regular,10,FC Ashdod,15,6,-2
2025/26,regular,10,Bnei Sakhnin,13,7,-1
2025/26,regular,10,Maccabi Haifa,12,8,6
2025/26,regular,10,Hapoel Haifa,12,9,-2
2025/26,regular,10,H. Petah Tikva,11,10,-2
2025/26,regular,10,Kiryat Shmona,11,11,-2
2025/26,regular,10,H. Jerusalem,4,12,-9
2025/26,regular,10,Ironi Tiberias,2,13,-14
2025/26,regular,10,M. Bnei Reineh,1,14,-20
2025/26,regular,11,H. Beer Sheva,28,1,19
2025/26,regular,11,M. Tel Aviv,24,2,15
2025/26,regular,11,B. Jerusalem,23,3,12
2025/26,regular,11,Hapoel Tel Aviv,18,4,5
2025/26,regular,11,Maccabi Netanya,18,5,-2
2025/26,regular,11,FC Ashdod,16,6,-2
2025/26,regular,11,Maccabi Haifa,13,7,6
2025/26,regular,11,Bnei Sakhnin,13,8,-3
2025/26,regular,11,H. Petah Tikva,12,9,-2
2025/26,regular,11,Hapoel Haifa,12,10,-3
2025/26,regular,11,Kiryat Shmona,11,11,-3
2025/26,regular,11,H. Jerusalem,7,12,-8
2025/26,regular,11,Ironi Tiberias,5,13,-12
2025/26,regular,11,M. Bnei Reineh,1,14,-22
